well,role,cause,fold,matched_cause_well,matched_cause_role,prefix_rows,suffix_rows,suffix_raw_gr_missing_fraction,suffix_row_count_quartile,raw_gr_missing_quartile,prefix_row_count_quartile,quartile_match_distance,selection_hash
b85f7b06,backward_cause,backward_smoothing_reversal,2,b85f7b06,backward_cause,1650,3803,0.20168288193531422,0,1,1,0,1cc492c02f90948673ec9639da8b4dff06c8970135c6c0bc3e34c3b10c0ba8db
3584a6eb,control,,2,b85f7b06,backward_cause,1656,4494,0.20004450378282154,1,1,1,1,1386056b55c644c9d9c55a1dd5bad243b79d2fcb17f14caef7309ca429cabf7b
ba48188d,control,,2,699ea575,forward_cause,1368,4166,0.17690830532885263,1,1,0,1,41ae71470e138b1737e4571772017708442c1a03f76370ddc89af75a1d2fb2fd
699ea575,forward_cause,forward_transition_prior_hysteresis,2,699ea575,forward_cause,1354,4120,0.4507281553398058,1,2,0,0,059476310b915378dd14c4c7ef262d7d1eab4c9a27156156625525efadfc8368
a9c9b150,backward_cause,backward_smoothing_reversal,3,a9c9b150,backward_cause,1840,3986,0.5474159558454591,0,3,3,0,11778d3ff7229efc05644b2ff8ee4974d8dd0f03e38d97792e97f1fc1607a564
4654e7de,control,,3,19137a89,forward_cause,1637,5373,0.05025125628140704,2,0,1,1,124e8cf94d971b91f734d75a205687dc3cb7aba7ce3068c6eee797468b3b4be9
e97032ad,control,,3,a9c9b150,backward_cause,2124,3530,0.5464589235127478,0,3,3,0,e25fa1918d14945a375e11a2151680c6059523318e71f046fb3021bc188e49af
19137a89,forward_cause,forward_transition_prior_hysteresis,3,19137a89,forward_cause,1691,6267,0.057124621030796234,3,0,1,0,00a1c71c6084a97b9a2a67918cb173b04d9b12766bc3f98389ec99f99e8f3777
276b012a,backward_cause,backward_smoothing_reversal,4,276b012a,backward_cause,1454,4837,0.16001653917717593,1,1,0,0,06a68dc4375fd0fc1ec5b7cebbc5e07bff8279a06a9bc03bdbf966ed680d9c3f
c9e980e8,backward_cause,backward_smoothing_reversal,4,c9e980e8,backward_cause,1903,4359,0.14888735948612067,1,1,3,0,08314d89b41bd2e37989266d12788661581614effda1eb5d806ad22eab28a49b
57f05c51,backward_cause,backward_smoothing_reversal,4,57f05c51,backward_cause,1707,4771,0.05805910710542863,1,0,2,0,1400963cc06028e2539bc48642b2f1becaddb1edfc7728aee5ca0e116bd2d286
660d9546,control,,4,276b012a,backward_cause,1408,4732,0.2081572273879966,1,1,0,0,00bcb8ad50f9419c19624b208085d496ebbc32056b1a2ce05520e75fdb29722a
1944513c,control,,4,c9e980e8,backward_cause,1877,4722,0.03748411689961881,1,0,3,1,02ee30613a7a36150c6b570974b3eaddddd45a5d01e31b51fc89a0a09fcd6931
8d92cb49,control,,4,65a5466a,forward_cause,1250,3589,0.224575090554472,0,1,0,1,141d1507dd7a470dd2b653c0d475bae95316137f06585c84d6b312bb2704240a
466fc788,control,,4,85380836,forward_cause,1570,6197,0.4797482652896563,3,2,1,0,442cfa9decfb4a7f5e6aac6e35136a9be94dd6cf247e391c7635c1ad257a32b0
3ef6372a,control,,4,57f05c51,backward_cause,1939,4727,0.03469430928707425,1,0,3,1,87c00deb976049dc195e283d4889f3870d363459662e461e0d9d192fdc579ef7
65a5466a,forward_cause,forward_transition_prior_hysteresis,4,65a5466a,forward_cause,1434,4683,0.2746102925475123,1,1,0,0,001a2da09f5c04dd1530d2a440c62af12d412b6da3c1f207ea04c9872f1fa41a
85380836,forward_cause,forward_transition_prior_hysteresis,4,85380836,forward_cause,1557,6618,0.41175581746751283,3,2,1,0,01ea590108cc7cd6411bd41bc2d3e8aa859137331441a67b64bdf406b1759196
