well,last_tvt_grid_ledger,typewell_tvt_min,typewell_tvt_max,grid_min,grid_max,grid_size,grid_span_ft,grid_low_source,grid_high_source,init_rate,rate_span,rate_step,true_rate_abs_p95,true_rate_abs_max,true_rate_outside_fraction,raw_md_step_min,raw_md_step_median,raw_md_step_max,raw_md_step_below_one_fraction,raw_md_step_nonpositive_fraction,rate_lower_edge_lost_mass_mean,rate_lower_edge_lost_mass_max,rate_upper_edge_lost_mass_mean,rate_upper_edge_lost_mass_max
044af7d1,11850.28,11300.9,12051.84,11750.28,11950.480000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.039999999999054126,0.1,0.005,0.050000000001091394,0.06999999999970896,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
0498acab,11400.71,10638.42,11594.55,11300.71,11500.910000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.040000000000873115,0.05999999999949068,0.0,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
052d64df,11440.240000000002,10510.42,11594.55,11340.240000000002,11540.44000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.050000000002546584,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
05948241,10837.56,10014.47,10963.71,10737.56,10937.760000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.05999999999949068,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000026,0.06,0.060000000000000026,0.06
059c8f24,10300.070000000002,9544.45,10362.45,10200.070000000002,10400.27000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.010000000000218279,0.1,0.005,0.07000000000152795,8.159999999998035,0.00031959092361776926,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
05a0ee4d,11927.5,11130.9,12051.84,11827.5,12027.700000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.06000000000130967,0.10000000000130968,0.005000000000065484,0.06000000000130967,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.05999999999790451,0.05999999999790449,0.05999999999790451,0.05999999999790449
060ab2b8,10950.59,9997.22,11077.56,10850.59,11050.790000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.019999999998617568,0.1,0.005,0.049999999999272404,0.07999999999810825,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
06df5958,11338.8,10755.95,11372.45,11238.8,11412.75000000018,498,173.9500000001808,last_tvt_minus_100,typewell_max_plus_40,-0.030000000000654836,0.1,0.005,0.050000000001091394,1.7399999999979627,0.00028498147620404675,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
071d7b45,10530.11,10125.070000000002,10668.02,10430.11,10630.310000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.06000000000130967,0.07000000000334694,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
0849b4e2,11944.08,11038.45,12181.95,11844.08,12044.280000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.059999999997671694,2.649999999999636,0.009030160736861116,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
084d66f9,11007.070000000002,10115.96,11145.28,10907.070000000002,11107.27000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.1000000000003638,8.179999999998472,0.05714285714285714,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
08fecf00,12148.1,11217.12,12325.65,12048.1,12248.300000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.029999999998835847,0.1,0.005,0.050000000001091394,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
09053135,11461.63,10664.45,11591.95,11361.63,11561.830000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000002473826,0.1,0.005,0.050000000001091394,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
09441b8d,11212.2,10339.45,11366.45,11112.2,11312.400000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000002473826,0.1,0.005,0.050000000001091394,1.0500000000010914,0.0018221574344023323,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
0955cd6c,12184.63,11425.84,12325.65,12084.63,12284.830000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.0,0.1,0.005,0.040000000000873115,2.3100000000013097,0.0009624639076034649,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
09ec2ca9,11053.11,10230.95,11122.45,10953.11,11153.310000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.010000000002037268,0.1,0.005,0.040000000000873115,0.05000000000291038,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
0a57a29c,11195.4,10669.45,11366.45,11095.4,11295.600000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.06000000000130967,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
0bbf5e67,10947.13,10167.95,10971.95,10847.13,11011.98000000017,472,164.85000000017135,last_tvt_minus_100,typewell_max_plus_40,-0.040000000000873115,0.1,0.005,0.049999999999272404,0.10000000000218279,0.0018613308515588647,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
0be01c24,11306.28,10536.92,11537.41,11206.28,11406.480000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.059999999997671694,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.05999999999999999,0.06,0.05999999999999999,0.06
0c1b160c,11159.320000000002,10580.03,11311.5,11059.320000000002,11259.52000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.050000000001091394,2.8399999999983265,0.0003957261574990107,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
0d99f8e4,11199.34,10637.45,11366.45,11099.34,11299.540000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.050000000001091394,0.09000000000014552,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
0dc5e64d,10861.64,10336.45,11122.45,10761.64,10961.840000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.010000000000218279,0.1,0.005,0.06000000000130967,7.959999999999127,0.000819840131174421,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
0dc835f3,10687.83,10424.81,11021.27,10587.83,10788.030000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.06999999999970896,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
0dd99dc5,12581.48,11753.45,12748.95,12481.48,12681.680000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.06999999999970896,0.12000000000080036,0.007763552165622446,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
0e5e560d,11012.59,10206.45,11122.45,10912.59,11112.790000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.05999999999949068,0.1,0.005,0.06000000000130967,1.6900000000005093,0.0003074085459575776,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
109d9d70,12228.18,11578.33,12325.65,12128.18,12328.380000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.06000000000130967,0.10000000000130968,0.005000000000065484,0.06999999999970896,1.2600000000002183,0.00023724792408066428,1.0,1.0,1.0,0.0,0.0,0.0599999999979045,0.05999999999790449,0.0599999999979045,0.05999999999790449
10a1281a,11257.52,10418.95,11366.45,11157.52,11357.720000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.06999999999970896,0.10999999999970897,0.005499999999985449,0.09000000000014552,0.19000000000050932,0.031378142271349614,1.0,1.0,1.0,0.0,0.0,0.04611570247968866,0.04611570247968867,0.04611570247968866,0.04611570247968867
10b89021,12141.92,11782.62,12285.1,12041.92,12242.120000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.050000000001091394,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
10be2420,10823.21,9958.47,10963.71,10723.21,10923.410000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000002473826,0.1,0.005,0.06000000000130967,0.07000000000334694,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
113011eb,12534.83,12151.45,12748.95,12434.83,12635.030000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.07999999999992724,3.5600000000013097,0.02597799511002445,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1131525f,11290.35,10752.45,11372.45,11190.35,11390.550000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.049999999999272404,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
11d0f5ac,10917.26,10384.02,11077.56,10817.26,11017.460000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.050000000001091394,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
12203f2a,12031.41,11212.45,12181.95,11931.41,12131.610000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.06000000000130967,1.0799999999999272,0.011652867218644588,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
122bd617,10813.01,9782.98,10963.71,10713.01,10913.210000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.050000000001091394,0.1,0.005,0.06999999999970896,0.12000000000261934,0.0175054704595186,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
125be846,11459.09,10882.39,11594.55,11359.09,11559.290000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.049999999999272404,0.06000000000130967,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1285a37b,12755.8,11868.45,12873.45,12655.8,12856.000000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.049999999997453415,0.05000000000291038,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1295a25b,11752.77,11203.95,11871.45,11652.77,11852.970000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.040000000000873115,0.1,0.005,0.08000000000174623,0.1499999999978172,0.013150783642586922,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
12f0cd90,11394.42,10842.320000000002,11537.41,11294.42,11494.620000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.07000000000152795,0.11000000000152796,0.005500000000076398,0.07000000000152795,0.12000000000261934,0.0020178241129981504,1.0,1.0,1.0,0.0,0.0,0.04611570247750207,0.046115702477502074,0.04611570247750207,0.046115702477502074
137d1e44,12750.83,11874.95,12873.45,12650.83,12851.030000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.05999999999949068,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
13ce113d,11186.15,10271.45,11366.45,11086.15,11286.350000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999997453415,0.1,0.005,0.050000000001091394,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
13f598d9,12518.61,11858.95,12748.95,12418.61,12618.810000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.019999999998617568,0.1,0.005,0.050000000001091394,2.0599999999994907,0.0004106214070626882,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
14a53cb3,11180.84,10372.33,11350.94,11080.84,11281.040000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.040000000002692104,1.889999999999418,0.00028905911258852437,1.0,1.0,1.0,0.0,0.0,0.060000000000000026,0.06,0.060000000000000026,0.06
14ab73fb,11311.54,10639.95,11372.45,11211.54,11411.740000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.039999999999054126,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
14ad5efb,11404.28,10837.820000000002,11537.41,11304.28,11504.480000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.049999999999272404,0.1,0.005,0.06999999999970896,3.9899999999979627,0.00034234851078397807,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
14fee784,10880.95,10330.820000000002,11021.27,10780.95,10981.150000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999997235136,0.1,0.005,0.07999999999992724,5.079999999998108,0.005295315682281059,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
153552f5,12085.88,11309.95,12366.95,11985.88,12186.080000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.05999999999949068,0.10000000000218279,0.0025559105431309905,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1550491d,11383.7,10939.79,11537.41,11283.7,11483.900000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.05999999999949068,0.1,0.005,0.07000000000152795,3.0799999999981083,0.00021915406530791147,1.0,1.0,1.0,0.0,0.0,0.05999999999999999,0.06,0.05999999999999999,0.06
155887bb,12294.490000000002,11306.45,12366.95,12194.490000000002,12394.69000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.029999999998835847,0.1,0.005,0.050000000001091394,0.1000000000003638,0.0017905102954341987,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1590af81,11446.95,10982.95,11591.95,11346.95,11547.150000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.05999999999949068,0.1,0.005,0.050000000001091394,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
15e154a1,10928.69,10209.95,11136.45,10828.69,11028.890000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.020000000000436557,0.1,0.005,0.040000000000873115,0.06000000000130967,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1619e2ca,11455.88,10764.95,11591.95,11355.88,11556.080000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.06999999999970896,0.10999999999970897,0.005499999999985449,0.050000000001091394,0.09000000000014552,0.0,1.0,1.0,1.0,0.0,0.0,0.04611570247968866,0.04611570247968867,0.04611570247968866,0.04611570247968867
16e4a047,12014.59,11142.2,12156.95,11914.59,12114.790000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.010000000000218279,0.1,0.005,0.049999999999272404,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
173ed841,12724.83,11960.45,12873.45,12624.83,12825.030000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.07999999999992724,12.969999999999345,0.010444398935080893,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1770d7c6,12579.06,11771.95,12748.95,12479.06,12679.260000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.050000000001091394,0.4600000000009459,0.0004143646408839779,1.0,1.0,1.0,0.0,0.0,0.060000000000000026,0.06,0.060000000000000026,0.06
177622d7,12294.39,11733.45,12366.95,12194.39,12394.590000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000002255547,0.1,0.005,0.049999999999272404,0.06000000000130967,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
18d24f7b,11207.68,10542.45,11366.45,11107.68,11307.880000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.050000000001091394,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
19137a89,11041.54,10336.95,11122.45,10941.54,11141.740000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.040000000000873115,0.1,0.005,0.05999999999949068,3.9099999999998545,0.00414871549385671,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1944513c,11312.41,10420.95,11537.41,11212.41,11412.610000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.05999999999949068,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
197f8a5a,10949.52,10032.64,11110.62,10849.52,11049.720000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.040000000000873115,0.1,0.005,0.050000000001091394,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
19871e7f,12553.16,11710.95,12748.95,12453.16,12653.360000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.049999999999272404,1.179999999998472,0.0009446438692612885,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
198a5607,11166.35,10318.55,11311.5,11066.35,11266.550000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.05999999999949068,0.08000000000174623,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
19fb4f7b,12766.14,11651.45,12873.45,12666.14,12866.340000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.05999999999949068,0.12000000000261934,0.01298932384341637,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1a518997,11200.63,10416.95,11366.45,11100.63,11300.830000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.010000000002037268,0.1,0.005,0.040000000000873115,0.680000000000291,0.0006513243595310464,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1a68190b,12793.43,11952.95,12981.95,12693.43,12893.630000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.06999999999970896,3.7600000000002183,0.0006705409029950827,1.0,1.0,1.0,0.0,0.0,0.06,0.06,0.06,0.06
1a730ac2,11387.92,10956.86,11594.55,11287.92,11488.120000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.049999999999272404,1.2800000000024738,0.0006514657980456026,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1aaf1da0,11897.740000000002,11146.4,12051.84,11797.740000000002,11997.94000000021,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.039999999999054126,0.1,0.005,0.06999999999970896,0.1000000000003638,0.00041631973355537054,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1b08ed48,12122.9,11530.95,12279.45,12022.9,12223.100000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.030000000000654836,0.1,0.005,0.040000000000873115,0.33999999999832653,0.003915984336062656,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1b1c5372,10870.68,10315.09,10956.570000000002,10770.68,10970.880000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.040000000000873115,0.1,0.005,0.06000000000130967,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.060000000000000005,0.06,0.060000000000000005,0.06
1b1eba53,12726.15,11780.95,12987.45,12626.15,12826.350000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.0,0.1,0.005,0.050000000001091394,0.10000000000218279,0.00322234156820623,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1b6ba517,12061.48,11160.45,12202.95,11961.48,12161.680000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.049999999999272404,0.1,0.005,0.07999999999992724,0.16000000000167347,0.00045475216007276033,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1b82b665,10845.95,10114.6,10956.570000000002,10745.95,10946.150000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.05999999999949068,0.1,0.005,0.059999999997671694,0.07000000000334694,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1bcb2fcf,12555.66,11916.55,12652.570000000002,12455.66,12655.860000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.020000000000436557,0.1,0.005,0.05999999999949068,0.07000000000152795,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1beca81d,11368.71,10746.76,11510.29,11268.71,11468.910000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.010000000000218279,0.1,0.005,0.06999999999788997,2.0100000000002183,0.010921366163621922,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1d3fbf02,11761.8,11276.45,11871.45,11661.8,11862.000000000207,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.030000000000654836,0.1,0.005,0.06350000000129422,0.09000000000196451,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000002,0.06,0.06000000000000002,0.06
1d78281a,12780.2,11905.95,12981.95,12680.2,12880.400000000209,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,-0.040000000000873115,0.1,0.005,0.050000000001091394,0.06000000000312866,0.0,1.0,1.0,1.0,0.0,0.0,0.06000000000000001,0.06,0.06000000000000001,0.06
1e30dedf,10651.68,10286.09,10956.570000000002,10551.68,10751.880000000208,573,200.2000000002081,last_tvt_minus_100,last_tvt_plus_100,0.06000000000130967,0.10000000000130968,0.005000000000065484,0.07999999999992724,4.639999999999418,0.0004912797838368951,1.0,1.0,1.0,0.0,0.0,0.0599999999979045,0.05999999999790449,0.0599999999979045,0.05999999999790449
