experiment,status,path,sig_p,step,mom
exp294_calibrated_typewell_gapfill_known_prefix_selfgr_hmm,stage0_completed_fail_branch_closed,model.hmm,0.02,0.35,0.998
exp295_prefix_anchored_wholewell_gr_alignment_ssm,stage_a_failed_runtime_timeout_branch_closed,model.state_space,0.02,0.35,0.998
exp296_exp223_self_gr_known_tvt_support_gate,completed_train_side_guard_failed_closed,model.hmm,0.02,0.35,0.998
exp299_base_posterior_self_gr_boundary_handoff,kaggle_cpu_v2_completed_train_side_guard_failed_closed,model.hmm,0.02,0.35,0.998
exp305_tempered_raw_smoothed_exact_hmm_emission,train_side_tempered_exact_hmm_gate_failed_closed,model.hmm,0.02,0.35,0.998
exp307_finite_only_robust_sigma_gr,completed_train_side_gate_failed_closed,model.fixed_hmm,0.02,0.35,0.998
exp308_imputed_gr_confidence_downweight,closed_without_run_parent_exp307_gate_failed,model.fixed_hmm,0.02,0.35,0.998
exp309_well_adaptive_transition_noise,closed_without_run_upstream_exp307_chain_failed,model.fixed_hmm,0.02,0.35,0.998
exp323_time_varying_exp226_dip_rate_prior,closed_without_run_upstream_exp307_chain_failed,model.fixed_parent,0.02,0.35,0.998
exp324_exp226_donor_covariance_segment_sig_r,closed_without_run_upstream_exp307_chain_failed,model.fixed_parent,exact_exp323_parent,,0.998
exp325_exp226_window_likelihood_hmm_tempering,closed_without_run_upstream_exp307_chain_failed,model.fixed_parent,exact_exp323,,0.998
exp326_residual_rate_time_varying_momentum,closed_without_run_upstream_exp307_chain_failed,model.fixed_parent,exact_exp323,,
exp331_prefix_gr_unary_local_ce_exact_ssm,stage_a_failed_branch_closed,model.state_space,0.02,0.35,0.998
exp332_prefix_gr_unary_fixed_window_structured_ssm,stage0_runtime_gate_failed_branch_closed,model.state_space,0.02,0.35,0.998
exp337_prefix_backtested_structure_sigma_gr,stage0_gate_failed_branch_closed,model.fixed_hmm,0.02,0.35,0.998
exp338_exp209_well_adaptive_transition_noise,train_side_adaptive_sig_r_gate_failed_closed,model.fixed_exp209_hmm,0.02,0.35,0.998
exp341_missing_gap_calibrated_soft_variance_exp226_residual_hmm,closed_without_run_dependency_exp339_gate_failed,model.fixed_parent,0.02,0.35,0.998
exp342_exp226_student_t_residual_offset_emission_audit,stage_1_override_completed_guard_failed_closed,model.hmm,0.02,0.35,0.998
exp345_exp209_time_varying_gr_affine_calibration_hmm,stage_0_full_failed_closed,model.fixed_exp209_hmm,0.02,0.35,0.998
exp346_exp209_observed_only_finite_sigma_gr_hmm,train_side_observed_only_finite_sigma_gate_failed_closed,model.fixed_hmm,0.02,0.35,0.998
exp347_prefix_gr_unary_batched_window_exact_ssm,stage0_technical_parity_failed_branch_closed,model.state_space,0.02,0.35,0.998
exp348_prefix_gr_unary_window_path_ranking_ssm,stage0_failed_branch_closed,model.state_space,0.02,0.35,0.998
exp350_exp345_bidirectional_gr_affine_smoother,stage_0_failed_closed,model.fixed_exp209_hmm,0.02,0.35,0.998
exp355_exp226_dip_rate_prior_on_exp209,stage1_completed_scientific_gate_failed_closed,model.stage_1.hmm,0.02,0.35,0.998
exp355_exp226_dip_rate_prior_on_exp209,stage1_completed_scientific_gate_failed_closed,model.fixed_parent,0.02,0.35,0.998
exp356_exp226_donor_covariance_sig_r_on_exp209,blocked_donor_support_non_degeneracy_evidence_required,model.fixed_parent,0.02,0.35,0.998
exp357_exp226_huber_emission_independent_audit,stage_1_override_completed_guard_failed_closed,model.hmm,0.02,0.35,0.998
exp358_exp209_missing_distance_emission_downweight,stage_1_completed_scientific_gate_failed_closed,model.fixed_parent,0.02,0.35,0.998
exp358_exp209_missing_distance_emission_downweight,stage_1_completed_scientific_gate_failed_closed,model.fixed_hmm,0.02,0.35,0.998
exp362_segment_local_donor_slope_exact_hmm,completed_postrun_support_audit_failed_closed,model.hmm,0.02,0.35,0.998
exp364_signed_curvature_exact_hmm,completed_stage0_gate_failed_closed,model.fixed_from_exp209,0.02,,0.998
exp365_bounded_gr_registration_offset_hmm,completed_stage0_gate_failed_closed,model.fixed_from_exp209,0.02,,0.998
exp374_exp209_student_t_exact_hmm_emission,terminal_closed_tail_gate_failed_no_rescue,model.fixed_hmm,0.02,0.35,0.998
exp389_exp209_huber_exact_hmm_emission,terminal_closed_tail_gate_failed_no_rescue,model.fixed_hmm,0.02,0.35,0.998
exp391_prefix_anchored_mode_persistence_hmm_readout,completed_stage_a1_fail_closed,model.fixed_hmm,0.02,0.35,0.998
exp393_exp347_practical_numerical_equivalence_audit,stage_a_failed_branch_closed,model.state_space,0.02,0.35,0.998
exp394_soft_sticky_exp226_k16_branch_hmm,technical_preflight_runtime_failed_closed,model.h_branch.fixed_hmm,0.02,,0.998
exp395_left_right_mode_consensus_confidence_readout,closed_unimplemented_exp391_stage_a1_failed,model.fixed_hmm,0.02,,0.998
exp397_prefix_gr_agreement_adaptive_sigma_exact_hmm,stage_0_completed_guard_failed_closed,model.fixed_hmm,0.02,0.35,0.998
exp398_all_well_1p3_sigma_gr_exact_hmm,train_side_all_well_sigma_x1p3_gate_failed_closed,model.fixed_hmm,0.02,0.35,0.998
exp399_soft_sticky_fused_exact_runtime_audit,full_oof_retry_running_after_late_fold_contract_fix,model.h_branch.fixed_hmm,0.02,,0.998
