feature,in_train,in_inference,status
ll_learned_prob_top2_value,True,True,both
ll_learned_prob_top3_contains_likpf,True,True,both
ll_learned_prob_weighted_tvt_minus_last_known_tvt,True,True,both
ll_learned_prob_weighted_tvt_minus_likpf_mean_tvt,True,True,both
ll_multiobs_mae_beam_mean,True,True,both
ll_multiobs_mae_hyb,True,True,both
ll_multiobs_mae_likpf_mean,True,True,both
ll_multiobs_mae_pf_ancc,True,True,both
ll_multiobs_mae_sc_ens,True,True,both
ll_multiobs_ncc_beam_mean,True,True,both
ll_multiobs_ncc_hyb,True,True,both
ll_multiobs_ncc_likpf_mean,True,True,both
ll_multiobs_ncc_pf_ancc,True,True,both
ll_multiobs_ncc_sc_ens,True,True,both
ll_multiobs_score_beam_mean,True,True,both
ll_multiobs_score_hyb,True,True,both
ll_multiobs_score_likpf_mean,True,True,both
ll_multiobs_score_pf_ancc,True,True,both
ll_multiobs_score_sc_ens,True,True,both
md_since,True,True,both
pf_ancc,True,True,both
pf_ancc_delta,True,True,both
pf_ancc_std,True,True,both
pf_vs_dense,True,True,both
pf_vs_spatial,True,True,both
pf_vs_z,True,True,both
pf_z,True,True,both
pf_z_delta,True,True,both
pfx_rmse,True,True,both
sc15_d,True,True,both
sc15_sc,True,True,both
sc25_d,True,True,both
sc25_sc,True,True,both
sc8_d,True,True,both
sc8_sc,True,True,both
sc_cons_d,True,True,both
sc_ens_d,True,True,both
sc_trust,True,True,both
sc_vs_beam,True,True,both
sig_mean_d,True,True,both
sig_std,True,True,both
slp_50,True,True,both
slp_all,True,True,both
slp_b_d_50,True,True,both
slp_b_d_all,True,True,both
slp_z,True,True,both
spatial_ancc_d,True,True,both
spatial_knn_dist,True,True,both
spatial_vs_dense,True,True,both
sqrt_frac,True,True,both
tda-10,True,True,both
tda-20,True,True,both
tda-40,True,True,both
tda-5,True,True,both
tda-80,True,True,both
tda0,True,True,both
tda10,True,True,both
tda20,True,True,both
tda40,True,True,both
tda5,True,True,both
tda80,True,True,both
tdbc-10,True,True,both
tdbc-20,True,True,both
tdbc-3,True,True,both
tdbc-40,True,True,both
tdbc-5,True,True,both
tdbc0,True,True,both
tdbc10,True,True,both
tdbc20,True,True,both
tdbc3,True,True,both
tdbc40,True,True,both
tdbc5,True,True,both
tdpf-15,True,True,both
tdpf-2,True,True,both
tdpf-30,True,True,both
tdpf-4,True,True,both
tdpf-8,True,True,both
tdpf0,True,True,both
tdpf15,True,True,both
tdpf2,True,True,both
tdpf30,True,True,both
tdpf4,True,True,both
tdpf8,True,True,both
tdsc-15,True,True,both
tdsc-2,True,True,both
tdsc-30,True,True,both
tdsc-4,True,True,both
tdsc-8,True,True,both
tdsc0,True,True,both
tdsc15,True,True,both
tdsc2,True,True,both
tdsc30,True,True,both
tdsc4,True,True,both
tdsc8,True,True,both
tvtF50_ANCC,True,True,both
tvtF50_ASTNL,True,True,both
tvtF50_ASTNU,True,True,both
tvtF50_BUDA,True,True,both
tvtF50_EGFDL,True,True,both
tvtF50_EGFDU,True,True,both
tvtF_ANCC,True,True,both
tvtF_ASTNL,True,True,both
tvtF_ASTNU,True,True,both
tvtF_BUDA,True,True,both
tvtF_EGFDL,True,True,both
tvtF_EGFDU,True,True,both
tvtFw_ANCC,True,True,both
tvtFw_ASTNL,True,True,both
tvtFw_ASTNU,True,True,both
tvtFw_BUDA,True,True,both
tvtFw_EGFDL,True,True,both
tvtFw_EGFDU,True,True,both
tvt_dense50_d,True,True,both
tvt_dense_d,True,True,both
tvt_densew_d,True,True,both
tw_gr_mean,True,True,both
tw_range,True,True,both
uproj_absdiff_beam_mean_beam_med,True,True,both
uproj_absdiff_beam_mean_likpf_mean,True,True,both
uproj_absdiff_beam_med_likpf_mean,True,True,both
uproj_absdiff_pf_ancc_beam_mean,True,True,both
uproj_absdiff_pf_ancc_beam_med,True,True,both
uproj_absdiff_pf_ancc_likpf_mean,True,True,both
uproj_absdiff_pf_ancc_pf_z,True,True,both
uproj_absdiff_pf_z_beam_mean,True,True,both
uproj_absdiff_pf_z_beam_med,True,True,both
uproj_absdiff_pf_z_likpf_mean,True,True,both
uproj_beam_mean_abs_resid,True,True,both
uproj_beam_mean_corr,True,True,both
uproj_beam_mean_resid,True,True,both
uproj_beam_mean_resid_mad,True,True,both
uproj_beam_med_abs_resid,True,True,both
uproj_beam_med_corr,True,True,both
uproj_beam_med_resid,True,True,both
uproj_beam_med_resid_mad,True,True,both
uproj_corr_range,True,True,both
uproj_corr_std,True,True,both
uproj_diff_beam_mean_minus_beam_med,True,True,both
uproj_diff_beam_mean_minus_likpf_mean,True,True,both
uproj_diff_beam_med_minus_likpf_mean,True,True,both
uproj_diff_pf_ancc_minus_beam_mean,True,True,both
uproj_diff_pf_ancc_minus_beam_med,True,True,both
uproj_diff_pf_ancc_minus_likpf_mean,True,True,both
uproj_diff_pf_ancc_minus_pf_z,True,True,both
uproj_diff_pf_z_minus_beam_mean,True,True,both
uproj_diff_pf_z_minus_beam_med,True,True,both
uproj_diff_pf_z_minus_likpf_mean,True,True,both
uproj_likpf_mean_abs_resid,True,True,both
uproj_likpf_mean_corr,True,True,both
uproj_likpf_mean_resid,True,True,both
uproj_likpf_mean_resid_mad,True,True,both
uproj_pf_ancc_abs_resid,True,True,both
uproj_pf_ancc_corr,True,True,both
uproj_pf_ancc_resid,True,True,both
uproj_pf_ancc_resid_mad,True,True,both
uproj_pf_z_abs_resid,True,True,both
uproj_pf_z_corr,True,True,both
uproj_pf_z_resid,True,True,both
uproj_pf_z_resid_mad,True,True,both
uproj_source_u_range,True,True,both
uproj_source_u_std,True,True,both
z,True,True,both
