feature,family,current_test_generated,fold_safe,hidden_safe,status,dependency,evidence,action
bw50_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtFw_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvtF50_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bww_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw50_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_early_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
bw_mid_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_ANCC,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_ASTNU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_ASTNL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_EGFDU,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_EGFDL,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
frm_rmse_BUDA,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
form_mean_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
form_std_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
form_rng_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
spatial_ancc_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
spatial_knn_dist,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_ancc,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_std,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_dist,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvt_dense_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvt_densew_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
tvt_dense50_d,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_rmse,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_bias,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
dense_nb_std,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
pf_vs_spatial,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
pf_vs_dense,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
spatial_vs_dense,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
beam_vs_spatial,base_replay,True,False,False,fail,full_train_formation_reference,exp264 audit found that the source generator fit all training wells before downstream CV,drop_or_rebuild_inside_each_outer_fold
