exact_typewell_group,typewell_hash,n_wells,wells,x_mean_min,x_mean_max,y_mean_min,y_mean_max
native_overlap_1_cluster_0016,native_overlap_1_cluster_0016,19,"0849b4e2,12203f2a,29de15c8,2b06ad65,347242c8,3ef98781,4c3168cf,52f1e77a,62569ae3,653612bc,660d9546,69e41fa6,95b559e7,a0e92ed6,d5df0ff5,e2fc7745,e32da4ec,e4726608,fde20ecf",3011032.9553164677,3025054.6041792734,1115969.5445402542,1119372.581763685
native_overlap_1_cluster_0017,native_overlap_1_cluster_0017,19,"357c12f9,35b3ef6a,54753541,8902c3f6,8b95d6d1,8c167025,94467f50,a2e8e7f6,a76db406,a783cc24,b04b58a3,b7fea9ef,b8c49c1a,c03b9305,da3cf798,e25f1537,ef04658e,efe96181,fc0d20b2",2932977.6776940525,2947228.1705006873,1062088.851642063,1075212.8843463522
native_overlap_1_cluster_0018,native_overlap_1_cluster_0018,17,"1a68190b,1d78281a,1fdbba44,3a223519,46d24a09,71642c7d,73348914,9ae248be,9f0c7bae,a3f71395,a6b8ac67,ae35f33a,bd8f847e,c03d4aed,e03b45fd,eeda36f5,ffefef30",2944824.252465708,2950013.7898292057,1012193.800149488,1017965.589586805
native_overlap_1_cluster_0019,native_overlap_1_cluster_0019,16,"38991fd4,463c38f2,511e1db0,55efee7f,57796579,591cc951,9efc812e,ab94878e,ae069086,c6b782a4,c9e6734f,ce8399b7,cf50c9d1,d0a43760,d41beaf2,ff8bb73a",2933372.554574908,2943259.423747727,1056701.8320929874,1062260.247192788
native_overlap_1_cluster_0020,native_overlap_1_cluster_0020,15,"0c1b160c,198a5607,46a301e9,54a7e3c2,633774dc,9298ad5b,96b7eea1,9b5b61c1,a4f989c2,a612d5a0,a9c9b150,b0d42b0d,d011f41b,dd6bc5b2,f631da6e",2969507.021003512,2985472.794656149,1092683.5475886222,1110379.0364778577
native_overlap_1_cluster_0021,native_overlap_1_cluster_0021,15,"15e154a1,2364716c,28473855,2c0c4a4e,35b30c7f,684a6fc1,7271dd80,a15bc102,a7fc3e6b,bcebcc5f,e0079ed1,e3b34f5b,ea3a0e38,f6bc699b,fb0904bd",2951549.6174835404,2962700.579294554,1071579.5975446836,1085776.1737841563
native_overlap_1_cluster_0022,native_overlap_1_cluster_0022,14,"000d7d20,00e12e8b,01869cd4,1295a25b,1d3fbf02,2ddad940,389ae58f,42669188,8cc21f01,a056d01e,e5ff9fd2,ee4aecac,f8662c22,ff0aea78",2965365.1624153084,2983810.916121377,1058295.8781586466,1071417.6734293238
native_overlap_1_cluster_0023,native_overlap_1_cluster_0023,13,"0390d174,1b1c5372,1b82b665,1e30dedf,2fd68f7b,48c1f673,5bd25f59,65a5466a,76201745,944f36b9,9a6b0392,ae8959c3,c472c0b5",2995568.970473151,3000841.1216538395,1125120.704571525,1129523.1378525475
native_overlap_1_cluster_0024,native_overlap_1_cluster_0024,13,"05948241,10be2420,122bd617,398dce4b,404c4384,74b6186b,81fc01c6,8b5be31b,97cd5bf9,9af1ffd0,9d3ec64c,c03fba65,dd64382d",2951385.3176677623,2960527.729267946,1080435.7863013975,1092442.82340095
native_overlap_1_cluster_0025,native_overlap_1_cluster_0025,13,"1285a37b,137d1e44,173ed841,19fb4f7b,204cc64b,26d3a96a,27300fd5,5f75f796,67a8da4a,70925e23,94d813a4,ccedb12b,d9d6d94d",3014614.9766598986,3024090.939546591,1078140.9107569354,1084666.290929561
native_overlap_1_cluster_0026,native_overlap_1_cluster_0026,13,"1bcb2fcf,2e63d9de,3e678ea7,46a7190b,46dfcfca,58850d2c,8c8348e8,ac6f01d5,be35c8f2,d07aed8f,e201fd6d,e46f4ef4,ee0300f7",3013901.892736211,3026360.77493641,1089961.3165947131,1097849.2579211532
native_overlap_1_cluster_0027,native_overlap_1_cluster_0027,11,"060ab2b8,11d0f5ac,44a94013,5305524b,91abc4c7,9d5e14d4,c42fe306,dc7da28f,e737965a,ec0d597b,fb3848a1",2888398.1075654374,2898838.321125612,1025408.807621405,1030650.3421135158
native_overlap_1_cluster_0028,native_overlap_1_cluster_0028,11,"1b08ed48,32fe84c9,46d41ff6,96ae5806,ae0784a8,b7974e66,c593337f,c9fedcf3,eb934281,ef8e3ed0,f07d7037",2984629.2919674125,2995097.7098777695,1067430.0806481678,1073610.4176706928
native_overlap_1_cluster_0029,native_overlap_1_cluster_0029,10,"02e7fe5a,10b89021,3417285d,6ae68655,7993a768,bc4381e2,ecdab904,f021b650,f49fdea3,f88ddb26",2980480.214397008,2989959.933347092,1053467.004076647,1062036.7854533023
native_overlap_1_cluster_0030,native_overlap_1_cluster_0030,8,"06df5958,1131525f,14ab73fb,368fe682,42c538a1,8a9c8932,af7a59ce,eba6605e",2900089.5521327197,2909031.1614195686,1018956.2936527368,1028569.2561518056
native_overlap_1_cluster_0031,native_overlap_1_cluster_0031,8,"2b034622,577eec7c,87695469,974802e7,9c211c53,a85e4bc3,ab6fe95d,c84c65be",2857752.32583782,2874866.951026116,1039789.5296846335,1049061.5096205394
native_overlap_1_cluster_0032,native_overlap_1_cluster_0032,8,"2fa01aa6,7a5660b0,a6f967fb,c07fd0cd,c3957531,d4f60a28,e5864244,febb4411",3019291.220932828,3035606.5627972144,1085308.5833753105,1093403.3825170642
native_overlap_1_cluster_0033,native_overlap_1_cluster_0033,8,"59f8b2e8,5a63b5d1,6d6d93af,7e721392,84c3b497,9a95e33f,b3388334,fb03ae90",2885760.390059043,2902130.3667144165,1010589.0550897473,1011485.5626333628
native_overlap_1_cluster_0034,native_overlap_1_cluster_0034,7,"03a935ae,1b1eba53,4c2208f5,727a3a10,81bf5923,a8ed028a,d7eb0be8",3034436.7911223723,3035617.765259947,1088709.86341309,1098987.8206013183
native_overlap_1_cluster_0035,native_overlap_1_cluster_0035,7,"27c3155b,493b5b31,57f05c51,7850c72e,98177ced,cad13e8f,cb34231f",3035360.4865165534,3036410.50739947,1093134.1874811137,1093675.289294443
native_overlap_1_cluster_0036,native_overlap_1_cluster_0036,7,"2d179ded,374be387,6e9ccd38,70e1788b,7ff89f8f,bd2c2f34,d1457cc5",2867790.620279526,2872825.346799681,1027803.0477448788,1029889.6170166044
native_overlap_1_cluster_0037,native_overlap_1_cluster_0037,6,"5d11dfb5,61f27424,7224331b,82aab6d2,9dede370,c43812e2",2980062.1307744873,2983250.3679637928,1055263.6268409067,1055861.3093610327
native_overlap_1_cluster_0038,native_overlap_1_cluster_0038,3,"1beca81d,5aa03df7,c1708b88",2977682.760819549,2981930.383162062,1082950.8235741195,1089082.5762885045
native_overlap_1_cluster_0039,native_overlap_1_cluster_0039,2,"071d7b45,4463446c",2945536.7787627056,2946442.0727574504,1072618.9053140203,1079179.6511144054
native_overlap_1_cluster_0040,native_overlap_1_cluster_0040,2,"89f1085d,aed44918",3001272.958696525,3001505.12830198,1066111.4913965655,1067550.935480099
native_overlap_1_cluster_0041,native_overlap_1_cluster_0041,2,"d00e7eb9,d90aa14c",2886886.2704159524,2892150.317682017,1032070.2276642534,1037884.6721579826
