feature_index,feature
87,pf_ancc_vs_hmm_selfgr_boost_only_a070_c100_abs
88,pf_ancc_vs_v6_k16_geometry_gr_u_projection_abs
89,beam_mean_vs_likpf_mean_abs
90,beam_mean_vs_sc_ens_abs
91,beam_mean_vs_hyb_abs
92,beam_mean_vs_tvt_dense_abs
93,beam_mean_vs_tvt_densew_abs
94,beam_mean_vs_tvt_dense50_abs
95,beam_mean_vs_blend_likpf_hmm_w500_abs
96,beam_mean_vs_hmm_selfgr_boost_only_a070_c100_abs
97,beam_mean_vs_v6_k16_geometry_gr_u_projection_abs
98,likpf_mean_vs_sc_ens_abs
99,likpf_mean_vs_hyb_abs
100,likpf_mean_vs_tvt_dense_abs
101,likpf_mean_vs_tvt_densew_abs
102,likpf_mean_vs_tvt_dense50_abs
103,likpf_mean_vs_blend_likpf_hmm_w500_abs
104,likpf_mean_vs_hmm_selfgr_boost_only_a070_c100_abs
105,likpf_mean_vs_v6_k16_geometry_gr_u_projection_abs
106,sc_ens_vs_hyb_abs
107,sc_ens_vs_tvt_dense_abs
108,sc_ens_vs_tvt_densew_abs
109,sc_ens_vs_tvt_dense50_abs
110,sc_ens_vs_blend_likpf_hmm_w500_abs
111,sc_ens_vs_hmm_selfgr_boost_only_a070_c100_abs
112,sc_ens_vs_v6_k16_geometry_gr_u_projection_abs
113,hyb_vs_tvt_dense_abs
114,hyb_vs_tvt_densew_abs
115,hyb_vs_tvt_dense50_abs
116,hyb_vs_blend_likpf_hmm_w500_abs
117,hyb_vs_hmm_selfgr_boost_only_a070_c100_abs
118,hyb_vs_v6_k16_geometry_gr_u_projection_abs
119,tvt_dense_vs_tvt_densew_abs
120,tvt_dense_vs_tvt_dense50_abs
121,tvt_dense_vs_blend_likpf_hmm_w500_abs
122,tvt_dense_vs_hmm_selfgr_boost_only_a070_c100_abs
123,tvt_dense_vs_v6_k16_geometry_gr_u_projection_abs
124,tvt_densew_vs_tvt_dense50_abs
125,tvt_densew_vs_blend_likpf_hmm_w500_abs
126,tvt_densew_vs_hmm_selfgr_boost_only_a070_c100_abs
127,tvt_densew_vs_v6_k16_geometry_gr_u_projection_abs
128,tvt_dense50_vs_blend_likpf_hmm_w500_abs
129,tvt_dense50_vs_hmm_selfgr_boost_only_a070_c100_abs
130,tvt_dense50_vs_v6_k16_geometry_gr_u_projection_abs
131,blend_likpf_hmm_w500_vs_hmm_selfgr_boost_only_a070_c100_abs
132,blend_likpf_hmm_w500_vs_v6_k16_geometry_gr_u_projection_abs
133,hmm_selfgr_boost_only_a070_c100_vs_v6_k16_geometry_gr_u_projection_abs
134,candidate_mean
135,candidate_std
136,candidate_range
137,crfe_tvt_dense_abs_delta_from_last
138,crfe_tvt_densew_abs_delta_from_last
139,crfe_tvt_dense50_abs_delta_from_last
140,crfe_dense_candidate_mean
141,crfe_dense_candidate_std
142,crfe_dense_candidate_range
143,crfe_likpf_mean_minus_tvt_densew
144,crfe_likpf_mean_minus_tvt_densew_abs_norm
145,crfe_beam_mean_minus_tvt_densew
146,crfe_beam_mean_minus_tvt_densew_abs_norm
147,crfe_pf_ancc_minus_tvt_densew
148,crfe_pf_ancc_minus_tvt_densew_abs_norm
149,crfe_tail_rank_norm
150,crfe_longtail_1000_flag
151,crfe_near_md_50_flag
152,crfe_tvt_dense_drift_per_md
153,crfe_tvt_densew_drift_per_md
154,crfe_tvt_dense50_drift_per_md
155,crfe_pf_vs_dense_abs_norm
156,crfe_dense_std_norm
157,crfe_dense_dist_norm
158,crfe_high_disagreement_proxy
159,crfe_high_disagreement_x_longtail
160,copcf_nearby_majority_count_k5
161,copcf_nearby_majority_share_k5
162,copcf_nearby_majority_diff_k5
163,copcf_nearby_majority_count_k12
164,copcf_nearby_majority_share_k12
165,copcf_nearby_majority_diff_k12
166,copcf_well_gate_ratio_own_z_gt2p0
167,copcf_well_gate_ratio_nearest_other_closer
168,copcf_well_gate_ratio_nearby_majority_diff_k8
169,copcf_typewell_spatial_prior_delta
170,copcf_typewell_native_overlap_1_valid_prior
171,copcf_typewell_native_overlap_1_prior_std
172,copcf_typewell_native_overlap_1_prior_count
173,copcf_typewell_native_overlap_1_neighbor_wells
174,copcf_typewell_native_overlap_0p999_prior_count
175,copcf_spatial_xy_plus_trajectory_shape_k8_prior_count
176,copcf_spatial_xy_only_k8_valid_prior
177,copcf_spatial_xy_only_k8_prior_std
178,copcf_spatial_xy_only_k8_prior_count
179,copcf_spatial_xy_only_k8_neighbor_wells
180,blend_likpf_hmm_w500
181,hmm_selfgr_boost_only_a070_c100_mean_tvt
182,exp226_v6_k16_geometry_gr_u_projection
183,exp226_geop_tvt
