well_a,well_b,min_xy_dist_ft,sample_min_xy_dist_ft,global_angle_deg,eval_angle_deg,local_angle_at_closest_deg,a_md,b_md,a_closest_idx,b_closest_idx,a_x,a_y,b_x,b_y,a_length_ft,b_length_ft,a_eval_start_idx,a_eval_end_idx,b_eval_start_idx,b_eval_end_idx,a_start_x,a_start_y,a_end_x,a_end_y,b_start_x,b_start_y,b_end_x,b_end_y
8612b37f,9d072e4c,111.73897618990321,111.85243135526645,176.98493597963923,175.05329535810066,179.59551280017,11656.0,12253.0,310,991,3000563.67,1101899.2,3000459.29,1101859.32,6405.633661707643,6532.455022891409,1642,6806,1691,6797,3000588.79,1101841.18,2998358.75,1107846.1,3000251.43,1102569.96,3002200.37,1096335.01
09053135,cd7f1687,112.79148061815266,112.83752079847922,177.6953542522508,177.6255700081148,179.41659523893634,11586.0,11235.0,604,280,2989840.0,1089177.43,2989735.34,1089135.38,7197.02664036337,5462.899114353162,1808,7714,1749,5980,2989780.15,1089331.95,2992322.2,1082598.81,2989736.6,1089119.71,2987603.1,1094148.77
e85074c5,e97032ad,113.51859627401569,113.73196032757664,175.47131169454576,176.2699265059973,138.01952671249632,11406.0,10171.0,956,0,2918362.8,1045387.94,2918442.19,1045469.08,6754.748974617945,5042.210241788665,1561,7235,2124,5653,2918025.57,1045733.64,2922902.56,1041060.14,2918442.19,1045469.08,2915088.49,1049234.26
e7c36e81,e85074c5,113.51859627401569,113.73196032757664,174.44223294275847,174.79080007188853,138.01952671249632,10171.0,11406.0,0,956,2918442.19,1045469.08,2918362.8,1045387.94,5054.200573038311,6754.748974617945,2124,5654,1561,7235,2918442.19,1045469.08,2915148.84,1049302.98,2918025.57,1045733.64,2922902.56,1041060.14
3690a146,a692b17e,113.71263474208735,113.91084583983306,177.86701380293218,177.6788017679911,179.74008883638945,11576.0,11076.0,1250,783,2910219.45,1039768.62,2910304.33,1039844.29,5182.706604786658,4870.136099227756,1688,5760,1843,5408,2909752.96,1040260.13,2913248.84,1036434.0,2910510.89,1039642.6,2907361.94,1043357.75
29b24409,5a5d1982,113.97122619326841,114.075904554754,178.24400853308936,178.4724932813713,0.14121197685425924,10651.0,11110.0,121,567,2907561.76,1034503.32,2907485.28,1034418.82,6910.248399884159,4912.0790271026435,1830,7416,1552,5445,2907560.77,1034505.75,2903080.61,1039766.9,2907405.34,1034469.25,2910703.12,1030828.76
19871e7f,df73b8f3,117.98413791685014,117.99024451160966,178.4438296948031,179.4803990833739,162.50060357405988,11738.0,12080.0,0,347,3001911.72,1071594.08,3002017.14,1071647.06,6743.9587957298645,6623.568059407195,1859,7151,1839,7149,3001911.72,1071594.08,2997882.19,1077001.84,3002004.89,1071669.9,3005816.79,1066253.16
c908edd0,c9e980e8,119.08453635969637,119.23123625940869,176.62396345862487,176.20207419476645,179.83381782092798,11329.0,11250.0,284,504,3008256.7,1116567.65,3008137.68,1116563.73,6448.813408721009,5620.777824936577,1458,6750,1903,6261,3008260.02,1116493.85,3008290.79,1122942.59,3008125.42,1116617.17,3007767.65,1111007.79
4f3eb9e9,6dbe4b60,119.11325073210433,119.11325073210433,178.986727232196,179.31637795018943,157.47825179044366,11659.0,10789.0,300,0,3005270.34,1117058.79,3005151.23,1117057.91,5860.2460283679575,6137.639849094888,1214,5910,2025,6672,3005270.45,1116796.89,3005458.44,1122654.12,3005151.23,1117057.91,3004845.89,1110927.87
09441b8d,fbd68d27,122.20240586845193,122.27018810840316,178.79270376114326,178.24738209839012,139.9093789800802,11991.0,10590.0,1604,0,2907647.67,1039220.54,2907556.01,1039139.72,6799.295443771958,8148.962381812816,1907,7394,1723,8551,2908308.08,1038444.9,2903888.74,1043612.09,2907556.01,1039139.72,2912981.9,1033059.81
4fbe9c06,521a7819,124.31443439918492,124.35601231930413,178.51528181211495,178.55235073637934,179.37310649874107,10550.0,11421.0,111,1046,2907447.35,1038065.28,2907351.16,1037986.53,7370.62957327922,6597.515965308433,1651,7937,2024,7223,2907446.64,1038066.46,2912415.48,1032622.49,2907622.96,1037643.45,2903303.06,1042630.0
b04b58a3,e25f1537,124.47522042578048,124.47522042578048,179.97227427105713,179.74466272881685,141.80919673007088,10133.0,9988.0,0,0,2942314.58,1073606.38,2942296.67,1073729.56,4857.208331840329,4450.284215923756,1827,5228,1841,5017,2942314.58,1073606.38,2945499.16,1069938.83,2942296.67,1073729.56,2939377.26,1077088.44
13f598d9,41fb0192,125.27710165853756,125.28202943731627,177.02507994122217,177.5747865756593,178.39739995407027,12192.0,16436.0,199,4380,3008596.17,1074048.75,3008491.68,1073979.64,8525.964615414518,4097.232180692386,1628,8933,1408,4380,3008608.53,1074027.45,3004289.01,1081378.22,3006235.36,1077399.63,3008491.68,1073979.64
df8290be,f03f10fe,126.49008893998754,126.51230770172401,178.43510501558708,178.65681466379027,179.74417967667736,10868.0,11993.0,435,1469,2910197.66,1039495.23,2910103.67,1039410.58,5224.692773790354,5409.760003225874,1703,5674,1678,5822,2910259.05,1039434.25,2906846.43,1043390.44,2909380.01,1040189.78,2913024.06,1036191.48
198a5607,9b5b61c1,127.41467929551796,127.56276886295332,179.6675876367346,179.73923149262893,179.45522425552252,11594.0,10848.0,1303,587,2971640.07,1095909.77,2971547.65,1095822.06,7484.06269820082,6618.190595268474,1843,8093,1683,7214,2972177.06,1095445.9,2967217.81,1101050.99,2971476.4,1095891.26,2975890.57,1090960.18
c2c4db09,c8d9680c,130.3228000004425,130.36970085113197,179.32581862307427,179.15100934581855,179.94422704799055,10836.0,11626.0,241,879,2995563.02,1115118.65,2995684.53,1115165.76,7458.938708858213,7431.688384135842,1812,7850,1460,7740,2995539.8,1115168.82,2998194.85,1108198.42,2995902.05,1114627.68,2993338.6,1121603.26
2e29e833,fde20ecf,130.86375242977732,130.86375242977732,179.10919376191262,179.2865067708354,178.58961379685067,18851.0,17597.0,7253,6385,3023300.59,1114895.81,3023305.8,1115026.57,6780.857058639501,5743.228855904852,1826,7253,1719,6385,3023285.38,1108114.97,3023300.59,1114895.81,3023407.97,1120768.89,3023305.8,1115026.57
2b06ad65,b85f7b06,132.3613856076895,132.3613856076895,179.46469216838847,179.68744081962674,40.742052094978305,11275.0,11260.0,0,0,3011810.14,1115425.28,3011927.04,1115363.2,5459.600234449329,5050.844166275567,1450,5705,1650,5452,3011810.14,1115425.28,3011674.7,1120883.2,3011927.04,1115363.2,3012005.16,1110312.96
7d50373e,fb3848a1,132.7499483995091,132.87492163664882,177.97244782407773,177.9378486834315,179.86276616101162,11295.0,11351.0,542,964,2900391.76,1025921.47,2900491.08,1026009.55,6211.713457155149,7285.115310254045,1372,6493,1940,7858,2900198.34,1026121.53,2904406.87,1021552.76,2900771.07,1025715.54,2896027.96,1031245.08
84633df4,eb640a35,134.92067373086414,134.95524072828448,178.62392259602396,177.9904739576058,148.88920384650558,10571.0,10133.0,507,0,2992649.6,1121639.4,2992523.81,1121590.61,6124.81230671629,7306.408691169848,1747,6718,1745,7781,2992666.1,1121587.91,2990647.07,1127370.37,2992523.81,1121590.61,2995097.31,1114752.43
c3957531,d4f60a28,135.07807557092568,135.11469979214718,163.30289546054144,163.54904973309655,123.64018386837209,12469.0,11544.0,754,0,3020816.87,1087337.91,3020945.84,1087378.07,6644.7088663462855,5753.978084855896,1938,7253,1934,6434,3020875.58,1087131.53,3018515.67,1093343.05,3020945.84,1087378.07,3024448.65,1082813.14
d24ff243,e737965a,135.092472402848,135.33936197604706,178.90831666363502,178.50266758966427,179.69732362337595,11146.0,11429.0,497,840,2899867.95,1025539.0,2899961.51,1025636.45,6754.3916253427005,7303.043825652138,1475,7115,1739,7693,2899718.79,1025651.9,2904279.25,1020669.53,2900286.09,1025301.18,2895458.72,1030781.23
29de15c8,cbe51de1,137.1414897104011,137.1828899679972,177.91557812689786,176.1991251761323,165.4446534606246,11783.0,11201.0,696,0,3012457.63,1115675.4,3012322.92,1115649.69,4710.831428038878,5050.267890973553,1733,5163,1399,5361,3012493.66,1115394.36,3012246.63,1120098.71,3012322.92,1115649.69,3012771.01,1110619.34
94467f50,efe96181,137.5747418680339,137.59611368046532,179.7372550555665,178.3011782577956,27.312372660582884,10424.0,10097.0,520,0,2939303.49,1064828.6,2939206.29,1064731.24,4427.211910446528,4882.666518010416,2081,5115,1452,5463,2939340.52,1064793.68,2936354.06,1068061.9,2939206.29,1064731.24,2942516.48,1061141.94
1131525f,8a9c8932,137.8491189670692,137.97529525230786,178.9427722562914,177.76287634658863,179.79748551910347,11001.0,11498.0,285,781,2901574.18,1026246.54,2901668.68,1026346.9,5248.376662711882,6085.1646725622795,1389,5547,1681,6343,2901513.56,1026300.68,2905062.8,1022434.37,2902061.81,1025981.51,2898030.1,1030539.42
6a0ff78e,bb2cdd83,138.61952279523527,138.6279199872122,178.96463144025367,179.54659256888712,179.7903037964421,10822.0,11241.0,177,874,2906445.42,1037143.64,2906345.77,1037047.28,7586.35826613149,5061.157626966524,1425,7889,1840,5664,2906424.06,1037169.13,2911497.95,1031529.23,2906533.83,1036828.64,2903217.38,1040651.79
b32e4903,be83e781,138.74392995725134,138.93273840241082,177.96376066854054,177.73480840678326,179.52007777660666,11217.0,11302.0,620,490,2904051.4,1026820.18,2904143.9,1026923.59,6929.499926617908,4450.330394139369,1650,7419,1555,4775,2904181.88,1026696.68,2899603.31,1031898.09,2904004.6,1027076.66,2907061.93,1023842.75
044af7d1,e730c32b,139.3075310240269,139.42233465267438,179.86860170462384,179.7468769515247,179.92960719799535,11936.0,11703.0,496,589,3009982.52,1110800.53,3009843.23,1110798.32,5736.620945722303,5907.089995699971,1548,6066,1741,6468,3010003.63,1111006.19,3009755.45,1105274.94,3009827.83,1110667.1,3010069.85,1116569.23
3d96d897,c9578d27,139.96925126609392,139.99677174853466,179.09217970245604,179.28013234834293,179.95534404891083,11483.0,11446.0,767,731,2906137.9,1031665.0,2906243.63,1031756.72,6770.781905821704,5814.182087843481,1488,7146,1715,6201,2905871.73,1031971.26,2910383.72,1026922.95,2906480.72,1031486.06,2902675.37,1035881.97
6a0ff78e,b585b4fa,141.3381282598039,141.44744076882452,178.89218622441663,179.4648133441148,150.01812629755378,11314.0,10460.0,669,0,2906708.33,1036916.16,2906803.56,1037020.6,7586.35826613149,5461.583921070974,1425,7889,1705,5998,2906424.06,1037169.13,2911497.95,1031529.23,2906803.56,1037020.6,2903229.94,1041150.75
06df5958,264feceb,141.46419370298509,141.64534937651814,179.3227899236083,178.15026722367412,179.82811960711396,11558.0,11190.0,786,593,2903927.73,1026744.11,2903822.82,1026649.21,4707.550069123003,6883.283920586129,1530,5038,1743,7407,2903605.04,1027075.94,2906775.06,1023595.71,2903911.6,1026541.57,2899336.93,1031684.72
633774dc,a612d5a0,144.7549767713128,144.90834379017028,179.87821569390726,179.6165363794842,179.71750541593556,11494.0,10952.0,1110,650,2971413.97,1095631.31,2971317.9,1095523.03,7469.051549333432,6633.5302764136995,1739,7971,1831,7159,2971901.19,1095235.43,2966928.48,1100808.48,2971171.16,1095634.05,2975577.07,1090675.05
764072a5,8a89da23,146.06363442017283,146.0842294702656,178.60739337323994,178.49426387720095,170.06029996700175,10508.0,11954.0,16,1402,2911067.62,1040134.55,2910958.0,1040038.02,4169.450928359806,5195.748694432784,1645,4593,1640,5574,2911067.73,1040134.45,2908332.71,1043281.51,2910246.93,1040782.71,2913749.47,1036945.0
54a7e3c2,a4f989c2,147.19883049785184,147.29937304663315,178.86783650921802,179.66130681272531,179.99329421561924,10807.0,11652.0,327,1158,2972402.81,1095699.93,2972311.95,1095584.12,7505.197889949235,6667.706296381311,1738,7892,1639,7023,2972461.75,1095660.61,2967524.27,1101312.98,2971708.26,1096142.24,2976193.14,1091208.26
54a7e3c2,d011f41b,147.19883049785184,147.29937304663315,178.00932659744163,179.8946669583459,179.99329421561924,10807.0,11652.0,327,1158,2972402.81,1095699.93,2972311.95,1095584.12,7505.197889949235,3556.1900493226217,1738,7892,1639,3905,2972461.75,1095660.61,2967524.27,1101312.98,2971708.26,1096142.24,2974139.41,1093546.86
24d8997e,2d2d0c6b,147.63933486704622,147.65785925560672,171.23794380297,171.00871902337335,13.57908932496361,10638.0,10309.0,273,1,2918727.32,1046215.46,2918852.76,1046293.32,4631.9386729101225,6385.410949476959,1746,5187,1922,6966,2918727.79,1046207.99,2915749.09,1049755.13,2918852.77,1046293.32,2923656.06,1042085.96
85380836,fbd68d27,148.03206814744604,148.1235281784731,178.9877086715233,178.641861821779,179.86023062184162,12600.0,11123.0,2065,533,2907521.71,1038882.51,2907635.77,1038976.87,7733.241335856539,8148.962381812816,1557,8174,1723,8551,2908570.58,1037635.38,2903524.23,1043495.19,2907556.01,1039139.72,2912981.9,1033059.81
8a89da23,e14d641e,148.1426248588804,148.1850630123919,178.29380545421188,178.34213852822342,179.9039871559182,10909.0,11846.0,357,1409,2910304.45,1040720.84,2910196.28,1040619.62,5195.748694432784,4488.409229615861,1640,5574,1794,4977,2910246.93,1040782.71,2913749.47,1036945.0,2910803.18,1039920.84,2907877.52,1043324.71
8d5d46d7,d6c320d9,148.63579010455885,148.71064824006075,178.66724676250004,177.3852873382305,178.1441761865093,10759.0,11861.0,50,1080,2907615.08,1032470.89,2907725.58,1032570.3,6858.800647255863,6603.282836233758,1527,7281,1494,6945,2907615.17,1032470.66,2903087.45,1037622.64,2907215.88,1033113.57,2911689.11,1028256.25
1b1c5372,5bd25f59,150.55832424693415,150.59279730463638,152.08992049609418,151.64376518978224,177.77309199779927,10739.0,10097.0,352,234,2999019.14,1127642.56,2998878.23,1127589.53,5498.681105574169,5507.915325892467,1531,5791,1910,6119,2998972.7,1127767.79,3000801.42,1122582.11,2998878.2,1127584.36,2994828.06,1131317.12
4fbe9c06,8f201368,151.12266342272306,151.59787069740383,178.05192928003797,178.11043259542802,179.88455529812296,11134.0,11802.0,695,1415,2907591.91,1037977.96,2907707.06,1038075.83,7370.62957327922,7633.366417177954,1651,7937,1802,8150,2907446.64,1038066.46,2912415.48,1032622.49,2908282.12,1037378.5,2903330.79,1043188.2
56b00794,999daf80,151.13272378927712,151.23388542242867,172.91032506374194,174.77284200030584,178.79375097354526,10721.0,11399.0,33,1056,2917599.67,1045651.77,2917477.08,1045563.38,7043.967214098775,4920.132865899107,1228,7292,1875,5438,2917598.87,1045653.1,2922689.25,1040784.27,2917692.62,1045034.95,2914583.97,1048848.61
