well_a,well_b,min_xy_dist_ft,global_angle_deg,local_angle_deg,min_run_250ft,corr_same_progress,corr_reverse_progress,corr_reverse_minus_same,overlap_grid_same,overlap_grid_reverse
8612b37f,9d072e4c,111.7389761899032,176.98493597963923,179.59551280017,1278,0.2737623564661123,0.04525416122134119,-0.22850819524477112,998,998
09053135,cd7f1687,112.79148061815266,177.6953542522508,179.41659523893634,907,0.1985388404572714,0.054853425378754164,-0.14368541507851723,999,999
3690a146,a692b17e,113.71263474208736,177.86701380293218,179.74008883638945,1675,0.26405470363477107,-0.1110763218828666,-0.37513102551763766,1000,999
19871e7f,df73b8f3,117.98413791685014,178.4438296948031,162.50060357405988,540,-0.1308952084996936,0.1432994257029406,0.27419463420263424,1001,1001
c908edd0,c9e980e8,119.08453635969636,176.62396345862487,179.83381782092798,629,-0.13994794301171942,0.02365542247285689,0.16360336548457632,1001,1001
4f3eb9e9,6dbe4b60,119.11325073210432,178.986727232196,157.47825179044366,523,-0.2914022217303297,-0.08509057979130064,0.20631164193902907,1001,1001
4fbe9c06,521a7819,124.31443439918492,178.51528181211495,179.37310649874107,1173,0.08738767081257313,-0.12434557077354834,-0.21173324158612147,959,959
13f598d9,41fb0192,125.27710165853756,177.02507994122217,178.39739995407027,2292,0.012788555422411958,0.018894187033708647,0.006105631611296689,1001,1001
df8290be,f03f10fe,126.49008893998754,178.43510501558708,179.74417967667736,1765,0.21212058804055775,0.1555522603819049,-0.056568327658652856,1000,1000
198a5607,9b5b61c1,127.41467929551796,179.6675876367346,179.45522425552252,1588,0.42215679675762297,-0.04831102286572585,-0.4704678196233488,1001,1001
c2c4db09,c8d9680c,130.3228000004425,179.32581862307427,179.94422704799055,1144,0.11994027422346164,0.10515880503012817,-0.014781469193333466,1001,1001
7d50373e,fb3848a1,132.7499483995091,177.97244782407773,179.86276616101162,1176,0.15060677679188283,0.05060499404929669,-0.10000178274258614,1000,1000
d24ff243,e737965a,135.092472402848,178.90831666363502,179.69732362337595,1189,0.07074356098360074,0.010510830266347217,-0.06023273071725352,1001,1001
29de15c8,cbe51de1,137.1414897104011,177.91557812689786,165.4446534606246,747,0.17639931868366984,-0.21772180183656806,-0.3941211205202379,1001,1001
1131525f,8a9c8932,137.8491189670692,178.9427722562914,179.79748551910347,1052,0.11259143615412612,-0.002753655177248972,-0.11534509133137509,1001,1001
6a0ff78e,bb2cdd83,138.61952279523527,178.96463144025367,179.7903037964421,774,0.05705199037558534,0.07058595337977265,0.013533963004187313,1001,1001
b32e4903,be83e781,138.74392995725134,177.96376066854054,179.52007777660666,898,-0.01879416778387984,-0.1203900407892584,-0.10159587300537856,980,980
044af7d1,e730c32b,139.3075310240269,179.86860170462384,179.92960719799535,868,0.17699918322816477,-0.13091090491879379,-0.3079100881469585,1000,999
3d96d897,c9578d27,139.96925126609392,179.09217970245604,179.95534404891083,1325,0.022841071304425174,0.12554371104009104,0.10270263973566587,1000,1000
6a0ff78e,b585b4fa,141.3381282598039,178.89218622441663,150.01812629755378,877,0.08698644586853946,-0.05276292409070724,-0.1397493699592467,1001,1001
06df5958,264feceb,141.46419370298509,179.3227899236083,179.82811960711396,1131,0.04358268036000017,-0.0492163957852458,-0.09279907614524596,1001,1001
633774dc,a612d5a0,144.7549767713128,179.87821569390726,179.71750541593556,1437,0.3060416032102207,-0.13911182810309305,-0.44515343131331375,1000,999
764072a5,8a89da23,146.06363442017283,178.60739337323994,170.06029996700175,1605,0.18529517555725636,-0.03037851094941626,-0.21567368650667262,1000,1000
54a7e3c2,a4f989c2,147.19883049785184,178.86783650921802,179.99329421561924,1418,0.20246822459691413,-0.07474376541337836,-0.2772119900102925,1000,1000
54a7e3c2,d011f41b,147.19883049785184,178.00932659744163,179.99329421561924,1418,0.15478369611619144,-0.014398297349726526,-0.16918199346591797,1000,1000
85380836,fbd68d27,148.03206814744604,178.9877086715233,179.86023062184162,2337,0.2507493676857499,-0.15879618086436872,-0.4095455485501186,976,976
8a89da23,e14d641e,148.1426248588804,178.29380545421188,179.9039871559182,1547,0.1311940979941076,-0.027179378819619203,-0.15837347681372682,1000,1000
8d5d46d7,d6c320d9,148.63579010455885,178.66724676250004,178.1441761865093,1171,0.18738061289517355,-0.09603697372310051,-0.28341758661827404,1001,1001
1b1c5372,5bd25f59,150.55832424693415,152.08992049609418,177.77309199779927,609,-0.23277894660441512,0.11353910959050977,0.3463180561949249,998,998
4fbe9c06,8f201368,151.12266342272306,178.05192928003797,179.88455529812296,1729,-0.0800036753641414,0.05133506314966526,0.13133873851380665,959,926
56b00794,999daf80,151.13272378927712,172.91032506374194,178.79375097354526,586,-0.056529660346829824,0.032029964608289996,0.08855962495511982,1000,1000
d00e7eb9,d90aa14c,152.07876511855267,179.8589142301504,179.7750060447968,1525,0.08007915225847902,-0.006206655195579942,-0.08628580745405896,999,999
1a518997,7c607683,152.39657345251726,177.94026177699357,179.4616164192399,1772,0.14910185998738748,-0.0069159692968708995,-0.1560178292842584,983,983
7d50373e,91abc4c7,152.5743061593394,178.40041661460728,167.32021353283417,1132,-0.0991850223346345,-0.021834923968756755,0.07735009836587775,1000,1000
1a68190b,a6b8ac67,153.24988874377297,166.01003442858374,173.90413009950424,791,-0.016541042898921297,0.2898185231502104,0.30635956604913167,1000,1000
cdc60a53,eeed308d,154.32541624752125,177.91247284852878,178.56811996858596,906,0.003944281542208991,0.08452038465976057,0.08057610311755158,961,927
62a6f539,aee6393a,154.6662358111682,173.02648842545912,167.1968084637853,808,-0.008973133005788139,-0.06359453511059628,-0.054621402104808134,1000,1000
ce8399b7,ff8bb73a,156.10988213446822,178.5242961676778,178.48370289643597,3103,0.30502428020039757,0.11034987444438332,-0.19467440575601425,1001,1001
511e1db0,ff8bb73a,156.13893076357266,178.18632593511305,178.48370289643597,3878,0.2131555378176841,-0.21915397569065603,-0.4323095135083401,1001,1001
3ef98781,cbe51de1,156.6621003943183,176.2331242879869,159.62847279622306,741,0.3727979955739338,-0.09031043875650652,-0.4631084343304403,1001,1001
633774dc,9b5b61c1,158.36243557099493,179.90778342226528,179.03051666785305,1336,0.3572655589109007,-0.10593609275942228,-0.463201651670323,1000,1000
995ff498,e6c55748,160.56764306663578,178.28431272917268,177.06000412128802,749,0.04051012065587777,0.04049002481014665,-2.0095845731121775e-05,1001,1001
0a57a29c,3bbe1f5d,161.30715607162756,179.1373675782723,173.82228819838727,730,0.050695193587072265,-0.17361297829231284,-0.22430817187938512,1000,1000
09441b8d,1a518997,164.57083885050506,178.00405832318447,178.09726519105263,1740,0.25020821894911005,-0.11302449901821242,-0.3632327179673225,985,985
56b00794,865033f8,165.5360027308274,174.65956156293785,157.97881962919075,827,-0.17657471554833895,0.046849705055654126,0.2234244206039931,999,999
198a5607,a4f989c2,167.26843695073092,179.23148419353674,179.63879469870983,1301,0.07050054818021527,0.06611933115310113,-0.004381217027114137,1001,1001
198a5607,d011f41b,167.26843695073092,178.37297428176018,179.63879469870983,1301,0.39563144621618607,-0.11592966617665416,-0.5115611123928402,1001,1001
729f4217,85380836,169.9425352878153,178.63400489715784,179.9363688312594,1442,0.1312235328612715,-0.14247617110744468,-0.2736997039687162,976,974
0be01c24,4ed93db6,170.5223862133397,174.97329041377708,167.4371025848698,691,0.34123266933349233,0.010470977979483553,-0.3307616913540088,1001,1001
e45a2a62,f9fc81aa,170.73409647773994,178.74332151382728,179.85917788392206,1219,0.07747443690367593,-0.09710422930267543,-0.17457866620635137,1000,1000
c9578d27,d2f3b1ab,175.84520522330698,178.98117692188907,178.66105139503532,1148,-0.016496545756104607,0.17737269860243687,0.19386924435854147,1000,1000
29b24409,eeed308d,176.64040449444352,177.90300062379023,174.28108873150592,818,0.273013950626281,-0.1645290299481469,-0.43754298057442786,961,931
e7d0c1de,eb06a4e7,176.7295665698144,179.12229180787872,179.9233666453838,1916,0.10334992198932874,0.28593625721895705,0.1825863352296283,1001,1001
445af6c2,f6824bb0,178.577587899581,179.53355335080812,178.89891440392748,1087,0.38820374637570115,0.06495554631447968,-0.32324820006122146,1000,1000
01982c1d,7256229b,178.59003555628922,177.28661149571803,179.76548043692253,668,-0.04859623108859114,0.0335060842170531,0.08210231530564424,1000,1000
729f4217,8f201368,182.6031861715176,178.33900931330987,179.88457145536793,1399,0.12950714401307892,0.02804681557563523,-0.10146032843744368,968,966
865033f8,e85074c5,194.0759091182236,174.71333566145023,179.98265609154592,768,0.040068811335463375,-0.05734538287826764,-0.09741419421373101,999,998
203721ab,4f4ac5ce,196.99733120028293,178.81061995609818,179.9310670215944,1236,0.1352525141018869,0.10553893683019776,-0.02971357727168915,1000,1000
ebe69318,fb3848a1,205.1009509970736,178.39632810429958,179.8929228976571,1343,0.16093707328977552,0.14607913049958804,-0.014857942790187484,1000,1000
1a730ac2,45fb3e21,208.19246408087108,179.39002181573264,179.9392404296375,2166,0.021962991967743196,-0.07845797297366752,-0.10042096494141071,1000,999
01982c1d,ee288beb,220.8324835706792,179.5675737297351,179.8560759079435,1431,-0.05425218691492749,0.01250049141988452,0.06675267833481201,1001,1001
3bfee975,ed6436d6,222.9526194060154,179.9000853607131,179.94406829460124,1315,-0.0779743556563578,0.07783999984206026,0.15581435549841804,1000,1000
1590af81,1a730ac2,228.27294473970807,179.1753046110615,175.74682693607707,681,0.14780955762739156,-0.23583023255742805,-0.38363979018481964,1000,1000
