well_a,well_b,min_xy_dist_ft,sample_min_xy_dist_ft,global_angle_deg,eval_angle_deg,local_angle_at_closest_deg,a_md,b_md,a_closest_idx,b_closest_idx,a_x,a_y,b_x,b_y,a_length_ft,b_length_ft,a_eval_start_idx,a_eval_end_idx,b_eval_start_idx,b_eval_end_idx,a_start_x,a_start_y,a_end_x,a_end_y,b_start_x,b_start_y,b_end_x,b_end_y,a_rows_within_250ft,b_rows_within_250ft,min_rows_within_250ft,a_max_run_within_250ft,b_max_run_within_250ft,min_max_run_within_250ft,a_rows_within_500ft,b_rows_within_500ft,min_rows_within_500ft,a_max_run_within_500ft,b_max_run_within_500ft,min_max_run_within_500ft,a_rows_within_1000ft,b_rows_within_1000ft,min_rows_within_1000ft,a_max_run_within_1000ft,b_max_run_within_1000ft,min_max_run_within_1000ft
5397ceb1,8d92cb49,71.30908567649446,71.30908567649446,176.21296206054657,176.18520735829804,131.32202634313862,11170.0,11284.0,0,0,2990465.23,1089508.6,2990521.22,1089552.76,6430.251919738481,4612.258162982885,1556,6810,1250,4838,2990465.23,1089508.6,2992846.0,1083535.32,2990521.22,1089552.76,2988534.3,1093715.1,569,421,421,569,421,421,847,695,695,847,695,695,1351,1202,1202,1351,1202,1202
2d0c268a,c1d046f4,71.56410622639605,71.64751496000676,177.4132200320769,178.67099519691286,174.50090986713448,11085.0,11061.0,415,0,3002590.63,1116645.44,3002662.01,1116640.31,5745.931902363478,6698.863805094217,1739,6288,1404,6916,3002585.95,1116598.81,3002839.16,1122339.16,3002662.01,1116640.31,3002669.15,1109941.45,814,448,448,814,448,448,1080,737,737,1080,737,737,1581,1244,1244,1581,1244,1244
c3957531,e5864244,75.36658477049615,75.37660379693345,163.35663563479557,162.80602004071596,177.2367151541961,12765.0,12232.0,1050,246,3020728.39,1087563.02,3020799.44,1087588.16,6644.7088663462855,5568.5778687559805,1938,7253,1568,6036,3020875.58,1087131.53,3018515.67,1093343.05,3020801.18,1087588.12,3024186.98,1083167.1,1296,1046,1046,1296,1046,1046,1551,1343,1343,1551,1343,1343,2055,1859,1859,2055,1859,1859
8c167025,ef04658e,76.06231261276365,76.07797644501953,173.5775273654967,173.56241192480582,171.89702631004266,10461.0,10274.0,195,1,2941140.47,1064412.04,2941065.2,1064401.09,6605.5737199733385,5223.297371909938,1745,7112,1560,5663,2941142.83,1064409.76,2945482.99,1059430.14,2941065.2,1064401.08,2938095.25,1068697.85,673,620,620,673,620,620,952,895,895,952,895,895,1454,1398,1398,1454,1398,1398
2acc78d4,9b9e3b49,77.06220149984756,77.22058922299777,177.792514664268,178.78194525123982,179.97976899769657,11665.0,12217.0,519,1073,3008516.35,1110774.04,3008439.33,1110776.59,5543.28095572478,6300.552131884926,1843,6108,1757,6874,3008523.0,1110844.86,3008478.21,1105301.76,3008427.3,1110267.23,3008720.85,1116560.94,1348,1382,1348,1348,1382,1348,1616,1639,1616,1616,1639,1616,2126,2143,2126,2126,2143,2126
82fcf37c,df71d1ff,77.20373630848307,77.21748118131603,179.0405223824936,178.92467053113444,110.1221996162649,11050.0,10393.0,498,0,2884314.71,1020824.58,2884372.11,1020876.21,7172.541831073496,7432.332505425212,1383,7396,1651,7878,2884500.23,1020608.8,2879696.56,1025935.16,2884372.11,1020876.21,2889256.65,1015274.35,740,936,740,740,936,740,997,1204,997,997,1204,997,1500,1719,1500,1500,1719,1500
bd6f0e19,cbb406b5,82.57203945605377,82.73792177682645,178.44668533883933,179.14438094496705,179.89726700228405,11775.0,11519.0,1180,925,3005872.01,1122596.74,3005789.45,1122598.15,6455.528022539988,7517.787453054278,1839,6978,1807,8134,3005988.13,1123257.02,3005655.06,1116810.09,3005755.68,1122272.02,3005939.9,1129787.55,1734,1748,1734,1734,1748,1734,1999,2058,1999,1999,2058,1999,2504,2574,2504,2504,2574,2504
6d1d74e1,98bc6f66,82.69572238043624,83.1402531869447,179.51612080019427,179.3477435063916,179.38934130701148,11021.0,10863.0,462,580,2883638.74,1020056.19,2883575.02,1020003.48,7055.193462889581,7250.185129001951,1486,7315,1657,7719,2883492.86,1020229.0,2888081.38,1014869.78,2883662.75,1019879.9,2878901.07,1025347.22,858,1067,858,858,1067,858,1119,1326,1119,1119,1326,1119,1623,1832,1623,1623,1832,1623
3bbe1f5d,4caa7289,91.3255999157236,91.60776877538726,179.06721488844843,179.2866467651404,179.510750178903,11191.0,10915.0,713,194,2904023.49,1030972.88,2904094.23,1031030.64,7635.539032510933,6545.943853906805,1266,8183,1458,6853,2903835.14,1031100.01,2908904.61,1025390.2,2904113.99,1031006.27,2899848.2,1035971.39,986,736,736,986,736,736,1270,1022,1022,1270,1022,1022,1785,1541,1541,1785,1541,1541
5a1a8fd8,8612b37f,91.9935693404534,92.68866165854703,179.55437812285834,178.26479380328502,99.66930787317798,11231.0,12059.0,0,713,3000635.47,1102190.54,3000543.49,1102192.12,6349.964629956588,6405.633661707643,1554,6813,1642,6806,3000635.47,1102190.54,3002892.36,1096255.18,3000588.79,1101841.18,2998358.75,1107846.1,933,938,933,933,938,933,1229,1197,1197,1229,1197,1197,1746,1699,1699,1746,1699,1699
593876b6,da940160,92.81781941006824,93.418598790611,175.90981215909275,175.40084766252434,179.48455216025192,11824.0,11019.0,815,242,3006902.59,1116397.63,3006995.33,1116393.83,6052.150729294504,6238.927720377919,1524,6365,1660,6791,3006910.23,1116908.12,3006319.58,1110884.86,3006996.2,1116392.68,3007160.65,1122629.44,1046,1276,1046,1046,1276,1046,1303,1542,1303,1303,1542,1303,1808,2049,1808,1808,2049,1808
5a5269a9,d60430e6,93.0302509939609,93.54908444230948,173.96858699461362,177.42925790649625,178.56543548049447,11503.0,10679.0,815,146,2993621.27,1114153.4,2993707.77,1114187.64,7696.807246676925,3748.143883097292,1540,8052,1665,4175,2993448.05,1114598.23,2996266.03,1107435.84,2993713.9,1114181.18,2992715.7,1117793.96,1057,972,972,1057,972,972,1316,1302,1302,1316,1302,1302,1822,1850,1822,1822,1850,1822
05a0ee4d,bffe3082,94.19902759564906,94.26067684900798,178.8026709309846,179.60866258310068,160.20921247547406,11463.0,11110.0,493,0,2994556.03,1100581.1,2994466.81,1100550.88,5578.52683134203,6699.90939963357,1750,6097,1463,7185,2994585.45,1100502.46,2992517.01,1105683.34,2994466.81,1100550.88,2996820.48,1094278.0,824,733,733,824,733,733,1091,1020,1020,1091,1020,1020,1596,1547,1547,1596,1547,1547
4654e7de,8d5d46d7,95.7053028833786,95.79988361155134,178.90280620090104,177.4048817316486,179.45855776939635,10857.0,11879.0,125,1170,2906957.83,1032884.25,2907019.52,1032957.42,6642.247508456801,6858.800647255863,1637,7009,1527,7281,2906951.58,1032888.3,2911431.08,1027983.86,2907615.17,1032470.66,2903087.45,1037622.64,1243,1400,1243,1243,1400,1243,1564,1656,1564,1564,1656,1564,2096,2160,2096,2096,2160,2096
06df5958,b32e4903,97.455040916266,97.8083457584298,179.0267318313957,178.11696137665987,179.11807821913928,11071.0,11664.0,299,1067,2903676.58,1027024.16,2903742.29,1027096.13,4707.550069123003,6929.499926617908,1530,5038,1650,7419,2903605.04,1027075.94,2906775.06,1023595.71,2904181.88,1026696.68,2899603.31,1031898.09,1184,1375,1184,1184,1375,1184,1466,1637,1466,1466,1637,1466,1983,2144,1983,1983,2144,1983
203721ab,c42fe306,98.94353187557331,99.03156870412325,178.74876573168478,178.1634017648153,179.82508090664288,11116.0,11566.0,541,1091,2899305.8,1025090.33,2899378.05,1025157.93,6842.9556468680685,6524.636972583345,1505,7234,1928,7022,2899177.07,1025220.51,2903775.7,1020153.1,2899804.94,1024728.83,2895526.78,1029655.11,1381,1495,1381,1381,1495,1381,1649,1760,1649,1649,1760,1649,2162,2268,2162,2162,2268,2162
10a1281a,be83e781,102.7032005343106,102.7314309254262,177.22216364321972,177.68876598274576,179.71455510083644,11371.0,10985.0,774,173,2904106.08,1027124.59,2904031.33,1027054.16,6874.020940970427,4450.330394139369,1744,7352,1555,4775,2904336.64,1026905.39,2899861.89,1032123.51,2904004.6,1027076.66,2907061.93,1023842.75,1038,906,906,1038,906,906,1302,1163,1163,1302,1163,1163,1809,1669,1669,1809,1669,1669
efde6ac3,fae0c593,106.20407007284804,106.23842054538429,178.18225288800758,178.40295731992458,179.66655746257044,11206.0,10828.0,877,593,2994594.48,1121775.51,2994696.47,1121805.13,5738.249387121568,5595.461495399732,1661,6219,1744,6146,2994436.83,1122149.3,2996389.15,1116753.38,2994732.55,1121686.2,2992996.67,1127005.59,1235,1269,1235,1235,1269,1235,1500,1550,1500,1500,1550,1500,2005,2063,2005,2005,2063,2005
d085e611,fae0c593,106.20407007284804,106.23842054538429,178.1108376552939,178.24633938462284,179.66655746257044,11206.0,10828.0,877,593,2994594.48,1121775.51,2994696.47,1121805.13,7368.783170008496,5595.461495399732,1661,7851,1744,6146,2994436.83,1122149.3,2996952.54,1115223.25,2994732.55,1121686.2,2992996.67,1127005.59,1235,1269,1235,1235,1269,1235,1500,1550,1500,1500,1550,1500,2005,2063,2005,2005,2063,2005
18d24f7b,884ecb5f,106.4586492494401,106.531356885955,179.4262964932016,179.45165731454642,179.60973150182517,11165.0,11231.0,533,677,2906957.13,1037377.52,2906879.51,1037304.66,5887.033119772818,7625.947473154013,1702,6259,1330,8053,2907112.12,1037221.71,2903234.94,1041651.68,2906668.53,1037473.28,2911748.16,1031785.36,1049,1123,1049,1049,1123,1049,1322,1386,1322,1322,1386,1322,1837,1892,1837,1837,1892,1837
8bb9c1e6,d2f3b1ab,106.91961092348436,107.43522001663015,178.51919315123305,178.5816996273033,179.50351138257952,10749.0,11829.0,230,1087,2906760.91,1031662.91,2906682.27,1031590.47,5877.506581978289,6733.943528512642,1836,6381,1437,7017,2906762.86,1031663.8,2902952.02,1036138.46,2906135.93,1032189.28,2910633.09,1027177.14,1507,1315,1315,1507,1315,1315,1786,1579,1579,1786,1579,1579,2295,2083,2083,2295,2083,2083
060ab2b8,ebe69318,107.18900036872466,107.20504512358784,178.19528511926077,178.41142427696678,172.8608448579397,10675.0,11536.0,287,1248,2901023.7,1025945.6,2900944.63,1025873.23,7263.5878280638735,6129.093928803715,1560,7817,1742,6717,2901028.92,1025943.05,2896319.2,1031472.81,2900480.24,1026355.25,2904599.33,1021816.65,1410,1477,1410,1410,1477,1410,1689,1742,1689,1689,1742,1689,2207,2251,2207,2207,2251,2207
0be01c24,da940160,107.29520865364636,107.47464259050064,174.82576152595666,174.7928327248171,179.89806115948204,11517.0,11366.0,723,589,3007123.6,1116491.14,3007017.73,1116508.57,5904.570095044939,6238.927720377919,1647,6384,1660,6791,3007171.27,1116757.71,3006483.95,1110893.28,3006996.2,1116392.68,3007160.65,1122629.44,1080,1114,1080,1080,1114,1080,1344,1386,1344,1344,1386,1344,1850,1899,1850,1850,1899,1850
084d66f9,5fb1c15f,107.55882158156824,107.76012852618976,177.41328769840948,177.12192966354866,62.3377455027501,10225.0,11112.0,0,867,2929605.81,1056686.42,2929682.16,1056762.18,5049.714428014704,4408.854118577633,1747,5631,1997,4856,2929605.81,1056686.42,2932964.64,1052915.76,2929972.36,1056429.02,2926894.21,1059585.44,1220,1106,1106,1220,1106,1106,1499,1370,1370,1499,1370,1370,2008,1874,1874,2008,1874,1874
aee6393a,e97032ad,107.65157918034942,107.75402219892096,174.47137554026548,175.53051823410806,166.60388042040188,10730.0,11451.0,0,1280,2918100.14,1046080.67,2918017.02,1046012.26,6920.686982113914,5042.210241788665,1281,7145,2124,5653,2918100.14,1046080.67,2923179.74,1041380.29,2918442.19,1045469.08,2915088.49,1049234.26,1003,1506,1003,1003,1506,1003,1322,1768,1322,1322,1768,1322,1855,2272,1855,1855,2272,1855
aee6393a,e7c36e81,107.65157918034942,107.75402219892096,173.4422967884782,174.0513917999992,166.60388042040188,10730.0,11451.0,0,1280,2918100.14,1046080.67,2918017.02,1046012.26,6920.686982113914,5054.200573038311,1281,7145,2124,5654,2918100.14,1046080.67,2923179.74,1041380.29,2918442.19,1045469.08,2915148.84,1049302.98,1003,1506,1003,1003,1506,1003,1322,1768,1322,1322,1768,1322,1855,2272,1855,1855,2272,1855
3ef98781,877ed19c,108.89242489748588,108.89374132615823,178.21207876986364,178.17824798969596,163.96685712365502,11300.0,11194.0,25,206,3012167.49,1115378.91,3012067.4,1115336.02,5055.338546299344,5040.269735887232,1451,5342,1923,5630,3012168.31,1115377.46,3012051.55,1120431.45,3012065.98,1115332.04,3012339.55,1110299.2,459,723,459,459,723,459,735,1029,735,735,1029,735,1240,1538,1240,1240,1538,1240
5bd25f59,944f36b9,109.96617025246822,109.97465617126196,152.51009681122312,151.85681212175473,132.8678621977324,10686.0,10420.0,823,0,2998701.25,1127779.99,2998625.6,1127700.18,5507.915325892467,5744.616698066058,1910,6119,1405,6034,2998878.2,1127584.36,2994828.06,1131317.12,2998625.6,1127700.18,3000575.79,1122296.72,1087,647,647,1087,647,647,1353,947,947,1353,947,947,1859,1463,1463,1859,1463,1463
5def1ce5,bb2cdd83,111.49822061392,111.50476940475885,179.14728928103833,179.66932901192968,179.2355631002461,11336.0,10533.0,726,166,2906457.01,1036747.35,2906531.97,1036829.89,7589.48777884925,5061.157626966524,1554,7996,1840,5664,2906205.48,1036973.65,2911263.45,1031315.27,2906533.83,1036828.64,2903217.38,1040651.79,952,1126,952,952,1126,952,1214,1402,1214,1214,1402,1214,1721,1914,1721,1721,1914,1721
8612b37f,9d072e4c,111.7389761899032,111.85243135526645,176.98493597963923,175.05329535810066,179.59551280017,11656.0,12253.0,310,991,3000563.67,1101899.2,3000459.29,1101859.32,6405.633661707643,6532.455022891409,1642,6806,1691,6797,3000588.79,1101841.18,2998358.75,1107846.1,3000251.43,1102569.96,3002200.37,1096335.01,1278,1280,1278,1278,1280,1278,1631,1540,1540,1631,1540,1540,2164,2043,2043,2164,2043,2043
09053135,cd7f1687,112.79148061815266,112.83752079847922,177.6953542522508,177.6255700081148,179.41659523893634,11586.0,11235.0,604,280,2989840.0,1089177.43,2989735.34,1089135.38,7197.02664036337,5462.899114353162,1808,7714,1749,5980,2989780.15,1089331.95,2992322.2,1082598.81,2989736.6,1089119.71,2987603.1,1094148.77,907,910,907,907,910,907,1179,1178,1178,1179,1178,1178,1687,1686,1686,1687,1686,1686
e85074c5,e97032ad,113.51859627401568,113.73196032757664,175.47131169454576,176.2699265059973,138.01952671249632,11406.0,10171.0,956,0,2918362.8,1045387.94,2918442.19,1045469.08,6754.748974617945,5042.210241788665,1561,7235,2124,5653,2918025.57,1045733.64,2922902.56,1041060.14,2918442.19,1045469.08,2915088.49,1049234.26,1181,1246,1181,1181,1246,1181,1448,1534,1448,1448,1534,1448,1955,2053,1955,1955,2053,1955
e7c36e81,e85074c5,113.51859627401568,113.73196032757664,174.4422329427585,174.79080007188853,138.01952671249632,10171.0,11406.0,0,956,2918442.19,1045469.08,2918362.8,1045387.94,5054.200573038311,6754.748974617945,2124,5654,1561,7235,2918442.19,1045469.08,2915148.84,1049302.98,2918025.57,1045733.64,2922902.56,1041060.14,1246,1181,1181,1246,1181,1181,1534,1448,1448,1534,1448,1448,2053,1955,1955,2053,1955,1955
3690a146,a692b17e,113.71263474208736,113.91084583983306,177.86701380293218,177.6788017679911,179.74008883638945,11576.0,11076.0,1250,783,2910219.45,1039768.62,2910304.33,1039844.29,5182.706604786658,4870.136099227756,1688,5760,1843,5408,2909752.96,1040260.13,2913248.84,1036434.0,2910510.89,1039642.6,2907361.94,1043357.75,1754,1675,1675,1754,1675,1675,2022,1968,1968,2022,1968,1968,2530,2477,2477,2530,2477,2477
29b24409,5a5d1982,113.9712261932684,114.075904554754,178.24400853308936,178.4724932813713,0.1412119768542592,10651.0,11110.0,121,567,2907561.76,1034503.32,2907485.28,1034418.82,6910.248399884159,4912.079027102644,1830,7416,1552,5445,2907560.77,1034505.75,2903080.61,1039766.9,2907405.34,1034469.25,2910703.12,1030828.76,763,822,763,763,822,763,1053,1090,1053,1053,1090,1053,1565,1601,1565,1565,1601,1565
19871e7f,df73b8f3,117.98413791685014,117.99024451160966,178.4438296948031,179.4803990833739,162.50060357405988,11738.0,12080.0,0,347,3001911.72,1071594.08,3002017.14,1071647.06,6743.9587957298645,6623.568059407195,1859,7151,1839,7149,3001911.72,1071594.08,2997882.19,1077001.84,3002004.89,1071669.9,3005816.79,1066253.16,540,716,540,540,716,540,884,1016,884,884,1016,884,1398,1521,1398,1398,1521,1398
c908edd0,c9e980e8,119.08453635969636,119.23123625940867,176.62396345862487,176.20207419476645,179.83381782092798,11329.0,11250.0,284,504,3008256.7,1116567.65,3008137.68,1116563.73,6448.813408721009,5620.777824936577,1458,6750,1903,6261,3008260.02,1116493.85,3008290.79,1122942.59,3008125.42,1116617.17,3007767.65,1111007.79,629,955,629,629,955,629,899,1235,899,899,1235,899,1411,1743,1411,1411,1743,1411
4f3eb9e9,6dbe4b60,119.11325073210432,119.11325073210432,178.986727232196,179.31637795018943,157.47825179044366,11659.0,10789.0,300,0,3005270.34,1117058.79,3005151.23,1117057.91,5860.2460283679575,6137.639849094888,1214,5910,2025,6672,3005270.45,1116796.89,3005458.44,1122654.12,3005151.23,1117057.91,3004845.89,1110927.87,523,956,523,523,956,523,787,1237,787,787,1237,787,1294,1766,1294,1294,1766,1294
09441b8d,fbd68d27,122.20240586845192,122.27018810840316,178.79270376114326,178.24738209839012,139.9093789800802,11991.0,10590.0,1604,0,2907647.67,1039220.54,2907556.01,1039139.72,6799.295443771958,8148.962381812816,1907,7394,1723,8551,2908308.08,1038444.9,2903888.74,1043612.09,2907556.01,1039139.72,2912981.9,1033059.81,1826,1616,1616,1826,1616,1616,2095,1890,1890,2095,1890,1890,2599,2405,2405,2599,2405,2405
4fbe9c06,521a7819,124.31443439918492,124.35601231930411,178.51528181211495,178.55235073637934,179.37310649874107,10550.0,11421.0,111,1046,2907447.35,1038065.28,2907351.16,1037986.53,7370.62957327922,6597.515965308433,1651,7937,2024,7223,2907446.64,1038066.46,2912415.48,1032622.49,2907622.96,1037643.45,2903303.06,1042630.0,1173,1267,1173,1173,1267,1173,1467,1533,1467,1467,1533,1467,1981,2040,1981,1981,2040,1981
b04b58a3,e25f1537,124.47522042578048,124.47522042578048,179.97227427105713,179.74466272881685,141.80919673007088,10133.0,9988.0,0,0,2942314.58,1073606.38,2942296.67,1073729.56,4857.208331840329,4450.284215923756,1827,5228,1841,5017,2942314.58,1073606.38,2945499.16,1069938.83,2942296.67,1073729.56,2939377.26,1077088.44,412,629,412,412,629,412,747,945,747,747,945,747,1259,1451,1259,1259,1451,1259
13f598d9,41fb0192,125.27710165853756,125.28202943731628,177.02507994122217,177.5747865756593,178.39739995407027,12192.0,16436.0,199,4380,3008596.17,1074048.75,3008491.68,1073979.64,8525.964615414518,4097.232180692386,1628,8933,1408,4380,3008608.53,1074027.45,3004289.01,1081378.22,3006235.36,1077399.63,3008491.68,1073979.64,2702,2292,2292,2702,2292,2292,4897,4381,4381,4897,4381,4381,5455,4381,4381,5455,4381,4381
df8290be,f03f10fe,126.49008893998754,126.512307701724,178.43510501558708,178.65681466379027,179.74417967667736,10868.0,11993.0,435,1469,2910197.66,1039495.23,2910103.67,1039410.58,5224.692773790354,5409.760003225874,1703,5674,1678,5822,2910259.05,1039434.25,2906846.43,1043390.44,2909380.01,1040189.78,2913024.06,1036191.48,1765,1770,1765,1765,1770,1765,2055,2040,2040,2055,2040,2040,2573,2548,2548,2573,2548,2548
198a5607,9b5b61c1,127.41467929551796,127.56276886295332,179.6675876367346,179.73923149262893,179.45522425552252,11594.0,10848.0,1303,587,2971640.07,1095909.77,2971547.65,1095822.06,7484.06269820082,6618.190595268474,1843,8093,1683,7214,2972177.06,1095445.9,2967217.81,1101050.99,2971476.4,1095891.26,2975890.57,1090960.18,1612,1588,1588,1612,1588,1588,1880,1871,1871,1880,1871,1871,2391,2379,2379,2391,2379,2379
c2c4db09,c8d9680c,130.3228000004425,130.36970085113197,179.32581862307427,179.15100934581855,179.94422704799055,10836.0,11626.0,241,879,2995563.02,1115118.65,2995684.53,1115165.76,7458.938708858213,7431.688384135842,1812,7850,1460,7740,2995539.8,1115168.82,2998194.85,1108198.42,2995902.05,1114627.68,2993338.6,1121603.26,1209,1144,1144,1209,1144,1144,1488,1416,1416,1488,1416,1416,2006,1926,1926,2006,1926,1926
2e29e833,fde20ecf,130.86375242977732,130.86375242977732,179.10919376191262,179.2865067708354,178.58961379685067,18851.0,17597.0,7253,6385,3023300.59,1114895.81,3023305.8,1115026.57,6780.857058639501,5743.228855904852,1826,7253,1719,6385,3023285.38,1108114.97,3023300.59,1114895.81,3023407.97,1120768.89,3023305.8,1115026.57,120,120,120,120,120,120,370,370,370,370,370,370,871,870,870,871,870,870
2b06ad65,b85f7b06,132.3613856076895,132.3613856076895,179.46469216838847,179.68744081962674,40.74205209497831,11275.0,11260.0,0,0,3011810.14,1115425.28,3011927.04,1115363.2,5459.600234449329,5050.844166275567,1450,5705,1650,5452,3011810.14,1115425.28,3011674.7,1120883.2,3011927.04,1115363.2,3012005.16,1110312.96,347,510,347,347,510,347,661,820,661,661,820,661,1171,1329,1171,1171,1329,1171
7d50373e,fb3848a1,132.7499483995091,132.87492163664882,177.97244782407773,177.9378486834315,179.86276616101162,11295.0,11351.0,542,964,2900391.76,1025921.47,2900491.08,1026009.55,6211.713457155149,7285.115310254045,1372,6493,1940,7858,2900198.34,1026121.53,2904406.87,1021552.76,2900771.07,1025715.54,2896027.96,1031245.08,1176,1439,1176,1176,1439,1176,1447,1722,1447,1447,1722,1447,1957,2235,1957,1957,2235,1957
84633df4,eb640a35,134.92067373086414,134.95524072828448,178.62392259602396,177.9904739576058,148.88920384650558,10571.0,10133.0,507,0,2992649.6,1121639.4,2992523.81,1121590.61,6124.81230671629,7306.408691169848,1747,6718,1745,7781,2992666.1,1121587.91,2990647.07,1127370.37,2992523.81,1121590.61,2995097.31,1114752.43,830,676,676,830,676,676,1118,976,976,1118,976,976,1626,1497,1497,1626,1497,1497
c3957531,d4f60a28,135.07807557092568,135.11469979214718,163.30289546054144,163.54904973309655,123.64018386837208,12469.0,11544.0,754,0,3020816.87,1087337.91,3020945.84,1087378.07,6644.7088663462855,5753.978084855896,1938,7253,1934,6434,3020875.58,1087131.53,3018515.67,1093343.05,3020945.84,1087378.07,3024448.65,1082813.14,1005,908,908,1005,908,908,1288,1283,1283,1288,1283,1283,1798,1808,1798,1798,1808,1798
