well,rows,fold
8bb9c1e6,4546,0
8bda1a11,5981,0
8bfa881d,4089,0
8c167025,5368,3
8c8348e8,3888,1
8cc21f01,4044,4
8cc800b3,6576,2
8d5d46d7,5755,4
8d92cb49,3589,0
8f201368,6349,3
90386ee4,3840,1
91abc4c7,5848,3
91b301ce,6570,3
91db7070,4073,1
925a7cd1,4517,4
9283ae69,3371,3
9298ad5b,3964,0
9314ff13,2748,3
93209a3d,4697,0
939d9c34,5101,2
93f5d2e6,3691,1
940a48d9,3963,0
940e709a,3348,4
9426ec1e,2532,4
94467f50,3035,4
944f36b9,4630,4
94d813a4,4847,4
95b559e7,2887,1
95c8427f,6335,1
96936c22,3346,2
96ae5806,9839,3
96b7eea1,4332,4
9719aa04,4871,3
974802e7,5843,2
97cd5bf9,3449,3
98177ced,4772,4
9896fc0b,3595,2
98bc6f66,6063,3
992c99e8,4904,1
992ce078,2879,4
99529c45,5840,1
995ff498,4526,0
999daf80,3564,2
9a6b0392,4255,3
9a8ae0d6,6294,2
9a95e33f,6447,4
9ab94eeb,4442,4
9ad5410a,4205,0
9ae248be,5271,1
9af1ffd0,3525,2
9b5b61c1,5532,1
9b9e3b49,5118,4
9bd2bba3,7439,3
9c211c53,7265,3
9c350a6a,6052,2
9c8375f7,3674,2
9d072e4c,5107,1
9d3ec64c,3480,2
9d4272e3,4030,2
9d5e14d4,5400,0
9da441ba,5783,1
9dede370,6297,4
9def2eb2,6003,2
9df1b1f9,4701,1
9dfff011,4319,1
9e3e364d,4290,4
9efc812e,4450,2
9f0c7bae,2542,2
9ffce529,5212,2
a0383629,5832,4
a056d01e,6557,0
a08d9e63,3685,0
a0b83014,5035,4
a0e92ed6,4897,3
a15bc102,3236,2
a247e7cf,5674,2
a2e8e7f6,4760,4
a3518960,4967,3
a3f71395,5543,1
a4719920,5884,0
a48640d9,4532,0
a4cdbb0f,5204,2
a4f989c2,5385,4
a5aa7973,4616,3
a5e6f7dc,5649,2
a612d5a0,5329,1
a622ce4d,6298,3
a645da9a,5153,3
a692b17e,3566,1
a6b8ac67,5453,2
a6ed2eff,5275,2
a6f967fb,4670,3
a76db406,4672,4
a7744f5b,4377,4
a783cc24,1889,3
a79fd2e7,4404,3
a7fc3e6b,4764,2
a85bb86f,3099,1
a85e4bc3,4581,0
a87433c9,5721,0
a8ed028a,5538,2
a959858c,4404,4
a9c9b150,3986,1
aa95015b,4300,1
aaaf3c03,2997,3
aaeffccb,2712,1
ab112491,5185,0
ab18d3fc,5694,3
ab3ced07,4250,4
ab6fe95d,5491,4
ab94878e,6004,1
abf460d2,3217,1
ac6f01d5,5004,3
ad2133a8,5729,2
add9c322,3932,4
ae069086,4770,3
ae0784a8,7823,1
ae35f33a,4450,3
ae8959c3,4518,3
aed44918,2719,0
aee6393a,5865,1
af7a59ce,3024,4
aff4e561,6026,4
b04b58a3,3402,0
b0d42b0d,4971,0
b0f53bf4,2755,3
b19b0395,5813,0
b1efb8a4,5998,3
b32902c0,3808,4
b32e4903,5770,2
b3388334,6080,3
b37fd114,8161,3
b38e3116,6211,1
b4d8dd4f,4259,0
b4f37e6e,2992,1
b56bc0aa,5602,0
b585b4fa,4294,0
b5aa9634,7326,4
b7974e66,5558,3
b7cdcecb,6168,0
b7fea9ef,3866,3
b85f7b06,3803,0
b881d27e,4009,2
b8c49c1a,4319,2
b95e7121,6306,3
b977be4a,5917,4
ba48188d,4166,4
bb2cdd83,3825,4
bb337fa0,6873,1
bb682ebd,4139,1
bc4381e2,4955,0
bcebcc5f,6258,3
bd2c2f34,9823,4
bd4ae5da,5006,3
bd6f0e19,5140,1
bd8f847e,4961,2
be063506,4500,3
be35c8f2,4226,3
be83e781,3221,0
beda8696,5912,3
bf39bc20,3303,1
bf70b410,6347,4
bffe3082,5723,1
c03b9305,4255,2
c03d4aed,4641,0
c03fba65,3699,0
c07fd0cd,4191,0
c1708b88,6315,0
c1d046f4,5513,3
c2717d4f,4721,4
c2c4db09,6039,1
c2c6fc71,7119,2
c36625df,4742,3
c3957531,5316,3
c42fe306,5095,3
c43812e2,5527,4
c472c0b5,3054,1
c47e0767,4356,0
c50b42f6,6014,1
c593337f,5208,3
c59b6c4a,5499,3
c66be2b8,4154,2
c6797dd7,4664,2
c6b782a4,4877,0
c6c96179,4004,3
c70c0e01,4312,0
c84c65be,8496,0
c8d9680c,6281,0
c908edd0,5293,3
c9578d27,4487,2
c96c018a,6236,0
c99f9fae,6361,2
c9e6734f,4735,3
c9e980e8,4359,0
c9fedcf3,3517,1
cad13e8f,4848,0
cb34231f,5609,3
cb879f40,6315,2
cbb406b5,6328,1
cbe51de1,3963,2
cbe62450,6258,1
cc08aa63,3274,0
cc8a1d57,6638,4
ccedb12b,4401,0
cd7f1687,4232,2
cda7eb37,5973,4
cdc31d65,4840,4
cdc60a53,5878,4
ce55ba43,4104,4
ce8399b7,1615,0
cf50c9d1,4858,3
d00e7eb9,5704,1
d011f41b,2267,2
d07aed8f,2957,1
d085e611,6191,4
d0a0e7b5,3816,2
d0a43760,4041,4
d0cb63ae,5223,4
d114d9c2,6206,0
d1457cc5,6920,4
d1ecf309,6168,2
d1ee630d,6290,0
d217e0c5,3838,3
d24ff243,5641,0
d273674e,3899,4
d2f3b1ab,5581,1
d3df146b,5787,4
d40f61d5,4039,1
d41beaf2,4753,0
d463e527,4767,0
d4f60a28,4501,4
d50c649a,4873,2
d543916f,4799,2
d5df0ff5,4032,3
d60430e6,2511,0
d63196fe,4510,1
d6c320d9,5452,1
d6dd7330,6193,4
d7ba4f9d,6023,4
d7eb0be8,5401,3
d84b621b,3994,1
d90aa14c,10018,1
d924e971,3184,0
d9ae59b2,3648,3
d9d6d94d,4919,3
d9eca87b,6373,0
da2d4d7c,2114,4
da3bfe4e,5549,4
da3cf798,5844,2
da940160,5132,0
dafc88c3,5572,4
dbee6c86,7369,3
dc5fbe29,5203,0
dc7da28f,4774,2
dc7f9757,4360,3
dd168de0,3304,0
dd64382d,3124,4
dd6bc5b2,3602,4
dd7d638e,4301,2
ddc790ff,4726,0
df71d1ff,6228,2
df73b8f3,5311,0
df8290be,3972,3
e0079ed1,3471,3
e03b45fd,5342,4
e0f36d98,4976,0
e149204f,6097,4
e14d641e,3184,3
e161bd0c,2949,3
e201fd6d,5070,0
e25f1537,3177,2
e2fc7745,3692,4
e32da4ec,4689,0
e3b34f5b,5455,4
e45a2a62,5007,4
e46f4ef4,7195,0
e4726608,4733,0
e5864244,4469,0
e5c92e59,4295,2
e5ff9fd2,2354,3
e6c55748,4472,4
e730c32b,4728,3
e737965a,5955,1
e748dd88,4812,2
e7818f7a,5371,3
e7c36e81,3531,4
e7d0c1de,4711,2
e85074c5,5675,3
e97032ad,3530,3
e9949a23,4559,3
ea0b99b7,9239,1
ea3a0e38,10052,0
ea41324e,5025,3
eabc711b,5348,2
eac10e86,6067,2
eafb863e,3568,0
eb06a4e7,4535,2
eb640a35,6037,3
eb934281,5971,3
eba6605e,4410,3
ebe69318,4976,4
ec0d597b,4616,2
ec13af42,5462,4
ecdab904,6147,2
ecdaf714,6592,1
ed6436d6,2945,2
ed6e6e54,6048,1
edf885a3,3117,0
ee0300f7,4544,4
ee288beb,4638,0
ee4aecac,5265,2
eeda36f5,4797,1
eeed308d,3899,0
ef04658e,4104,4
ef8e3ed0,5224,0
efde6ac3,4559,3
efe96181,4012,4
f0188a48,4170,3
f021b650,3739,3
f03f10fe,4145,0
f053a1b9,4108,1
f074d277,2453,0
f07d7037,5563,4
f08774c3,3900,2
f140c2fa,4082,3
f16e25e3,4651,1
f2d4c8c9,6249,4
f321a31c,5141,2
f40cd091,5166,1
f439a621,2821,4
f49fdea3,5391,1
f4d12d23,3701,2
f56d3ace,5432,4
f5859199,5790,4
f5d8aab6,4444,2
f631da6e,4093,1
f6824bb0,5015,1
f6bc699b,3752,0
f6d009f4,6715,1
f72b268f,6404,1
f8662c22,5429,1
f88ddb26,4990,2
f8afa78a,6032,0
f8f59188,4807,2
f9fc81aa,5598,2
fa16d114,5686,4
fa31da94,5027,1
fa667be2,7296,1
fae0c593,4403,1
fb03ae90,6431,1
fb0904bd,3181,1
fb3848a1,5919,1
fb73b13a,5640,4
fba7683c,407,1
fbd68d27,6829,3
fc03f21f,4803,0
fc0d20b2,3954,2
fcfcc902,2791,2
fd3b4faa,5022,0
fd710aea,4217,0
fd8f77fa,5272,4
fde20ecf,4667,4
fdfd57da,5236,3
febb4411,4247,1
fef8af96,3826,2
ff0aea78,3261,0
ff8bb73a,5927,2
ffefef30,4570,1
