metric,count,mean,std,min,max,p01,p05,p10,p25,p50,p75,p90,p95,p99
future_delta_250,773,0.33372574385509735,5.906618035643282,-19.709999999999127,66.20999999999913,-12.323999999999288,-8.131999999999243,-6.391999999999825,-2.8099999999994907,0.020000000002255547,2.8099999999994907,7.063999999999944,10.163999999998849,15.014400000000373
future_abs_delta_250,773,4.041073738680456,4.318358899689139,0.00999999999839929,66.20999999999913,0.029999999998835847,0.20999999999912689,0.3820000000010623,1.1000000000003638,2.8099999999994907,5.8400000000001455,9.22800000000134,11.496000000001002,15.65280000000055
future_delta_500,772,0.6488471502590342,9.110802120067712,-27.270000000000437,63.51000000000022,-19.320999999999387,-14.030499999999847,-9.808999999999651,-4.504999999999654,0.054999999999381544,5.4325000000008,12.328000000000243,16.33750000000026,24.55319999999881
future_abs_delta_500,772,6.6655310880829735,6.240299167461541,0.010000000000218279,63.51000000000022,0.07999999999992724,0.31999999999970896,0.6810000000001311,1.8574999999991633,4.989999999999782,9.745000000001255,15.48799999999992,17.818999999999686,25.29149999999931
future_delta_1000,771,1.0640856031128167,12.45575685138058,-39.94000000000051,61.86999999999898,-27.54900000000016,-19.56500000000051,-13.610000000000582,-6.654999999998836,0.2600000000002183,8.215000000000146,17.400000000001455,21.6299999999992,33.55599999999992
future_abs_delta_1000,771,9.507976653696486,8.10929113141214,0.010000000000218279,61.86999999999898,0.08700000000008004,0.5500000000001819,1.1499999999996362,3.1700000000000728,7.469999999999345,13.699999999998909,20.76000000000022,24.38000000000011,35.17000000000076
future_delta_2000,767,1.8095697522815912,15.39567941315723,-59.1299999999992,75.60000000000036,-35.8392000000006,-23.288000000000647,-16.354000000000084,-6.8200000000006185,1.3800000000010186,9.894999999999527,19.04400000000059,27.40899999999983,46.692199999999914
future_abs_delta_2000,767,11.259687092568468,10.647051181316563,0.00999999999839929,75.60000000000036,0.13999999999941792,0.6430000000007567,1.3399999999997823,3.4249999999992724,8.460000000000946,15.520000000000437,25.69599999999991,31.633999999999823,49.1156
future_delta_end,773,0.9846054333764417,20.583950171656703,-103.78000000000065,89.73999999999978,-55.959199999999186,-31.42599999999984,-21.51400000000067,-9.5,1.3999999999996362,12.0,22.689999999999426,32.15999999999912,54.838400000001194
future_abs_delta_end,773,14.780465717981905,14.350071754814273,0.0,103.78000000000065,0.10719999999921129,0.9740000000005239,2.072000000001208,5.390000000001237,10.970000000001164,19.48999999999978,31.956000000000518,41.29400000000022,73.25719999999993
boundary_delta_after_5,773,0.009327296248377089,0.17591820621313106,-0.6599999999998545,2.649999999999636,-0.34279999999838767,-0.21000000000094587,-0.15999999999985448,-0.06000000000130967,0.0,0.07999999999992724,0.1679999999989384,0.22999999999956344,0.3128000000008612
boundary_slope_after_5,773,0.0018654592496754176,0.03518364124262621,-0.1319999999999709,0.5299999999999272,-0.06855999999967753,-0.04200000000018918,-0.0319999999999709,-0.012000000000261935,0.0,0.01599999999998545,0.033599999999787675,0.04599999999991269,0.06256000000017224
boundary_delta_before_5,773,0.007244501940515594,0.17049923187167637,-0.6500000000014552,2.6599999999998545,-0.3600000000010914,-0.20999999999912689,-0.15999999999985448,-0.06000000000130967,0.0,0.07000000000152795,0.15999999999985448,0.22000000000007275,0.30280000000115226
boundary_slope_before_5,773,0.001448900388103119,0.034099846374335274,-0.13000000000029105,0.5319999999999709,-0.07200000000021828,-0.04199999999982538,-0.0319999999999709,-0.012000000000261935,0.0,0.014000000000305591,0.0319999999999709,0.044000000000014555,0.06056000000023045
boundary_delta_after_minus_before_5,773,0.0020827943078614943,0.04959612403853751,-0.15999999999985448,1.2900000000008731,-0.030000000000654836,-0.010000000003856258,-0.010000000002037268,-0.00999999999839929,0.0,0.00999999999839929,0.010000000002037268,0.019999999998617568,0.06999999999970896
boundary_delta_after_10,773,0.017826649417865135,0.3410190245308668,-1.2999999999992724,5.209999999999127,-0.6699999999987631,-0.41400000000103315,-0.31999999999970896,-0.12999999999919964,0.0,0.1499999999996362,0.32999999999992724,0.4500000000007276,0.6184000000002553
boundary_slope_after_10,773,0.001782664941786514,0.034101902453086676,-0.12999999999992723,0.5209999999999126,-0.06699999999987631,-0.04140000000010332,-0.0319999999999709,-0.012999999999919964,0.0,0.01499999999996362,0.03299999999999272,0.04500000000007276,0.061840000000025534
boundary_delta_before_10,773,0.013919793014268204,0.34350604490310804,-1.2600000000002183,5.390000000001237,-0.7228000000012252,-0.4139999999999418,-0.31999999999970896,-0.12999999999919964,0.0,0.1400000000012369,0.32800000000024804,0.4280000000013383,0.6227999999995515
boundary_slope_before_10,773,0.0013919793014268201,0.034350604490310806,-0.12600000000002182,0.5390000000001237,-0.07228000000012252,-0.04139999999999418,-0.0319999999999709,-0.012999999999919964,0.0,0.014000000000123691,0.0328000000000248,0.042800000000133835,0.062279999999955156
boundary_delta_after_minus_before_10,773,0.003906856403596931,0.07107247718016427,-0.42000000000007276,1.4599999999991269,-0.11559999999939465,-0.049999999999272404,-0.030000000000654836,-0.010000000002037268,0.0,0.010000000002037268,0.030000000000654836,0.05,0.20279999999947876
boundary_delta_after_30,773,0.04236739974124661,0.9926418195607913,-3.4099999999998545,15.069999999999709,-2.0268000000018946,-1.3100000000002183,-0.960000000000582,-0.37000000000080036,0.010000000000218279,0.4400000000005093,0.9500000000007276,1.3200000000004366,1.9439999999992856
boundary_slope_after_30,773,0.0014122466580415538,0.03308806065202638,-0.11366666666666182,0.5023333333333236,-0.06756000000006315,-0.043666666666673945,-0.0320000000000194,-0.012333333333360012,0.0003333333333406093,0.014666666666683644,0.03166666666669092,0.04400000000001455,0.0647999999999762
boundary_delta_before_30,773,0.052018111254833625,1.058628653785053,-3.1700000000000728,16.710000000000946,-2.2696000000004277,-1.234000000000742,-0.9799999999991996,-0.3899999999994179,0.010000000000218279,0.4499999999989086,0.997999999999957,1.3499999999992724,1.9084000000011283
boundary_slope_before_30,773,0.0017339370418277876,0.0352876217928351,-0.10566666666666909,0.5570000000000316,-0.07565333333334759,-0.04113333333335807,-0.03266666666663998,-0.012999999999980598,0.0003333333333406093,0.01499999999996362,0.03326666666666523,0.04499999999997575,0.06361333333337095
boundary_delta_after_minus_before_30,773,-0.009650711513587018,0.3338405146751868,-2.8400000000001455,2.029999999998836,-1.282799999998606,-0.4600000000009459,-0.2980000000010477,-0.11000000000058208,1.8189894035458565e-12,0.11000000000058208,0.2700000000018917,0.3900000000012369,0.8684000000010557
boundary_delta_after_50,773,0.06553686934020679,1.612965883294669,-5.25,24.19000000000051,-3.545600000000486,-2.112000000000626,-1.557999999999447,-0.6099999999987631,0.0,0.7399999999997817,1.5559999999994047,2.225999999999475,3.0884000000001097
boundary_slope_after_50,773,0.0013107373868041356,0.03225931766589338,-0.105,0.48380000000001017,-0.07091200000000972,-0.04224000000001251,-0.03115999999998894,-0.012199999999975262,0.0,0.014799999999995634,0.031119999999988095,0.044519999999989505,0.061768000000002196
boundary_delta_before_50,773,0.0901811125485088,1.7903198163668963,-5.25,28.48999999999978,-3.2788000000009196,-2.1120000000009895,-1.6159999999992578,-0.6399999999975989,0.020000000000436557,0.75,1.647999999999957,2.2180000000003925,3.3156000000009223
boundary_slope_before_50,773,0.0018036222509701764,0.03580639632733793,-0.105,0.5697999999999956,-0.0655760000000184,-0.04224000000001979,-0.03231999999998515,-0.012799999999951978,0.00040000000000873115,0.015,0.03295999999999914,0.04436000000000785,0.06631200000001844
boundary_delta_after_minus_before_50,773,-0.02464424320830202,0.716221760574141,-5.120000000004438,3.860000000000582,-2.272800000001371,-1.0879999999990104,-0.7700000000004366,-0.3099999999994907,0.00999999999839929,0.2900000000026921,0.7200000000008003,0.9700000000029831,1.8408000000004443
boundary_delta_after_100,773,0.13394566623547569,2.959744480664898,-11.610000000000582,41.52000000000044,-6.350000000002183,-3.9760000000005675,-2.94800000000032,-1.1499999999996362,0.0,1.4600000000009459,3.0600000000013097,4.390000000000868,6.139200000000197
boundary_slope_after_100,773,0.001339456662354757,0.029597444806648977,-0.11610000000000582,0.41520000000000434,-0.06350000000002183,-0.03976000000000568,-0.0294800000000032,-0.011499999999996362,0.0,0.01460000000000946,0.030600000000013096,0.04390000000000869,0.061392000000001966
boundary_delta_before_100,773,0.17333764553689965,3.637257370230884,-9.809999999997672,58.45000000000073,-6.412399999999398,-4.207999999999447,-3.1200000000008004,-1.2300000000013824,0.0,1.3999999999996362,3.3200000000011642,4.338000000000101,6.420799999999062
boundary_slope_before_100,773,0.0017333764553689962,0.036372573702308834,-0.09809999999997672,0.5845000000000072,-0.06412399999999398,-0.04207999999999447,-0.031200000000008003,-0.012300000000013824,0.0,0.013999999999996363,0.033200000000011644,0.043380000000001015,0.06420799999999062
boundary_delta_after_minus_before_100,773,-0.03939197930142397,2.0658726512492334,-19.54000000000451,8.30999999999949,-5.606799999997383,-2.9919999999998255,-2.0780000000031578,-0.9199999999982538,-0.020000000000436557,0.9200000000018917,2.1980000000025037,2.9920000000005524,5.122399999999541
boundary_delta_after_200,773,0.24465717981884377,5.077073842354082,-18.730000000001382,62.02000000000044,-10.770399999999208,-7.12599999999984,-5.328000000000247,-2.289999999999054,0.030000000000654836,2.610000000000582,5.987999999999742,8.466000000000347,12.205199999998511
boundary_slope_after_200,773,0.0012232858990942192,0.02538536921177041,-0.09365000000000691,0.3101000000000022,-0.05385199999999604,-0.0356299999999992,-0.026640000000001236,-0.011449999999995271,0.00015000000000327417,0.01305000000000291,0.02993999999999871,0.04233000000000174,0.06102599999999255
boundary_delta_before_200,773,0.43098318240619266,7.4172020384193305,-17.239999999997963,120.65999999999985,-12.367199999999212,-7.592000000000189,-5.815999999999986,-2.319999999999709,0.020000000000436557,2.679999999998472,6.436000000000424,8.27199999999975,12.360000000000866
boundary_slope_before_200,773,0.0021549159120309636,0.037086010192096654,-0.08619999999998981,0.6032999999999993,-0.06183599999999606,-0.037960000000000944,-0.029079999999999925,-0.011599999999998546,0.00010000000000218279,0.01339999999999236,0.03218000000000212,0.041359999999998745,0.06180000000000433
boundary_delta_after_minus_before_200,773,-0.18632600258734885,5.739224795309623,-62.5,26.37999999999738,-12.207599999998566,-7.5039999999982685,-5.163999999999942,-2.459999999999127,-0.11000000000058208,2.5,5.3020000000015015,7.790000000000873,12.226799999998692
