prefix,future,wells,pearson,spearman,sign_match_rate,prefix_abs_median,future_abs_median
100,500,772,0.45498867500315465,0.37423350085473267,0.6041666666666666,0.01340000000001055,0.009979999999999562
100,1000,771,0.2966245551792492,0.24411017253888742,0.5749674054758801,0.013400000000001456,0.007469999999999345
100,2000,767,0.23337807884020614,0.16129096021258743,0.5517693315858454,0.013400000000001456,0.004230000000000473
100,end,773,0.18506510009187785,0.06484861994222843,0.52734375,0.013400000000001456,0.0022642244738891233
200,1,773,0.837648770700011,0.6945742627183414,0.80623973727422,0.01289999999999054,0.010000000002037268
200,5,773,0.8065807547473763,0.6915135273611888,0.7541208791208791,0.01289999999999054,0.013999999999941792
200,10,773,0.8245340461909748,0.6831354808237666,0.7473262032085561,0.01289999999999054,0.013999999999941792
200,30,773,0.8186652437030937,0.656732180712648,0.7265625,0.01289999999999054,0.014000000000002425
200,50,773,0.8023125967447693,0.6284840771312429,0.7113133940182055,0.01289999999999054,0.013800000000046567
200,100,773,0.7405274297478742,0.5535264268125207,0.6749024707412223,0.01289999999999054,0.013400000000001456
200,250,773,0.589892199403657,0.4580617485991507,0.6351875808538163,0.01289999999999054,0.011239999999997963
200,500,772,0.40543404905001446,0.31029181920633625,0.5816062176165803,0.012924999999995634,0.009979999999999562
200,1000,771,0.27581326753752233,0.20551693542656826,0.5551232166018158,0.01289999999999054,0.007469999999999345
200,2000,767,0.21556598968163507,0.11876015363428283,0.5241199478487614,0.01285000000000764,0.004230000000000473
200,end,773,0.1804314515344117,0.039183479391426516,0.5272020725388601,0.01289999999999054,0.0022642244738891233
all,1,773,0.15862127783218635,0.0006631353187495868,0.5155993431855501,0.42860477178423256,0.010000000002037268
all,5,773,0.1482562228941749,-0.007464130061674679,0.5151098901098901,0.42860477178423256,0.013999999999941792
all,10,773,0.1516694866478717,-0.009887527482038201,0.516042780748663,0.42860477178423256,0.013999999999941792
all,30,773,0.15351459206434226,-0.004829872380468903,0.5052083333333334,0.42860477178423256,0.014000000000002425
all,50,773,0.1518651010953249,-0.001652351569091686,0.5019505851755527,0.42860477178423256,0.013800000000046567
all,100,773,0.1323664208279306,-0.010807108897045527,0.4980494148244473,0.42860477178423256,0.013400000000001456
all,250,773,0.06668090679539174,-0.05328353520388841,0.5071151358344114,0.42860477178423256,0.011239999999997963
all,500,772,-0.007867229623621253,-0.07064645564524064,0.5025906735751295,0.4285713079104646,0.009979999999999562
all,1000,771,-0.05058283777684868,-0.0997478461853521,0.5097276264591439,0.42860477178423256,0.007469999999999345
all,2000,767,0.007410306373468234,-0.0555296725810194,0.5488917861799217,0.42860477178423256,0.004230000000000473
all,end,773,0.07581388132532377,0.014458456291408312,0.533678756476684,0.42860477178423256,0.0022642244738891233
