rank,feature,family,importance_share_pct,mean_model_rank,lgb0_split,lgb1_split,lgb2_split,all_models_zero,description,duplicate_bucket,duplicate_relation,keep_feature,pair_corr,recommended_action
16,uproj_pf_ancc_resid_mad,u_projection,0.9847393791001122,17.333333333333332,1683.6,1581.6,1555.0,False,pf_ancc U-projection: 上記|residual|のwell内中央値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
17,form_mean_d,base_replay,0.9831679018380369,18.666666666666668,2027.2,1442.4,1421.2,False,6 formation由来TVT候補の平均 − anchor。,,,,,
18,slp_50,base_replay,0.9650218834232165,18.666666666666668,1593.8,1613.0,1505.6,False,既知prefix末尾50行のTVT/MD robust slope。,,,,,
19,grwr_fft_dominant_frequency_norm,gr_wavelet_rotation,0.9451552595248961,20.666666666666668,1645.4,1509.2,1478.6,False,detrend後GR FFTのdominant frequency（正規化）。,,,,,
20,form_rng_d,base_replay,0.9347105060512841,22.666666666666668,1767.6,1503.4,1345.0,False,6 formation由来TVT候補の最大−最小。,,,,,
21,form_std_d,base_replay,0.9336894392748667,22.0,1738.4,1442.4,1421.6,False,6 formation由来TVT候補の標準偏差。,,,,,
22,slp_z,base_replay,0.918410168641913,23.0,1563.0,1527.8,1404.8,False,既知prefixのTVT/Z robust slope。,,,,,
23,tvt_dense_d,base_replay,0.9114881088839661,25.333333333333332,1814.2,1389.8,1316.4,False,dense ANCC + full-prefix bias TVT候補 − anchor。,,,,,
24,tvt_dense50_d,base_replay,0.9032546560137475,25.666666666666668,1637.0,1417.0,1388.4,False,dense ANCC + prefix末尾50行bias TVT候補 − anchor。,,,,,
25,pfx_rmse,base_replay,0.8976323321697682,25.333333333333332,1549.2,1497.4,1352.6,False,既知prefix GRとTVT対応typewell GRのRMSE。,,,,,
26,beam_vcons_d,base_replay,0.8959503595929286,29.0,1809.8,1357.4,1282.2,False,very-conservative Beam候補 − last_known_tvt。,,,,,
27,cal_a,base_replay,0.8916780430440552,26.333333333333332,1537.2,1440.4,1390.4,False,既知prefix GRをtypewell GRへaffine fitした傾き。,,,,,
28,uproj_pf_z_resid_mad,u_projection,0.8734510569664282,29.666666666666668,1445.8,1471.2,1349.4,False,pf_z U-projection: 上記|residual|のwell内中央値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
29,z,base_replay,0.8633958493056685,30.666666666666668,1461.6,1435.0,1327.8,False,予測行のZ座標。,,,,,
30,nsel_pred_error_hmm_selfgr_boost_only_a070_c100_mean_tvt,nested_selector,0.8548680700166204,31.333333333333332,1513.0,1396.0,1288.6,False,nested selectorが予測したself-GR HMMの絶対誤差。,,,,,
31,beam_vloose_d,base_replay,0.8466709185644158,36.0,1808.4,1242.2,1176.2,False,very-loose Beam候補 − last_known_tvt。,,,,,
32,dense_ancc,base_replay,0.8453719198694285,34.333333333333336,1443.8,1409.2,1286.4,False,dense spatial KNNで補完したANCC surface値。,,,,,
33,eval_len,base_replay,0.8452463710930885,35.0,1449.8,1348.2,1340.2,False,予測tailの行数。,,,,,
34,spatial_vs_dense,base_replay,0.8437741978809048,35.0,1821.4,1216.4,1178.4,False,ANCC formation-spatial候補 − dense ANCC候補。,,,,,
35,grwr_fft_high_frequency_ratio,gr_wavelet_rotation,0.8324105908193392,38.0,1443.4,1360.0,1276.8,False,正規化周波数0.35超のGR FFT energy比率。,,,,,
36,tw_gr_mean,base_replay,0.8315070407601198,37.0,1489.2,1349.2,1248.4,False,typewell GR平均（well定数）。,,,,,
37,grwr_fft_dominant_energy_ratio,gr_wavelet_rotation,0.8235384267515183,39.666666666666664,1378.2,1369.6,1277.8,False,detrend後GR FFTの最大周波数bin energy比率。,,,,,
38,beam_vs_spatial,base_replay,0.8177678241161718,38.0,1660.0,1224.8,1177.8,False,conservative Beam候補 − ANCC formation-spatial候補。,,,,,
39,cal_b,base_replay,0.8148678659476756,40.666666666666664,1350.8,1351.4,1277.8,False,既知prefix GRをtypewell GRへaffine fitした切片。,,,,,
40,uproj_beam_mean_resid_mad,u_projection,0.8139813714190779,41.0,1335.6,1379.8,1258.0,False,beam_mean U-projection: 上記|residual|のwell内中央値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
41,spatial_ancc_d,base_replay,0.8106657887964254,39.333333333333336,1452.6,1305.4,1226.2,False,spatial KNN ANCC surface − anchor位置のtypewell GR値。,,,,,
42,grwr_fft_rotation_energy_ratio,gr_wavelet_rotation,0.8057073565903177,41.666666666666664,1236.0,1377.4,1299.4,False,正規化周波数0.06〜0.35のrotation-band energy比率。,,,,,
43,tvt_densew_d,base_replay,0.7770421392034652,45.666666666666664,1386.6,1205.2,1224.2,False,dense ANCC + prefix指数加重bias TVT候補 − anchor。,,,,,
44,md_since,base_replay,0.7662841274999564,44.333333333333336,1477.4,1144.0,1166.6,False,anchor行からのMD距離。,,,,,
45,pf_vs_spatial,base_replay,0.7643452166399798,43.333333333333336,1580.6,1146.0,1077.6,False,ANCC PF候補 − ANCC formation-spatial候補。,,,,,
46,known_len,base_replay,0.7564747203562152,49.0,1278.2,1272.4,1150.6,False,既知TVT_input prefixの行数。,,,,,
47,uproj_beam_med_resid_mad,u_projection,0.7562524207183796,49.0,1172.8,1273.4,1228.8,False,beam_med U-projection: 上記|residual|のwell内中央値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
48,grwr_known_prefix_fraction,gr_wavelet_rotation,0.7444989662028003,52.0,1229.6,1240.2,1165.6,False,全horizontal行に占める既知prefix比率。,,,,,
49,grwr_fft_notch_residual_energy_ratio,gr_wavelet_rotation,0.7430297811835361,51.0,1145.0,1268.8,1195.8,False,上位3周波数を除いたGR FFT residual energy比率。,,,,,
50,dxy,base_replay,0.7280588888174457,51.333333333333336,1341.2,1126.0,1118.2,False,anchorからのXY平面距離。,,,,,
51,beam_cons_d,base_replay,0.721006121779308,51.0,1422.8,1117.2,1033.4,False,conservative Beam候補 − last_known_tvt。,,,,,
52,ll_learned_pred_abs_error_beam_mean,learned_likelihood,0.7206662484574657,49.333333333333336,1527.6,1041.0,1025.8,False,exp111 L1 modelが推定した複数Beam path平均の絶対誤差。,,,,,
53,beam_stiff_d,base_replay,0.7204697932755932,51.666666666666664,1382.0,1121.6,1057.8,False,stiff Beam候補 − last_known_tvt。,,,,,
54,dxdmd,base_replay,0.717320604881522,48.666666666666664,1490.0,1071.2,1010.4,False,行差分 dX/dMD。,,,,,
55,slp_all,base_replay,0.7054113031583389,55.0,1224.4,1153.0,1080.6,False,既知prefix全体のTVT/MD robust slope。,,,,,
56,nsel_pred_error_exp226_v6_k16_geometry_gr_u_projection,nested_selector,0.693097296752388,54.333333333333336,1408.6,1048.4,987.0,False,nested selectorが予測したexp226 K16 geometry/GR/U-projectionの絶対誤差。,,,,,
57,pf_vs_dense,base_replay,0.6828343346196394,56.666666666666664,1349.0,1058.6,977.0,False,ANCC PF候補 − dense ANCC候補。,,,,,
58,beam_loose_d,base_replay,0.6710332424642605,57.333333333333336,1391.6,990.6,958.0,False,loose Beam候補 − last_known_tvt。,,,,,
59,beam_mid_d,base_replay,0.6708299054628057,58.0,1277.0,1059.6,977.6,False,middle Beam候補 − last_known_tvt。,,,,,
60,nsel_pred_error_beam_mean,nested_selector,0.6572476024556134,58.333333333333336,1417.0,896.6,968.4,False,nested selectorが予測した複数Beam path平均の絶対誤差。,,,,,
61,beam_std_d,base_replay,0.6505510226224369,57.333333333333336,1447.6,912.4,900.2,False,7種類のBeam候補deltaの行別標準偏差。,,,,,
62,beam_sm5_d,base_replay,0.639465974921194,62.666666666666664,1254.4,982.6,930.2,False,smoothed Beam (r=5)候補 − last_known_tvt。,,,,,
63,ll_learned_prob_likpf_mean,learned_likelihood,0.6305778587558152,63.333333333333336,1022.4,1045.8,1006.2,False,exp111 classifierが推定したlikelihood-weighted PF平均のP(|error|≤10ft)。,,,,,
64,pf_z_delta,base_replay,0.609359741880561,65.66666666666667,1264.8,891.6,876.8,False,Z-aware PF候補 − last_known_tvt。,,,,,
65,beam_mean_d,base_replay,0.6030457448452421,65.66666666666667,1279.6,869.0,859.4,False,7種類のBeam候補deltaの行別平均。,,,,,
66,frac2,base_replay,0.6027995599636097,72.66666666666667,627.6,1117.6,1114.0,False,fracの二乗。,,,,,
67,likpf_mean_d,base_replay,0.5930068495583058,66.66666666666667,1308.8,812.8,847.0,False,likelihood-weighted PF平均候補 − anchor。,,,,,
68,nsel_pred_error_blend_likpf_hmm_w500,nested_selector,0.5927483591426953,67.0,968.4,962.0,960.6,False,nested selectorが予測したlikPFとexact HMMの50/50平均の絶対誤差。,,,,,
69,uproj_diff_pf_z_minus_likpf_mean,u_projection,0.5804161770733497,69.66666666666667,1231.0,831.0,832.8,False,U-spaceのpf_z − likpf_mean。Z/anchor共通項は相殺。,,,,,
70,uproj_diff_beam_mean_minus_beam_med,u_projection,0.5709497091358143,70.33333333333333,1266.8,812.4,781.6,False,U-spaceのbeam_mean − beam_med。Z/anchor共通項は相殺。,,,,,
71,dydmd,base_replay,0.5606767239692833,72.0,1073.6,876.8,820.8,False,行差分 dY/dMD。,,,,,
72,tw_range,base_replay,0.5558049085470539,69.66666666666667,879.2,963.4,863.4,False,typewell TVT軸のrange（well定数）。,,,,,
73,pf_vs_z,base_replay,0.5283609246096538,75.33333333333333,1177.6,743.8,727.0,False,ANCC PF候補 − Z-aware PF候補。,,,,,
74,frm_rmse_ANCC,base_replay,0.5246924964955156,76.0,811.0,898.4,840.2,False,ANCC formation surface TVT式の既知prefix RMSE。,,,,,
75,ktvt_std,base_replay,0.5164460633672321,78.0,686.6,920.0,877.4,False,既知prefix TVT_inputの標準偏差。,,,,,
76,ll_learned_prob_top1_value,learned_likelihood,0.5038868398114636,78.0,839.4,792.2,829.0,False,exp111 within10確率面のtop-k、rank、margin、entropyまたは確率加重TVT要約。,,,,,
77,ktvt_range,base_replay,0.4908476958214689,82.0,736.8,837.6,805.4,False,既知prefix TVT_inputのrange。,,,,,
78,uproj_diff_pf_ancc_minus_likpf_mean,u_projection,0.48942089663246147,83.66666666666667,1115.0,694.6,649.6,False,U-spaceのpf_ancc − likpf_mean。Z/anchor共通項は相殺。,,,,,
79,pf_ancc_delta,base_replay,0.4868652113955271,82.33333333333333,1063.6,689.8,682.0,False,ANCC PF候補 − last_known_tvt。,,,,,
80,uproj_likpf_mean_corr,u_projection,0.4684688888681667,81.0,871.2,719.0,718.6,False,likpf_mean U-projection: well内robust polynomial U-trend − source U。,,,,,
81,uproj_diff_pf_z_minus_beam_mean,u_projection,0.46565710206131866,82.0,850.4,702.6,737.8,False,U-spaceのpf_z − beam_mean。Z/anchor共通項は相殺。,,,,,
82,frm_rmse_ASTNU,base_replay,0.4632188863051152,85.33333333333333,698.0,776.2,771.8,False,ASTNU formation surface TVT式の既知prefix RMSE。,,,,,
83,nsel_top2_minus_top1,nested_selector,0.46082603087952395,99.0,1824.2,325.2,340.4,False,selector top2候補TVT − top1候補TVT。,,,,,
84,uproj_likpf_mean_resid,u_projection,0.45870302028042864,83.66666666666667,840.8,741.0,677.2,False,likpf_mean U-projection: source U − well内robust polynomial U-trend。,exact_prune_17,sign_flip_duplicate,uproj_likpf_mean_corr,-1.0,drop_in_exact_prune
85,beam_med_d,base_replay,0.4542128890640333,83.66666666666667,841.8,725.0,672.0,False,7種類のBeam候補deltaの行別中央値。,,,,,
86,ll_learned_prob_beam_mean,learned_likelihood,0.4482698755888041,87.33333333333333,952.0,629.2,654.4,False,exp111 classifierが推定した複数Beam path平均のP(|error|≤10ft)。,,,,,
87,uproj_diff_pf_z_minus_beam_med,u_projection,0.44298575743662194,87.0,779.6,702.8,691.0,False,U-spaceのpf_z − beam_med。Z/anchor共通項は相殺。,,,,,
88,uproj_absdiff_pf_z_beam_mean,u_projection,0.41326213054492394,93.33333333333333,816.6,645.0,587.0,False,U-spaceの|pf_z − beam_mean|。,,,,,
89,frm_rmse_EGFDU,base_replay,0.411446744133095,99.66666666666667,511.8,764.0,695.8,False,EGFDU formation surface TVT式の既知prefix RMSE。,,,,,
90,nsel_pred_error_tvt_dense,nested_selector,0.41110591539765234,94.0,878.8,576.2,596.6,False,nested selectorが予測したdense spatial ANCC（full-prefix bias）の絶対誤差。,,,,,
91,frm_rmse_ASTNL,base_replay,0.40255365219215233,101.66666666666667,507.2,708.4,713.6,False,ASTNL formation surface TVT式の既知prefix RMSE。,,,,,
92,ll_learned_error_top1_value,learned_likelihood,0.4024099899618243,95.66666666666667,658.2,704.4,602.0,False,exp111 predicted-absolute-error面のtop-k、rank、marginまたは誤差逆重みTVT要約。,,,,,
93,dzdmd,base_replay,0.4022893966423305,100.33333333333333,1129.2,478.8,461.2,False,行差分 dZ/dMD。,,,,,
94,nsel_pred_error_likpf_mean,nested_selector,0.39902732081084236,95.66666666666667,750.2,620.8,597.8,False,nested selectorが予測したlikelihood-weighted PF平均の絶対誤差。,,,,,
95,ll_learned_prob_weighted_tvt_minus_last_known_tvt,learned_likelihood,0.39819712532322354,98.33333333333333,649.8,624.6,666.8,False,exp111 within10確率面のtop-k、rank、margin、entropyまたは確率加重TVT要約。,,,,,
96,uproj_absdiff_pf_ancc_pf_z,u_projection,0.3857385785160724,100.66666666666667,830.4,540.6,555.4,False,U-spaceの|pf_ancc − pf_z|。,,,,,
97,uproj_absdiff_pf_z_beam_med,u_projection,0.3851089476700015,99.66666666666667,771.0,582.2,557.6,False,U-spaceの|pf_z − beam_med|。,,,,,
98,uproj_diff_beam_mean_minus_likpf_mean,u_projection,0.3849355751209715,100.66666666666667,747.8,615.2,542.6,False,U-spaceのbeam_mean − likpf_mean。Z/anchor共通項は相殺。,,,,,
99,ll_learned_pred_abs_error_likpf_mean,learned_likelihood,0.382685871126956,100.66666666666667,637.8,630.4,601.6,False,exp111 L1 modelが推定したlikelihood-weighted PF平均の絶対誤差。,,,,,
100,uproj_absdiff_pf_z_likpf_mean,u_projection,0.3746564178670236,103.33333333333333,838.0,531.2,509.6,False,U-spaceの|pf_z − likpf_mean|。,,,,,
101,uproj_source_u_range,u_projection,0.3721992026987009,104.0,708.6,580.6,549.4,False,5候補のU値の行別range。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
102,uproj_source_u_std,u_projection,0.369543516355653,105.33333333333333,744.2,552.4,537.8,False,5候補のU値の行別標準偏差。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
103,uproj_diff_beam_med_minus_likpf_mean,u_projection,0.36632252310925734,104.0,677.6,559.0,567.8,False,U-spaceのbeam_med − likpf_mean。Z/anchor共通項は相殺。,,,,,
104,nsel_pred_error_tvt_densew,nested_selector,0.36482524493187246,106.66666666666667,656.6,590.2,547.0,False,nested selectorが予測したdense spatial ANCC（prefix加重bias）の絶対誤差。,,,,,
105,ll_candidate_tvt_beam_mean_minus_last_known_tvt,learned_likelihood,0.3635423392267004,109.33333333333333,429.6,662.4,644.2,False,元の複数Beam path平均 TVT − last_known_tvt。learned予測値ではない。,exact_prune_17,existing_delta_duplicate,beam_mean_d,0.9999999962819376,drop_in_exact_prune
106,nsel_pred_error_tvt_dense50,nested_selector,0.36337315691846256,104.33333333333333,664.4,554.0,569.6,False,nested selectorが予測したdense spatial ANCC（prefix末尾50 bias）の絶対誤差。,,,,,
107,nsel_error_top1,nested_selector,0.36218697758591023,107.0,604.6,606.2,559.4,False,selectorが予測したtop1候補の絶対誤差。,,,,,
108,uproj_diff_pf_ancc_minus_beam_mean,u_projection,0.36177557081847045,106.0,660.0,569.6,550.8,False,U-spaceのpf_ancc − beam_mean。Z/anchor共通項は相殺。,,,,,
109,frm_rmse_EGFDL,base_replay,0.3611933256497323,109.66666666666667,408.2,654.6,657.6,False,EGFDL formation surface TVT式の既知prefix RMSE。,,,,,
110,grwr_known_prefix_rows_log1p,gr_wavelet_rotation,0.35997183325202264,112.33333333333333,223.2,752.2,698.6,False,既知TVT_input prefix行数のlog1p。,,,,,
111,nsel_error_top2,nested_selector,0.3568790312446579,110.33333333333333,534.4,598.4,596.8,False,selectorが予測したtop2候補の絶対誤差。,,,,,
112,uproj_absdiff_beam_mean_beam_med,u_projection,0.34825823603878714,107.66666666666667,816.4,470.6,467.6,False,U-spaceの|beam_mean − beam_med|。,,,,,
113,uproj_diff_pf_ancc_minus_beam_med,u_projection,0.339187935419457,112.66666666666667,636.6,536.8,500.2,False,U-spaceのpf_ancc − beam_med。Z/anchor共通項は相殺。,,,,,
114,sqrt_frac,base_replay,0.33620265026121005,117.0,231.6,673.0,663.4,False,fracの平方根。,,,,,
115,uproj_absdiff_pf_ancc_likpf_mean,u_projection,0.33152094074127925,111.33333333333333,740.8,460.8,460.4,False,U-spaceの|pf_ancc − likpf_mean|。,,,,,
116,frm_rmse_BUDA,base_replay,0.3243617954938953,117.66666666666667,369.2,611.4,565.8,False,BUDA formation surface TVT式の既知prefix RMSE。,,,,,
117,nsel_pred_error_pf_ancc,nested_selector,0.3225444820592778,113.33333333333333,656.6,470.8,475.0,False,nested selectorが予測したANCC粒子フィルタの絶対誤差。,,,,,
118,uproj_pf_ancc_corr,u_projection,0.3187491362492431,114.66666666666667,841.0,395.8,390.4,False,pf_ancc U-projection: well内robust polynomial U-trend − source U。,,,,,
119,uproj_pf_ancc_resid,u_projection,0.30428274955877077,118.66666666666667,730.8,386.8,418.8,False,pf_ancc U-projection: source U − well内robust polynomial U-trend。,exact_prune_17,sign_flip_duplicate,uproj_pf_ancc_corr,-1.0,drop_in_exact_prune
120,pf_z,base_replay,0.2972766066020814,122.0,538.0,481.4,443.0,False,Z-aware particle filterの絶対TVT候補。,,,,,
121,uproj_beam_mean_corr,u_projection,0.2933225615842862,121.0,659.8,380.0,430.8,False,beam_mean U-projection: well内robust polynomial U-trend − source U。,,,,,
122,pf_ancc_std,base_replay,0.28936812658512706,123.0,919.2,285.6,307.2,False,ANCC particle filter粒子の行別TVT標準偏差。,,,,,
123,uproj_absdiff_pf_ancc_beam_mean,u_projection,0.28914340956067003,121.66666666666667,609.0,429.4,403.2,False,U-spaceの|pf_ancc − beam_mean|。,,,,,
124,ll_candidate_tvt_likpf_mean_minus_last_known_tvt,learned_likelihood,0.28603795970514867,127.33333333333333,282.2,530.4,540.4,False,元のlikelihood-weighted PF平均 TVT − last_known_tvt。learned予測値ではない。,exact_prune_17,existing_delta_duplicate,likpf_mean_d,1.0,drop_in_exact_prune
125,ll_learned_prob_pf_ancc,learned_likelihood,0.2809039672980622,127.33333333333333,511.0,423.0,447.4,False,exp111 classifierが推定したANCC粒子フィルタのP(|error|≤10ft)。,,,,,
126,ll_learned_error_weighted_tvt_minus_last_known_tvt,learned_likelihood,0.2804729281845794,127.33333333333333,529.4,408.4,445.6,False,exp111 predicted-absolute-error面のtop-k、rank、marginまたは誤差逆重みTVT要約。,,,,,
127,uproj_absdiff_pf_ancc_beam_med,u_projection,0.27559431498325654,126.66666666666667,574.8,424.2,374.2,False,U-spaceの|pf_ancc − beam_med|。,,,,,
128,uproj_beam_mean_resid,u_projection,0.2750507162463654,127.66666666666667,602.6,375.8,397.4,False,beam_mean U-projection: source U − well内robust polynomial U-trend。,exact_prune_17,sign_flip_duplicate,uproj_beam_mean_corr,-1.0,drop_in_exact_prune
129,uproj_pf_z_corr,u_projection,0.27447014539229997,125.66666666666667,769.8,297.2,343.6,False,pf_z U-projection: well内robust polynomial U-trend − source U。,,,,,
130,ll_learned_prob_top2_value,learned_likelihood,0.27345488792517114,127.33333333333333,434.2,475.8,421.8,False,exp111 within10確率面のtop-k、rank、margin、entropyまたは確率加重TVT要約。,,,,,
131,pf_ancc,base_replay,0.2593296524811702,132.33333333333334,475.6,430.8,371.2,False,ANCC particle filterの絶対TVT候補。,,,,,
132,uproj_absdiff_beam_mean_likpf_mean,u_projection,0.2575957140067493,133.0,574.6,353.6,362.8,False,U-spaceの|beam_mean − likpf_mean|。,,,,,
133,uproj_absdiff_beam_med_likpf_mean,u_projection,0.25116312990067957,134.0,557.0,357.0,344.4,False,U-spaceの|beam_med − likpf_mean|。,,,,,
134,tda80,base_replay,0.25103722755791663,134.0,408.0,423.0,393.4,False,raw GR − typewell GR(anchor TVT +80 ft)。,,,,,
135,ll_learned_error_top2_value,learned_likelihood,0.25059603258160146,134.66666666666666,428.4,407.4,391.0,False,exp111 predicted-absolute-error面のtop-k、rank、marginまたは誤差逆重みTVT要約。,,,,,
136,uproj_beam_med_corr,u_projection,0.24716152735917282,135.0,562.8,314.2,363.6,False,beam_med U-projection: well内robust polynomial U-trend − source U。,,,,,
137,uproj_pf_z_resid,u_projection,0.24705146578348583,134.66666666666666,626.2,305.4,323.4,False,pf_z U-projection: source U − well内robust polynomial U-trend。,exact_prune_17,sign_flip_duplicate,uproj_pf_z_corr,-1.0,drop_in_exact_prune
138,ll_learned_pred_abs_error_pf_ancc,learned_likelihood,0.2469066648681662,135.66666666666666,451.8,382.2,381.2,False,exp111 L1 modelが推定したANCC粒子フィルタの絶対誤差。,,,,,
139,uproj_beam_med_resid,u_projection,0.2414007273653573,137.33333333333334,546.0,324.4,341.0,False,beam_med U-projection: source U − well内robust polynomial U-trend。,exact_prune_17,sign_flip_duplicate,uproj_beam_med_corr,-1.0,drop_in_exact_prune
140,tvtF_ASTNU,base_replay,0.2401138505607131,137.66666666666666,405.0,391.2,378.0,False,ASTNU formation surface: spatial KNN surfaceとfull-prefix median biasから作るTVT候補。,,,,,
141,uproj_diff_pf_ancc_minus_pf_z,u_projection,0.23628515439211673,139.0,189.8,470.8,447.8,False,U-spaceのpf_ancc − pf_z。Z/anchor共通項は相殺。,exact_prune_17,existing_disagreement_duplicate,pf_vs_z,1.0,drop_in_exact_prune
142,grm101,base_replay,0.2244965416870782,139.33333333333334,641.0,252.2,263.6,False,raw GRのcentered rolling-101平均。,,,,,
143,nsel_top1_code,nested_selector,0.22216554665737712,141.0,591.6,262.8,280.6,False,予測絶対誤差が最小の候補index（数値code）。,,,,,
144,grwr_dwt_detail_energy_ratio_w129,gr_wavelet_rotation,0.22001422140643928,143.0,739.2,185.8,233.2,False,db4 level-3 DWT detailのdetail/(raw-local+detail) energy比（window 129）。,,,,,
145,ll_candidate_tvt_pf_ancc_minus_last_known_tvt,learned_likelihood,0.21980635923865305,142.0,227.0,409.2,406.0,False,元のANCC粒子フィルタ TVT − last_known_tvt。learned予測値ではない。,exact_prune_17,existing_delta_duplicate,pf_ancc_delta,1.0,drop_in_exact_prune
146,ll_candidate_tvt_pf_ancc_minus_likpf_mean_tvt,learned_likelihood,0.21818063060300824,143.33333333333334,212.6,416.6,402.6,False,元のANCC粒子フィルタ TVT − likpf_mean_tvt。learned予測値ではない。,exact_prune_17,existing_disagreement_duplicate,uproj_diff_pf_ancc_minus_likpf_mean,1.0,drop_in_exact_prune
147,last_known_tvt,base_replay,0.2043312101836187,145.0,294.6,361.4,332.2,False,既知prefix末尾のTVT。全残差予測のanchor。,,,,,
148,uproj_beam_mean_abs_resid,u_projection,0.18976803521153554,153.0,603.4,184.0,204.2,False,beam_mean U-projection: 上記residualの絶対値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
149,uproj_corr_std,u_projection,0.18898391770044043,152.66666666666666,552.6,197.0,226.8,False,5候補のpolynomial correction値の行別標準偏差。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
150,tvtFw_ASTNU,base_replay,0.18734492779921766,149.33333333333334,272.4,331.4,302.8,False,ASTNU formation surface: spatial KNN surfaceとprefix指数加重biasから作るTVT候補。,,,,,
151,tvtF_ANCC,base_replay,0.18459530360885368,150.0,333.6,282.2,291.6,False,ANCC formation surface: spatial KNN surfaceとfull-prefix median biasから作るTVT候補。,,,,,
152,grwr_raw_std_w129,gr_wavelet_rotation,0.18128556668521614,159.0,599.2,160.2,192.8,False,raw GRのlocal rolling標準偏差（window 129）。,,,,,
153,uproj_likpf_mean_abs_resid,u_projection,0.1791924941417545,157.33333333333334,565.2,166.6,203.2,False,likpf_mean U-projection: 上記residualの絶対値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
154,ll_candidate_tvt_beam_mean_minus_likpf_mean_tvt,learned_likelihood,0.17602496494775222,160.66666666666666,134.8,352.4,337.0,False,元の複数Beam path平均 TVT − likpf_mean_tvt。learned予測値ではない。,exact_prune_17,existing_disagreement_duplicate,uproj_diff_beam_mean_minus_likpf_mean,1.0,drop_in_exact_prune
155,uproj_corr_range,u_projection,0.1745368369802167,160.0,537.6,173.6,196.8,False,5候補のpolynomial correction値の行別range。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
156,uproj_pf_z_abs_resid,u_projection,0.16929629282208747,163.66666666666666,525.8,163.2,192.6,False,pf_z U-projection: 上記residualの絶対値。,u_projection_slim_review,u_projection_family_slim_review,,,review_only_do_not_include_in_exact_prune
157,tvtF50_ASTNU,base_replay,0.1682711242708203,155.66666666666666,242.0,284.2,287.0,False,ASTNU formation surface: spatial KNN surfaceとprefix末尾50行biasから作るTVT候補。,formation_last50_followup_12,formation_weighted_vs_last50_near_duplicate,tvtFw_ASTNU,0.9999904079094132,defer_to_separate_ablation
