rank,feature,family,mean_split_importance,std_split_importance,importance_share_pct,folds,description
26,beam_mean_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,371.0,10.319883720275147,1.091150796451849,5,|複数Beam path平均 TVT − exp226 K16 geometry/GR/U-projection TVT|。
27,hmm_selfgr_loglik,hmm_confidence,370.2,15.482247898803323,1.0887979106373975,5,Self-GR likelihood HMMの行別観測log-likelihood。
28,likpf_mean_d,candidate_path_value,369.2,33.131555955010626,1.0858568033693332,5,likelihood-weighted PF平均候補 − last_known_tvt。
29,md_since,distance_or_anchor_context,349.4,25.274493071078602,1.0276228794616604,5,既知prefix末尾から予測行までのMD距離。
30,pf_ancc_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,326.8,8.700574693662483,0.9611538552034077,5,|ANCC PF TVT − exp226 K16 geometry/GR/U-projection TVT|。
31,pf_ancc_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,320.8,28.82186669874108,0.943507211595022,5,|ANCC PF TVT − Self-GR likelihood HMM TVT|。
32,copcf_typewell_native_overlap_0p999_neighbor_wells,cluster_prior_confidence,312.2,26.090228055729987,0.9182136890896692,5,native-overlap閾値0.999のtypewell cluster priorを作る近傍well数。
33,tvt_dense_vs_tvt_dense50_abs,candidate_disagreement,311.4,15.565988564816571,0.9158608032752177,5,|dense spatial ANCC（full-prefix bias） TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
34,likpf_mean_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,309.2,22.960836221705865,0.9093903672854763,5,|likelihood-weighted PF平均 TVT − exp226 K16 geometry/GR/U-projection TVT|。
35,crfe_dense_dist_norm,disagreement_enrichment,294.4,5.59464029227975,0.8658619797181248,5,dense_distを上限付きで正規化した近傍距離proxy。
36,hmm_exact_minus_likpf_mean,hmm_confidence,290.4,35.95552808679078,0.8540975506458677,5,exact HMM候補 − likelihood-weighted PF平均候補。
37,copcf_spatial_xy_only_k8_minus_candidate_abs_norm,cluster_prior_confidence,279.8,75.64852939747078,0.8229218136043864,5,|XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT|をprior標準偏差で正規化。
38,dense_std,pf_dense_confidence,278.2,19.149412523625887,0.8182160419754836,5,dense spatial KNN近傍ANCCの重み付き標準偏差。
39,last_known_tvt,distance_or_anchor_context,276.6,40.15345564207395,0.8135102703465809,5,既知prefix末尾のTVT。全候補deltaのanchor。
40,copcf_typewell_spatial_prior_delta,cluster_prior_confidence,269.6,22.17656420638688,0.7929225194701308,5,typewell prior − spatial prior。2種類の補正方向の差。
41,blend_likpf_hmm_w500_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,266.8,22.50999777876488,0.7846874191195508,5,|likPF / exact-HMM 50:50 blend TVT − exp226 K16 geometry/GR/U-projection TVT|。
42,copcf_spatial_xy_only_k8_minus_candidate_abs,cluster_prior_confidence,261.2,26.527344382730817,0.7682172184183907,5,|XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT|。
43,beam_mean_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,257.2,36.5403886131497,0.7564527893461336,5,|複数Beam path平均 TVT − likPF / exact-HMM 50:50 blend TVT|。
44,exp226_gr_delta,exp226_geometry,245.2,25.849564793241683,0.7211595021293622,5,exp226候補位置でのGR整合差。exp251 v4ではraw-test契約外として除外。
45,copcf_typewell_native_overlap_1_minus_candidate_abs,cluster_prior_confidence,244.6,16.92040188648012,0.7193948377685236,5,|native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT|。
46,tvt_dense_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,241.6,14.501724035437991,0.7105715159643308,5,|dense spatial ANCC（full-prefix bias） TVT − Self-GR likelihood HMM TVT|。
47,copcf_typewell_native_overlap_1_minus_candidate_abs_norm,cluster_prior_confidence,241.0,24.66779276708802,0.7088068516034922,5,|native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT|をprior標準偏差で正規化。
48,exp226_geop_minus_pred,exp226_geometry,235.8,44.48258086037725,0.693513093809558,5,exp226 geometry projection TVT − exp226最終候補TVT。
49,likpf_mean_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,234.6,21.419617176784463,0.6899837650878808,5,|likelihood-weighted PF平均 TVT − likPF / exact-HMM 50:50 blend TVT|。
50,pf_ancc_vs_likpf_mean_abs,candidate_disagreement,232.0,20.530465167647808,0.6823368861909137,5,|ANCC PF TVT − likelihood-weighted PF平均 TVT|。
51,pf_ancc_vs_beam_mean_abs,candidate_disagreement,230.6,29.92991814222017,0.6782193360156237,5,|ANCC PF TVT − 複数Beam path平均 TVT|。
52,blend_likpf_hmm_w500_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,230.2,8.983317872590286,0.6770428931083979,5,|likPF / exact-HMM 50:50 blend TVT − Self-GR likelihood HMM TVT|。
53,crfe_tvt_dense_drift_per_md,disagreement_enrichment,227.0,18.721645226849052,0.6676313498505922,5,"(dense full-prefix候補 − anchor) / max(md_since, 1)。"
54,pf_ancc_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,227.0,17.902513789968157,0.6676313498505922,5,|ANCC PF TVT − likPF / exact-HMM 50:50 blend TVT|。
55,copcf_spatial_xy_plus_trajectory_shape_k8_prior_std,cluster_prior_confidence,222.8,23.700210969525152,0.6552786993247223,5,XY距離とtrajectory shapeを使うK=8 spatial priorを作るsource TVTの標準偏差。
56,copcf_typewell_native_overlap_0p999_prior_std,cluster_prior_confidence,220.0,28.78367592924851,0.6470435989741423,5,native-overlap閾値0.999のtypewell cluster priorを作るsource TVTの標準偏差。
57,copcf_typewell_native_overlap_1_prior_count,cluster_prior_confidence,214.8,37.26526532845298,0.631749841180208,5,native-overlap閾値1.0のtypewell cluster priorを作る有効source数。
58,tvt_dense_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,211.4,18.46076921474292,0.6217500764687894,5,|dense spatial ANCC（full-prefix bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
59,copcf_spatial_xy_only_k8_prior_std,cluster_prior_confidence,207.2,19.954949260772377,0.6093974259429195,5,XY距離だけを使うK=8 spatial priorを作るsource TVTの標準偏差。
60,crfe_tvt_dense50_drift_per_md,disagreement_enrichment,203.4,24.684002916869055,0.5982212183242752,5,"(dense末尾50候補 − anchor) / max(md_since, 1)。"
61,crfe_dense_candidate_mean,disagreement_enrichment,200.8,16.05303709582707,0.5905743394273081,5,dense 3候補TVTの平均。
62,tvt_densew_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,199.8,19.331321734428816,0.5876332321592438,5,|dense spatial ANCC（prefix加重bias） TVT − Self-GR likelihood HMM TVT|。
63,tvt_dense50_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,199.0,18.64135188230725,0.5852803463447923,5,|dense spatial ANCC（prefix末尾50 bias） TVT − Self-GR likelihood HMM TVT|。
64,likpf_mean_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,189.2,31.74429082528069,0.5564574951177623,5,|likelihood-weighted PF平均 TVT − Self-GR likelihood HMM TVT|。
65,crfe_dense_candidate_std,disagreement_enrichment,177.4,11.545561917897285,0.5217524293546039,5,dense 3候補TVTの標準偏差。
66,beam_mean_vs_likpf_mean_abs,candidate_disagreement,176.6,27.546324618721826,0.5193995435401524,5,|複数Beam path平均 TVT − likelihood-weighted PF平均 TVT|。
67,hmm_selfgr_boost_only_a070_c100_mean_tvt,hmm_confidence,176.6,16.592166826548002,0.5193995435401524,5,Self-GR likelihood HMMの絶対TVT候補。
68,candidate_name_code,candidate_identity_or_context,175.6,50.894989930247554,0.5164584362720881,5,candidate_indexと同じ候補identity codeを別契約名で保持した列。
69,blend_likpf_hmm_w500,candidate_path_value,170.4,5.98331012066064,0.5011646784781538,5,likPF / exact-HMM 50:50 blendの絶対TVT候補。
70,tvt_dense_d,candidate_path_value,166.6,8.203657720797473,0.4899884708595096,5,dense full-prefix候補 − last_known_tvt。
71,crfe_tvt_densew_drift_per_md,disagreement_enrichment,164.0,29.0,0.48234159196254245,5,"(dense加重候補 − anchor) / max(md_since, 1)。"
72,candidate_is_dense_family,candidate_identity_or_context,159.6,16.516658257650064,0.4694007199830596,5,対象候補がdense 3候補なら1。
73,crfe_tail_rank_norm,disagreement_enrichment,155.2,17.19592975096142,0.4564598480035767,5,"min(予測tail内row index / 1000, 5)。"
74,pf_vs_dense,candidate_disagreement,147.8,13.274034804836099,0.4346956542199011,5,ANCC PF候補 − dense ANCC候補。
75,candidate_is_hmm_family,candidate_identity_or_context,147.4,10.597169433391164,0.43351921131267535,5,対象候補がHMMまたはHMM blendなら1。
76,exp226_geop_tvt,exp226_geometry,144.2,11.584472366059664,0.42410766805486955,5,exp226 geometry projectionが返す絶対TVT。exp251 v4ではraw-test契約外として除外。
77,copcf_nearby_majority_count_k12,cluster_prior_confidence,142.2,18.17140610959978,0.418225453518741,5,近傍12 well中、多数派clusterに属するwell数。
78,candidate_is_default_likpf,candidate_identity_or_context,137.6,15.693947878083447,0.40469636008564536,5,対象候補が既定fallbackのlikpf_meanなら1。
79,crfe_dense_candidate_range,disagreement_enrichment,137.0,16.077935190813527,0.4029316957248068,5,dense 3候補TVTの最大−最小。
80,crfe_pf_ancc_minus_tvt_densew,disagreement_enrichment,135.2,13.103434664239751,0.39763770264229104,5,ANCC PF候補 − dense prefix加重候補。
81,exp226_v6_k16_geometry_gr_u_projection,exp226_geometry,134.8,12.597618822618823,0.3964612597350654,5,exp226 K16 geometry/GR/U-projectionの絶対TVT候補。
82,crfe_likpf_mean_minus_tvt_densew,disagreement_enrichment,132.2,18.99210362229524,0.38881438083809816,5,likPF平均候補 − dense prefix加重候補。
83,tvt_densew_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,128.4,11.260550608207398,0.377638173219454,5,|dense spatial ANCC（prefix加重bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
84,beam_mean_minus_last,candidate_path_value,126.0,19.209372712298546,0.37057951577609965,5,複数Beam path平均 TVT − last_known_tvt。
85,candidate_multiobs_mae,multi_observation,124.2,12.61744823647,0.36528552269358394,5,対象候補自身のmulti-observation GR照合MAE。
86,crfe_beam_mean_minus_tvt_densew_abs_norm,disagreement_enrichment,117.0,16.46207763315433,0.34410955036352114,5,"|Beam平均 − dense加重| / max(dense_std, 10)。"
87,crfe_high_disagreement_proxy,disagreement_enrichment,116.2,2.863564212655271,0.3417566645490697,5,PF-vs-dense差、dense std、dense距離を0.45/0.35/0.20で合成したdisagreement。
88,tvt_dense50_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,109.4,5.504543577809154,0.32175713512623255,5,|dense spatial ANCC（prefix末尾50 bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
89,tvt_dense_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,106.4,21.87007087322764,0.31293381332203973,5,|dense spatial ANCC（full-prefix bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
90,beam_mean_vs_tvt_dense_abs,candidate_disagreement,103.8,11.43241006962224,0.3052869344250726,5,|複数Beam path平均 TVT − dense spatial ANCC（full-prefix bias） TVT|。
91,likpf_mean_vs_tvt_dense_abs,candidate_disagreement,103.6,11.193748255164577,0.30469871297145973,5,|likelihood-weighted PF平均 TVT − dense spatial ANCC（full-prefix bias） TVT|。
92,crfe_tvt_dense_abs_delta_from_last,disagreement_enrichment,101.2,10.59245014149229,0.29764005552810546,5,|dense full-prefix候補 − anchor|。
93,pf_ancc_vs_tvt_dense_abs,candidate_disagreement,99.8,10.825894882179487,0.29352250535281543,5,|ANCC PF TVT − dense spatial ANCC（full-prefix bias） TVT|。
94,copcf_nearby_majority_count_k8,cluster_prior_confidence,96.6,8.792041856133308,0.28411096209500974,5,近傍8 well中、多数派clusterに属するwell数。
95,tvt_dense50_d,candidate_path_value,96.4,12.660963628413123,0.2835227406413969,5,dense prefix末尾50候補 − last_known_tvt。
96,crfe_beam_mean_minus_tvt_densew,disagreement_enrichment,93.4,16.97939928266015,0.27469941883720406,5,Beam平均候補 − dense prefix加重候補。
97,copcf_spatial_xy_only_k8_prior_count,cluster_prior_confidence,92.8,9.54986910905066,0.27293475447636545,5,XY距離だけを使うK=8 spatial priorを作る有効source数。
98,crfe_pf_vs_dense_abs_norm,disagreement_enrichment,91.0,13.057564857200592,0.26764076139384974,5,"|ANCC PF − dense ANCC| / max(dense_std, 10)。"
99,pf_ancc_std,pf_dense_confidence,91.0,15.7797338380595,0.26764076139384974,5,ANCC PF粒子の行別TVT標準偏差。粒子分布の幅。
100,crfe_likpf_mean_minus_tvt_densew_abs_norm,disagreement_enrichment,85.4,12.280065146406999,0.2511705606926898,5,"|likPF − dense加重| / max(dense_std, 10)。"
101,crfe_pf_ancc_minus_tvt_densew_abs_norm,disagreement_enrichment,83.8,15.270887335056859,0.24646478906378694,5,"|ANCC PF − dense加重| / max(dense_std, 10)。"
102,copcf_typewell_native_overlap_0p999_minus_candidate,cluster_prior_confidence,81.4,9.423375191511797,0.23940613162043267,5,native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT。
103,copcf_typewell_spatial_prior_abs_delta,cluster_prior_confidence,81.0,9.486832980505138,0.23822968871320693,5,|typewell prior − spatial prior|。
104,pf_ancc_vs_tvt_densew_abs,candidate_disagreement,80.6,9.864076236526154,0.2370532458059812,5,|ANCC PF TVT − dense spatial ANCC（prefix加重bias） TVT|。
105,pf_ancc_vs_tvt_dense50_abs,candidate_disagreement,79.0,14.017845768876185,0.23234747417707838,5,|ANCC PF TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
106,tvt_densew_d,candidate_path_value,76.8,10.70980858839223,0.22587703818733695,5,dense prefix加重候補 − last_known_tvt。
107,exp226_geop_minus_pred_abs,exp226_geometry,71.6,12.95376393176902,0.21058328039340266,5,|exp226 geometry projection TVT − exp226最終候補TVT|。
108,candidate_multiobs_score,multi_observation,70.4,15.388307249337075,0.20705395167172555,5,対象候補自身のmulti-observation GR一致score。
109,likpf_mean_vs_tvt_dense50_abs,candidate_disagreement,68.8,11.43241006962224,0.20234818004282268,5,|likelihood-weighted PF平均 TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
110,tvt_densew_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,68.6,8.677557259966656,0.20175995858920978,5,|dense spatial ANCC（prefix加重bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
111,crfe_tvt_densew_abs_delta_from_last,disagreement_enrichment,62.4,7.602631123499285,0.18352509352721127,5,|dense prefix加重候補 − anchor|。
112,crfe_tvt_dense50_abs_delta_from_last,disagreement_enrichment,62.0,8.544003745317532,0.18234865061998556,5,|dense末尾50候補 − anchor|。
113,tvt_dense50_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,60.6,8.96102672688794,0.17823110044469556,5,|dense spatial ANCC（prefix末尾50 bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
114,likpf_mean_vs_tvt_densew_abs,candidate_disagreement,56.6,2.701851217221259,0.16646667137243842,5,|likelihood-weighted PF平均 TVT − dense spatial ANCC（prefix加重bias） TVT|。
115,copcf_nearby_majority_count_k5,cluster_prior_confidence,53.8,10.353743284435827,0.15823157102185842,5,近傍5 well中、多数派clusterに属するwell数。
116,likpf_mean_minus_last,candidate_path_value,53.6,10.876580344942981,0.15764334956824558,5,likelihood-weighted PF平均 TVT − last_known_tvt。
117,sc_ens_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,52.8,9.20326029187483,0.15529046375379416,5,|multi-scale NCC ensemble TVT − exp226 K16 geometry/GR/U-projection TVT|。
118,hyb_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,46.6,10.014988766843427,0.1370555986917956,5,|Beam/NCC hybrid TVT − exp226 K16 geometry/GR/U-projection TVT|。
119,beam_mean_vs_tvt_densew_abs,candidate_disagreement,45.0,6.892024376045111,0.13234982706289275,5,|複数Beam path平均 TVT − dense spatial ANCC（prefix加重bias） TVT|。
120,sc_ens_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,42.8,11.278297743897348,0.12587939107315133,5,|multi-scale NCC ensemble TVT − Self-GR likelihood HMM TVT|。
121,copcf_typewell_native_overlap_1_neighbor_wells,cluster_prior_confidence,42.0,7.968688725254614,0.12352650525869989,5,native-overlap閾値1.0のtypewell cluster priorを作る近傍well数。
122,beam_mean_vs_tvt_dense50_abs,candidate_disagreement,41.8,6.906518659932803,0.12293828380508703,5,|複数Beam path平均 TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
123,sc_ens_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,40.0,10.700467279516348,0.11764429072257132,5,|multi-scale NCC ensemble TVT − likPF / exact-HMM 50:50 blend TVT|。
124,copcf_typewell_native_overlap_0p999_minus_candidate_abs_norm,cluster_prior_confidence,36.2,5.118593556827892,0.10646808310392707,5,|native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT|をprior標準偏差で正規化。
125,hyb_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,36.2,5.718391382198318,0.10646808310392707,5,|Beam/NCC hybrid TVT − likPF / exact-HMM 50:50 blend TVT|。
126,copcf_spatial_xy_only_k8_nearby_majority_diff_k8_corr_abs_c20,cluster_prior_confidence,36.0,4.898979485566356,0.1058798616503142,5,K=8近傍の多数派cluster不一致時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
127,hyb_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,35.4,6.107372593840989,0.10411519728947562,5,|Beam/NCC hybrid TVT − Self-GR likelihood HMM TVT|。
128,copcf_spatial_xy_only_k8_any_outlier_signal_k8_corr_abs_c40,cluster_prior_confidence,34.8,8.408329203831162,0.10235053292863704,5,K=8近傍のいずれかのoutlier signal時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
129,copcf_spatial_xy_plus_trajectory_shape_k8_std_x_candidate,cluster_prior_confidence,33.8,4.8166378315169185,0.09940942566057276,5,XY距離とtrajectory shapeを使うK=8 spatial priorの標準偏差をcandidate-long各行へ複製した列。積ではない。
130,crfe_dense_std_norm,disagreement_enrichment,33.8,6.140032573203501,0.09940942566057276,5,dense_std / 10を上限付きで正規化した不確実性proxy。
131,copcf_typewell_native_overlap_0p999_minus_candidate_abs,cluster_prior_confidence,33.6,7.021395872616783,0.09882120420695992,5,|native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT|。
132,sc_ens_d,candidate_path_value,33.4,5.89915248150105,0.09823298275334706,5,multi-scale NCC ensemble候補 − last_known_tvt。
133,copcf_spatial_xy_only_k8_nearby_majority_diff_k8_corr_abs_c40,cluster_prior_confidence,33.2,7.661592523751183,0.0976447612997342,5,K=8近傍の多数派cluster不一致時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
134,copcf_spatial_xy_only_k8_nearest_other_closer_corr_abs_c40,cluster_prior_confidence,32.0,10.319883720275147,0.09411543257805706,5,別clusterの方が近い時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
135,copcf_spatial_xy_only_k8_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,31.8,10.449880382090505,0.0935272111244442,5,別clusterの方が近い時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
136,copcf_spatial_xy_only_k8_std_x_candidate,cluster_prior_confidence,31.0,6.745368781616021,0.09117432530999278,5,XY距離だけを使うK=8 spatial priorの標準偏差をcandidate-long各行へ複製した列。積ではない。
137,copcf_spatial_xy_plus_trajectory_shape_k8_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,30.8,4.207136793592526,0.09058610385637993,5,別clusterの方が近い時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
138,copcf_typewell_native_overlap_0p999_prior_count,cluster_prior_confidence,29.8,10.545141061171254,0.08764499658831564,5,native-overlap閾値0.999のtypewell cluster priorを作る有効source数。
139,copcf_spatial_xy_plus_trajectory_shape_k8_nearby_majority_diff_k8_corr_abs_c40,cluster_prior_confidence,28.4,9.262828941527529,0.08352744641302565,5,K=8近傍の多数派cluster不一致時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
140,copcf_spatial_xy_plus_trajectory_shape_k8_nearest_other_closer_corr_abs_c40,cluster_prior_confidence,28.0,7.778174593052023,0.08235100350579992,5,別clusterの方が近い時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
141,copcf_spatial_xy_only_k8_any_outlier_signal_k8_corr_abs_c20,cluster_prior_confidence,27.4,4.03732584763727,0.08058633914496136,5,K=8近傍のいずれかのoutlier signal時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
142,copcf_spatial_xy_plus_trajectory_shape_k8_nearby_majority_diff_k8_corr_abs_c20,cluster_prior_confidence,27.4,4.393176527297759,0.08058633914496136,5,K=8近傍の多数派cluster不一致時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
143,copcf_typewell_native_overlap_1_prior_std,cluster_prior_confidence,27.4,6.06630035524124,0.08058633914496136,5,native-overlap閾値1.0のtypewell cluster priorを作るsource TVTの標準偏差。
144,candidate_std,candidate_identity_or_context,26.4,7.021395872616783,0.07764523187689708,5,同じbase rowにある候補TVT群の標準偏差。候補間disagreement。
145,copcf_typewell_native_overlap_1_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,26.4,7.503332592921628,0.07764523187689708,5,別clusterの方が近い時にnative-overlap閾値1.0のtypewell cluster priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
146,copcf_spatial_xy_plus_trajectory_shape_k8_any_outlier_signal_k8_corr_abs_c40,cluster_prior_confidence,26.2,6.610597552415364,0.07705701042328422,5,K=8近傍のいずれかのoutlier signal時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
147,copcf_spatial_xy_plus_trajectory_shape_k8_prior_count,cluster_prior_confidence,26.2,4.919349550499538,0.07705701042328422,5,XY距離とtrajectory shapeを使うK=8 spatial priorを作る有効source数。
148,copcf_typewell_native_overlap_1_nearby_majority_diff_k8_corr_abs_c40,cluster_prior_confidence,25.6,6.107372593840989,0.07529234606244564,5,K=8近傍の多数派cluster不一致時にnative-overlap閾値1.0のtypewell cluster priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
149,copcf_nearby_majority_share_k12,cluster_prior_confidence,25.0,5.477225575051661,0.07352768170160708,5,近傍12 wellの多数派cluster比率。
150,tvt_dense_minus_last,candidate_path_value,23.2,2.387467277262664,0.06823368861909136,5,dense spatial ANCC（full-prefix bias） TVT − last_known_tvt。
151,likpf_mean_vs_sc_ens_abs,candidate_disagreement,23.0,6.041522986797286,0.0676454671654785,5,|likelihood-weighted PF平均 TVT − multi-scale NCC ensemble TVT|。
152,copcf_typewell_native_overlap_1_nearest_other_closer_corr_abs_c40,cluster_prior_confidence,22.4,8.018728078691781,0.06588080280463994,5,別clusterの方が近い時にnative-overlap閾値1.0のtypewell cluster priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
153,crfe_high_disagreement_x_longtail,disagreement_enrichment,22.2,4.147288270665544,0.06529258135102708,5,high_disagreement_proxy × longtail_1000_flag。
