combined_rank,feature,family,combined_importance_share_pct,expected_error_rank,expected_error_split_importance,expected_error_share_pct,within10_rank,within10_split_importance,within10_share_pct,description
29,copcf_spatial_xy_only_k8_minus_candidate,cluster_prior_confidence,1.077244691692334,28,325.2,1.0823692303595909,28,181.6,1.0721201530250768,XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT。
30,pf_ancc_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,1.0305931644735777,30,322.0,1.0717186106266552,31,167.6,0.9894677183205003,|ANCC PF TVT − exp226 K16 geometry/GR/U-projection TVT|。
31,pf_ancc_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,1.0051281155133767,27,340.4,1.1329596740910355,35,148.6,0.8772965569357181,|ANCC PF TVT − Self-GR likelihood HMM TVT|。
32,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate_abs,cluster_prior_confidence,0.9898963063537696,36,283.0,0.9419141826315013,29,175.8,1.037878430076038,|XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT|。
33,likpf_mean_minus_last,candidate_path_value,0.9615307957971907,33,295.4,0.983185334096627,33,159.2,0.9398762574977544,likelihood-weighted PF平均 TVT − last_known_tvt。
34,likpf_mean_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.9250822952373998,32,307.2,1.0224594943618275,40,140.2,0.8277050961129722,|likelihood-weighted PF平均 TVT − exp226 K16 geometry/GR/U-projection TVT|。
35,likpf_mean_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.8761560108392265,37,277.8,0.9246069255654807,39,140.2,0.8277050961129722,|likelihood-weighted PF平均 TVT − likPF / exact-HMM 50:50 blend TVT|。
36,tvt_dense_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.8547831369891703,41,245.8,0.8181007282361237,34,151.0,0.8914655457422169,|dense spatial ANCC（full-prefix bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
37,pf_ancc_vs_beam_mean_abs,candidate_disagreement,0.8352691023123977,40,247.2,0.8227603743692831,37,143.6,0.8477778302555122,|ANCC PF TVT − 複数Beam path平均 TVT|。
38,blend_likpf_hmm_w500_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.8293580473453173,35,284.8,0.9479051562312776,53,120.4,0.7108109384593571,|likPF / exact-HMM 50:50 blend TVT − exp226 K16 geometry/GR/U-projection TVT|。
39,copcf_spatial_xy_plus_trajectory_shape_k8_minus_candidate_abs_norm,cluster_prior_confidence,0.821610569406807,56,206.0,0.685633645307736,32,162.2,0.9575874935058779,|XY距離とtrajectory shapeを使うK=8 spatial prior TVT − 対象候補TVT|をprior標準偏差で正規化。
40,tvt_dense_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.820763139514989,46,236.0,0.7854832053040082,36,145.0,0.8560430737259699,|dense spatial ANCC（full-prefix bias） TVT − Self-GR likelihood HMM TVT|。
41,tvt_dense_minus_last,candidate_path_value,0.8067415616011153,34,285.4,0.9499021474312029,57,112.4,0.6635809757710277,dense spatial ANCC（full-prefix bias） TVT − last_known_tvt。
42,pf_ancc_vs_likpf_mean_abs,candidate_disagreement,0.8041495664345941,43,243.4,0.8101127634364219,44,135.2,0.7981863694327662,|ANCC PF TVT − likelihood-weighted PF平均 TVT|。
43,copcf_typewell_native_overlap_0p999_prior_std,cluster_prior_confidence,0.8034402885694181,44,241.2,0.8027904623700286,42,136.2,0.8040901147688074,native-overlap閾値0.999のtypewell cluster priorを作るsource TVTの標準偏差。
44,beam_mean_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.7915933258897238,39,250.4,0.8334109941022187,48,127.0,0.7497756576772288,|複数Beam path平均 TVT − likPF / exact-HMM 50:50 blend TVT|。
45,exp226_v6_k16_geometry_gr_u_projection,exp226_geometry,0.7723046715033283,49,223.2,0.7428807263722653,43,135.8,0.8017286166343912,exp226 K16 geometry/GR/U-projectionの絶対TVT候補。
46,copcf_typewell_native_overlap_1_minus_candidate,cluster_prior_confidence,0.7599150905461529,42,245.2,0.8161037370361983,54,119.2,0.7037264440561076,native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT。
47,copcf_spatial_xy_plus_trajectory_shape_k8_prior_std,cluster_prior_confidence,0.7553068554846363,45,236.4,0.7868145327706251,50,122.6,0.7237991781986476,XY距離とtrajectory shapeを使うK=8 spatial priorを作るsource TVTの標準偏差。
48,blend_likpf_hmm_w500_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.7518798567990639,38,257.4,0.8567092247680155,58,109.6,0.6470504888301124,|likPF / exact-HMM 50:50 blend TVT − Self-GR likelihood HMM TVT|。
49,blend_likpf_hmm_w500,candidate_path_value,0.7494820541638192,51,218.0,0.7255734693062448,46,131.0,0.7733906390213935,likPF / exact-HMM 50:50 blendの絶対TVT候補。
50,copcf_typewell_native_overlap_1_prior_count,cluster_prior_confidence,0.7386372418996071,53,209.0,0.6956186013073631,45,132.4,0.7816558824918511,native-overlap閾値1.0のtypewell cluster priorを作る有効source数。
51,pf_ancc_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.7276662166727841,47,235.4,0.7834862141040827,56,113.8,0.6718462192414854,|ANCC PF TVT − likPF / exact-HMM 50:50 blend TVT|。
52,hmm_selfgr_boost_only_a070_c100_mean_tvt,hmm_confidence,0.7067886921528216,55,207.6,0.6909589551742038,51,122.4,0.7226184291314394,Self-GR likelihood HMMの絶対TVT候補。
53,copcf_spatial_xy_only_k8_prior_std,cluster_prior_confidence,0.7040268698918217,57,199.2,0.6630010783752476,49,126.2,0.7450526614083959,XY距離だけを使うK=8 spatial priorを作るsource TVTの標準偏差。
54,beam_mean_vs_likpf_mean_abs,candidate_disagreement,0.6934396002945595,58,190.0,0.6323805466430574,47,127.8,0.7544986539460617,|複数Beam path平均 TVT − likelihood-weighted PF平均 TVT|。
55,copcf_spatial_xy_only_k8_minus_candidate_abs_norm,cluster_prior_confidence,0.6920444353835329,63,162.2,0.5398532877131784,38,143.0,0.8442355830538875,|XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT|をprior標準偏差で正規化。
56,copcf_typewell_native_overlap_1_minus_candidate_abs,cluster_prior_confidence,0.6743212603113787,66,159.0,0.5292026679802427,41,138.8,0.8194398526425147,|native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT|。
57,copcf_typewell_spatial_prior_delta,cluster_prior_confidence,0.6696786699839778,48,230.0,0.7655132933047537,61,97.2,0.5738440466632019,typewell prior − spatial prior。2種類の補正方向の差。
58,likpf_mean_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.6567257601280436,52,209.8,0.6982812562405971,59,104.2,0.61517026401549,|likelihood-weighted PF平均 TVT − Self-GR likelihood HMM TVT|。
59,copcf_spatial_xy_only_k8_minus_candidate_abs,cluster_prior_confidence,0.6372309741463409,60,176.8,0.5884467402446976,55,116.2,0.6860152080479841,|XY距離だけを使うK=8 spatial prior TVT − 対象候補TVT|。
60,tvt_dense50_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.6303769767751961,50,218.8,0.7282361242394787,65,90.2,0.5325178293109136,|dense spatial ANCC（prefix末尾50 bias） TVT − Self-GR likelihood HMM TVT|。
61,copcf_typewell_native_overlap_1_minus_candidate_abs_norm,cluster_prior_confidence,0.6270279474873757,64,161.8,0.5385219602465615,52,121.2,0.7155339347281899,|native-overlap閾値1.0のtypewell cluster prior TVT − 対象候補TVT|をprior標準偏差で正規化。
62,pf_ancc_vs_tvt_dense_abs,candidate_disagreement,0.5823775535928007,61,170.8,0.5684768282454432,60,101.0,0.5962782789401583,|ANCC PF TVT − dense spatial ANCC（full-prefix bias） TVT|。
63,tvt_densew_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.5799334566276407,54,208.0,0.6922902826408207,68,79.2,0.46757663061446075,|dense spatial ANCC（prefix加重bias） TVT − Self-GR likelihood HMM TVT|。
64,tvt_densew_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.5540790479874151,65,161.6,0.5378562965132531,62,96.6,0.5703017994615771,|dense spatial ANCC（prefix加重bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
65,copcf_nearby_majority_count_k12,cluster_prior_confidence,0.521033667985135,68,146.0,0.4859345253151915,64,94.2,0.5561328106550784,近傍12 well中、多数派clusterに属するwell数。
66,candidate_name_code,candidate_identity_or_context,0.5099749271858406,71,139.0,0.4626362946493946,63,94.4,0.5573135597222866,candidate_indexと同じ候補identity codeを別契約名で保持した列。
67,beam_mean_vs_tvt_dense_abs,candidate_disagreement,0.4901638778345061,67,149.8,0.4985821362480527,67,81.6,0.4817456194209595,|複数Beam path平均 TVT − dense spatial ANCC（full-prefix bias） TVT|。
68,likpf_mean_vs_tvt_dense_abs,candidate_disagreement,0.4788117771761695,72,133.4,0.44399771011675715,66,87.0,0.5136258442355819,|likelihood-weighted PF平均 TVT − dense spatial ANCC（full-prefix bias） TVT|。
69,tvt_densew_minus_last,candidate_path_value,0.4693190029998525,59,180.2,0.5997630237109418,75,57.4,0.3388749822887632,dense spatial ANCC（prefix加重bias） TVT − last_known_tvt。
70,hyb_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.4418798663503156,69,144.2,0.4799435517154151,71,68.4,0.40381618098521616,|Beam/NCC hybrid TVT − exp226 K16 geometry/GR/U-projection TVT|。
71,candidate_is_dense_family,candidate_identity_or_context,0.4158436915515804,73,128.2,0.42669045305073655,70,68.6,0.4049969300524243,対象候補がdense 3候補なら1。
72,sc_ens_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.4032879383154461,62,165.0,0.5491725799794972,85,43.6,0.25740329665139505,|multi-scale NCC ensemble TVT − exp226 K16 geometry/GR/U-projection TVT|。
73,tvt_dense_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.39720924914319866,74,128.0,0.42602478931742815,72,62.4,0.3683937089689691,|dense spatial ANCC（full-prefix bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
74,tvt_dense50_minus_last,candidate_path_value,0.39427345766346444,70,142.2,0.4732869143823303,81,53.4,0.31526000094459855,dense spatial ANCC（prefix末尾50 bias） TVT − last_known_tvt。
75,candidate_is_default_likpf,candidate_identity_or_context,0.37790085875299706,80,105.4,0.35080478745356974,69,68.6,0.4049969300524243,対象候補が既定fallbackのlikpf_meanなら1。
76,tvt_dense50_vs_v6_k16_geometry_gr_u_projection_abs,candidate_disagreement,0.37727515433603653,75,125.6,0.41803682451772634,76,57.0,0.3365134841543468,|dense spatial ANCC（prefix末尾50 bias） TVT − exp226 K16 geometry/GR/U-projection TVT|。
77,copcf_nearby_majority_count_k8,cluster_prior_confidence,0.3640885799412141,78,112.0,0.3727716906527496,73,60.2,0.35540546922967853,近傍8 well中、多数派clusterに属するwell数。
78,candidate_is_hmm_family,candidate_identity_or_context,0.35549050460410214,79,111.8,0.3721060269194411,74,57.4,0.3388749822887632,対象候補がHMMまたはHMM blendなら1。
79,pf_ancc_vs_tvt_densew_abs,candidate_disagreement,0.3352910701902151,77,117.4,0.3907446114520786,84,47.4,0.2798375289283515,|ANCC PF TVT − dense spatial ANCC（prefix加重bias） TVT|。
80,hyb_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.333654443800525,82,104.0,0.34614514132041035,78,54.4,0.3211637462806397,|Beam/NCC hybrid TVT − Self-GR likelihood HMM TVT|。
81,pf_ancc_vs_tvt_dense50_abs,candidate_disagreement,0.33321464766632963,81,104.8,0.3488077962536443,79,53.8,0.317621499079015,|ANCC PF TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
82,likpf_mean_vs_tvt_dense50_abs,candidate_disagreement,0.32471159753272816,83,100.4,0.3341631941208577,80,53.4,0.31526000094459855,|likelihood-weighted PF平均 TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
83,likpf_mean_vs_tvt_densew_abs,candidate_disagreement,0.31289996473639015,89,89.4,0.2975516887888912,77,55.6,0.32824824068388914,|likelihood-weighted PF平均 TVT − dense spatial ANCC（prefix加重bias） TVT|。
84,beam_mean_vs_tvt_densew_abs,candidate_disagreement,0.30631081966323453,87,93.6,0.3115306271883693,82,51.0,0.30109101213809975,|複数Beam path平均 TVT − dense spatial ANCC（prefix加重bias） TVT|。
85,sc_ens_minus_last,candidate_path_value,0.30190920350576106,76,120.4,0.40072956745170585,91,34.4,0.2030888395598163,multi-scale NCC ensemble TVT − last_known_tvt。
86,copcf_spatial_xy_only_k8_prior_count,cluster_prior_confidence,0.3004823635268977,86,94.0,0.3128619546549863,83,48.8,0.28810277239880916,XY距離だけを使うK=8 spatial priorを作る有効source数。
87,beam_mean_vs_tvt_dense50_abs,candidate_disagreement,0.27394718458254924,88,92.6,0.3082023085218269,86,40.6,0.23969206064327156,|複数Beam path平均 TVT − dense spatial ANCC（prefix末尾50 bias） TVT|。
88,pf_ancc_std,pf_dense_confidence,0.2680989924424064,85,97.6,0.32484390185453893,89,35.8,0.21135408303027392,ANCC PF粒子の行別TVT標準偏差。粒子分布の幅。
89,tvt_densew_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.2642992025738319,84,97.8,0.32550956558784744,92,34.4,0.2030888395598163,|dense spatial ANCC（prefix加重bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
90,copcf_typewell_spatial_prior_abs_delta,cluster_prior_confidence,0.2596790284482845,91,85.8,0.28556974158933857,87,39.6,0.23378831530723038,|typewell prior − spatial prior|。
91,tvt_dense50_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.2582526757781572,90,89.2,0.29688602505558276,88,37.2,0.2196193265007316,|dense spatial ANCC（prefix末尾50 bias） TVT − likPF / exact-HMM 50:50 blend TVT|。
92,candidate_std,candidate_identity_or_context,0.22107467404064812,92,73.6,0.24496425385752116,93,33.4,0.19718509422377511,同じbase rowにある候補TVT群の標準偏差。候補間disagreement。
93,candidate_multiobs_mae,multi_observation,0.19804592510583197,95,62.6,0.2083527485255547,94,31.8,0.18773910168610924,対象候補自身のmulti-observation GR照合MAE。
94,copcf_nearby_majority_count_k5,cluster_prior_confidence,0.1969165871102665,98,56.6,0.18838283652630025,90,34.8,0.20545033769423274,近傍5 well中、多数派clusterに属するwell数。
95,candidate_mean,candidate_identity_or_context,0.18804123310239876,96,61.2,0.20369310239239533,95,29.2,0.1723893638124022,同じbase rowにある候補TVT群の平均。
96,hyb_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.1627423564211569,94,64.8,0.215675049591948,104,18.6,0.1098096632503658,|Beam/NCC hybrid TVT − likPF / exact-HMM 50:50 blend TVT|。
97,hyb_minus_last,candidate_path_value,0.1600282904162802,93,69.2,0.2303196517247346,115,15.2,0.08973692910782581,Beam/NCC hybrid TVT − last_known_tvt。
98,sc_ens_vs_hmm_selfgr_boost_only_a070_c100_abs,candidate_disagreement,0.15575288722141784,97,60.6,0.20169611119246988,105,18.6,0.1098096632503658,|multi-scale NCC ensemble TVT − Self-GR likelihood HMM TVT|。
99,copcf_typewell_native_overlap_1_neighbor_wells,cluster_prior_confidence,0.15562984176559028,100,47.4,0.1577623047941101,97,26.0,0.15349737873707045,native-overlap閾値1.0のtypewell cluster priorを作る近傍well数。
100,likpf_mean_vs_hyb_abs,candidate_disagreement,0.14023648976001565,101,45.6,0.15177133119433378,100,21.8,0.12870164832569753,|likelihood-weighted PF平均 TVT − Beam/NCC hybrid TVT|。
101,copcf_typewell_native_overlap_0p999_minus_candidate_abs,cluster_prior_confidence,0.13578663003768296,108,29.8,0.09918389626296374,96,29.2,0.1723893638124022,|native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT|。
102,copcf_spatial_xy_plus_trajectory_shape_k8_std_x_candidate,cluster_prior_confidence,0.12875768883033195,103,34.8,0.11582548959567576,98,24.0,0.1416898880649881,XY距離とtrajectory shapeを使うK=8 spatial priorの標準偏差をcandidate-long各行へ複製した列。積ではない。
103,copcf_typewell_native_overlap_1_prior_std,cluster_prior_confidence,0.1182062364251622,102,35.2,0.11715681706229275,101,20.2,0.11925565578803166,native-overlap閾値1.0のtypewell cluster priorを作るsource TVTの標準偏差。
104,sc_ens_vs_blend_likpf_hmm_w500_abs,candidate_disagreement,0.11285753573936878,99,55.4,0.18438885412644937,147,7.0,0.0413262173522882,|multi-scale NCC ensemble TVT − likPF / exact-HMM 50:50 blend TVT|。
105,copcf_typewell_native_overlap_0p999_minus_candidate_abs_norm,cluster_prior_confidence,0.1062876393612831,116,25.2,0.08387363039686867,99,21.8,0.12870164832569753,|native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT|をprior標準偏差で正規化。
106,copcf_typewell_native_overlap_0p999_prior_count,cluster_prior_confidence,0.10431452628941926,107,30.4,0.10118088746288918,106,18.2,0.10744816511594932,native-overlap閾値0.999のtypewell cluster priorを作る有効source数。
107,copcf_spatial_xy_only_k8_std_x_candidate,cluster_prior_confidence,0.09995603695507733,110,29.2,0.0971869050630383,107,17.4,0.10272516884711637,XY距離だけを使うK=8 spatial priorの標準偏差をcandidate-long各行へ複製した列。積ではない。
108,copcf_typewell_native_overlap_0p999_minus_candidate,cluster_prior_confidence,0.09679023575197446,106,31.2,0.1038435423961231,114,15.2,0.08973692910782581,native-overlap閾値0.999のtypewell cluster prior TVT − 対象候補TVT。
109,copcf_spatial_xy_only_k8_nearby_majority_diff_k8_corr_abs_c20,cluster_prior_confidence,0.09484465562369179,121,24.0,0.07987964799701777,103,18.6,0.1098096632503658,K=8近傍の多数派cluster不一致時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
110,copcf_spatial_xy_plus_trajectory_shape_k8_nearby_majority_diff_k8_corr_abs_c40,cluster_prior_confidence,0.09428595615792446,125,22.6,0.07522000186385841,102,19.2,0.11335191045199049,K=8近傍の多数派cluster不一致時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
111,copcf_spatial_xy_only_k8_any_outlier_signal_k8_corr_abs_c40,cluster_prior_confidence,0.09255064974920449,105,32.2,0.10717186106266553,119,13.2,0.07792943843574346,K=8近傍のいずれかのoutlier signal時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
112,copcf_spatial_xy_only_k8_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,0.08932929535020323,109,29.2,0.0971869050630383,116,13.8,0.08147168563736816,別clusterの方が近い時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
113,copcf_spatial_xy_plus_trajectory_shape_k8_nearby_majority_diff_k8_corr_abs_c20,cluster_prior_confidence,0.08676166562047966,123,23.4,0.07788265679709233,109,16.2,0.09564067444386698,K=8近傍の多数派cluster不一致時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
114,copcf_nearby_majority_share_k12,cluster_prior_confidence,0.08579484508835372,131,21.4,0.07122601946400751,108,17.0,0.10036367071269992,近傍12 wellの多数派cluster比率。
115,copcf_spatial_xy_only_k8_own_z_gt2p0_corr_abs_c20,cluster_prior_confidence,0.08524808468661718,124,23.2,0.07721699306378385,111,15.8,0.09327917630945051,所属cluster距離z-score>2時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
116,copcf_typewell_native_overlap_1_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,0.08376617882059148,130,21.6,0.071891683197316,110,16.2,0.09564067444386698,別clusterの方が近い時にnative-overlap閾値1.0のtypewell cluster priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
117,copcf_spatial_xy_only_k8_any_outlier_signal_k8_corr_abs_c20,cluster_prior_confidence,0.08304910401564024,113,27.2,0.09053026772995348,121,12.8,0.07556794030132699,K=8近傍のいずれかのoutlier signal時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
118,self_gr_peak_gap,self_gr_confidence,0.08289852561623151,114,26.4,0.08786761279671955,120,13.2,0.07792943843574346,Self-GR照合のbest peakとsecond peakのscore差。
119,copcf_nearby_majority_diff_k5,cluster_prior_confidence,0.08181280175253364,126,22.2,0.07388867439724145,112,15.2,0.08973692910782581,近傍5 wellの多数派clusterが自身の割当clusterと異なれば1。
120,copcf_spatial_xy_plus_trajectory_shape_k8_prior_count,cluster_prior_confidence,0.08174945161686006,117,25.0,0.08320796666356019,118,13.6,0.08029093657015993,XY距離とtrajectory shapeを使うK=8 spatial priorを作る有効source数。
121,copcf_spatial_xy_plus_trajectory_shape_k8_nearest_other_closer_corr_abs_c20,cluster_prior_confidence,0.0816741624171557,120,24.6,0.08187663919694323,117,13.8,0.08147168563736816,別clusterの方が近い時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 20 ft）。
122,hyb_vs_tvt_dense_abs,candidate_disagreement,0.08163469040954371,104,33.8,0.11249717092913335,140,8.6,0.050772209889954074,|Beam/NCC hybrid TVT − dense spatial ANCC（full-prefix bias） TVT|。
123,candidate_range,candidate_identity_or_context,0.08098876268004122,111,28.8,0.09585557759642133,129,11.2,0.06612194776366112,同じbase rowにある候補TVT群の最大−最小。候補間disagreement。
124,copcf_spatial_xy_only_k8_nearby_majority_diff_k8_corr_abs_c40,cluster_prior_confidence,0.0791501468192997,134,20.6,0.0685633645307736,113,15.2,0.08973692910782581,K=8近傍の多数派cluster不一致時にXY距離だけを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
125,copcf_spatial_xy_plus_trajectory_shape_k8_any_outlier_signal_k8_corr_abs_c40,cluster_prior_confidence,0.07905512161578934,118,24.8,0.08254230293025171,122,12.8,0.07556794030132699,K=8近傍のいずれかのoutlier signal時にXY距離とtrajectory shapeを使うK=8 spatial priorへ寄せる仮想補正量の絶対値（clip 40 ft）。
126,multiobs_mae_beam_mean,multi_observation,0.07902344654795257,115,26.2,0.08720194906341107,125,12.0,0.07084494403249406,複数Beam path平均のmulti-observation GR照合MAE。
127,multiobs_mae_likpf_mean,multi_observation,0.07493443894459133,112,28.0,0.0931929226631874,136,9.6,0.05667595522599524,likelihood-weighted PF平均のmulti-observation GR照合MAE。
